(1920, 1080): camera=(-4.74, 56.42, -1.31) FOV=38 actualHeadFootHeight=0.4588896 head=(-0.23, 57.10, -0.08) foot=(-0.33, 55.60, 0.15) center=(-0.25, 56.44, -0.11)
(1920, 1200): camera=(-4.75, 56.42, -1.32) FOV=38 actualHeadFootHeight=0.4569831 head=(-0.23, 57.11, -0.07) foot=(-0.33, 55.60, 0.15) center=(-0.25, 56.45, -0.11)
(2520, 1080): camera=(-4.76, 56.42, -1.32) FOV=38 actualHeadFootHeight=0.4665831 head=(-0.23, 57.11, -0.08) foot=(-0.33, 55.60, 0.15) center=(-0.25, 56.45, -0.11)
(1920, 1080): camera=(3.48, 56.83, 5.22) FOV=38 actualHeadFootHeight=0.3606672 head=(-0.23, 57.11, -0.08) foot=(-0.33, 55.60, 0.15) center=(-0.26, 56.80, -0.11)
(1920, 1200): camera=(3.48, 56.83, 5.22) FOV=38 actualHeadFootHeight=0.3595106 head=(-0.23, 57.11, -0.09) foot=(-0.33, 55.60, 0.15) center=(-0.26, 56.80, -0.11)
(2520, 1080): camera=(3.48, 56.83, 5.22) FOV=38 actualHeadFootHeight=0.3699141 head=(-0.23, 57.11, -0.08) foot=(-0.33, 55.60, 0.15) center=(-0.26, 56.80, -0.11)
(1920, 1080): camera=(3.48, 56.83, 5.22) FOV=38 actualHeadFootHeight=0.3602374 head=(-0.23, 57.10, -0.07) foot=(-0.33, 55.60, 0.15) center=(-0.26, 56.80, -0.11)
(1920, 1200): camera=(3.48, 56.83, 5.22) FOV=38 actualHeadFootHeight=0.359054 head=(-0.23, 57.11, -0.08) foot=(-0.33, 55.60, 0.15) center=(-0.26, 56.80, -0.11)
(2520, 1080): camera=(3.48, 56.83, 5.22) FOV=38 actualHeadFootHeight=0.3699069 head=(-0.23, 57.11, -0.08) foot=(-0.33, 55.60, 0.15) center=(-0.26, 56.80, -0.11)
(1920, 1080): camera=(3.48, 56.83, 5.22) FOV=38 actualHeadFootHeight=0.3604901 head=(-0.23, 57.11, -0.08) foot=(-0.33, 55.60, 0.15) center=(-0.26, 56.80, -0.11)
(1920, 1200): camera=(3.48, 56.83, 5.22) FOV=38 actualHeadFootHeight=0.3594263 head=(-0.23, 57.11, -0.08) foot=(-0.33, 55.60, 0.15) center=(-0.26, 56.80, -0.11)
(2520, 1080): camera=(3.48, 56.83, 5.22) FOV=38 actualHeadFootHeight=0.3700237 head=(-0.23, 57.11, -0.09) foot=(-0.33, 55.60, 0.15) center=(-0.26, 56.80, -0.11)
(1920, 1080): camera=(3.48, 56.83, 5.22) FOV=38 actualHeadFootHeight=0.3604856 head=(-0.23, 57.11, -0.08) foot=(-0.33, 55.60, 0.15) center=(-0.26, 56.80, -0.11)
(1920, 1200): camera=(3.48, 56.83, 5.22) FOV=38 actualHeadFootHeight=0.3589426 head=(-0.23, 57.11, -0.07) foot=(-0.33, 55.60, 0.15) center=(-0.26, 56.80, -0.11)
(2520, 1080): camera=(3.48, 56.83, 5.22) FOV=38 actualHeadFootHeight=0.3695647 head=(-0.23, 57.11, -0.08) foot=(-0.33, 55.60, 0.15) center=(-0.26, 56.80, -0.11)
