frame,time,dt,speed,gaitRate,ikWeight,leftIkWeight,rightIkWeight,pelvis,leftLocked,rightLocked,supported,supportId,supportGeneration,leftX,leftY,leftZ,rightX,rightY,rightZ,leftAnchorError,rightAnchorError,leftKneeX,leftKneeY,leftKneeZ,rightKneeX,rightKneeY,rightKneeZ,leftReason,rightReason,leftReleaseCooldown,rightReleaseCooldown
0,3.598520,0.016389,0.64327,0.80305,0.00000,0.00000,0.00000,0.00000,0,0,1,544536,1,-0.142029,0.080714,-0.070730,0.066215,0.034848,0.057186,0.000000,0.000000,-0.438048,-0.835018,0.332955,0.013791,-0.948308,0.317051,Swing,Swing,0.000000,0.000000
1,3.637905,0.017937,1.12687,0.84824,0.00000,0.00000,0.00000,0.00000,0,0,1,544536,1,-0.147299,0.075116,-0.122531,0.089372,0.028986,-0.048636,0.000000,0.000000,-0.311374,-0.923996,0.221984,0.177866,-0.984047,-0.004008,Swing,Swing,0.000000,0.000000
2,3.672080,0.015813,1.68928,0.89871,0.00000,0.00000,0.00000,0.00000,0,0,1,544536,1,-0.233504,0.111947,-0.161932,0.003056,0.078638,-0.201005,0.000000,0.000000,-0.357570,-0.926674,0.115837,-0.116990,-0.853689,-0.507472,Swing,Swing,0.000000,0.000000
3,3.710245,0.018849,2.40321,0.96067,0.19516,0.00000,0.39033,-0.00780,0,1,1,1785933915,1,-0.303433,0.187796,-0.327300,-0.005883,0.075601,-0.260505,0.000000,0.039216,-0.550356,-0.735515,-0.395128,-0.261684,-0.692849,-0.671924,Swing,Stance,0.000000,0.000000
4,3.748150,0.020872,2.92309,1.01536,0.39451,0.00000,0.78902,-0.01089,0,1,1,1785933915,1,0.069949,0.429923,-0.664960,0.194474,0.094315,-0.266127,0.000000,0.066443,0.172344,-0.041307,-0.984170,0.273876,-0.561306,-0.780979,Swing,Stance,0.000000,0.000000
5,3.789434,0.018442,2.90605,1.03874,0.50000,0.00000,1.00000,-0.00731,0,1,1,1785933915,1,0.603386,0.890535,-0.017012,0.326602,0.234213,0.074228,0.000000,0.087358,0.821659,0.564996,0.075208,0.957440,-0.282475,0.059295,Swing,Stance,0.000000,0.000000
6,3.823120,0.017600,2.79813,1.04419,0.50000,0.00000,1.00000,-0.00444,0,1,1,1785933915,1,-0.584591,0.934242,-0.138431,-0.170607,0.523769,-0.010384,0.000000,0.112027,-0.693599,0.691957,0.200291,-0.596904,0.525834,0.605974,Swing,Stance,0.000000,0.000000
7,3.857569,0.016840,2.68631,1.04472,0.50000,0.00000,1.00000,-0.00247,0,1,1,1785933915,1,-0.074669,0.099704,0.052718,0.106362,0.082183,-0.174983,0.000000,0.138594,-0.353907,-0.783087,0.511395,0.297614,-0.940504,-0.163944,Swing,Stance,0.000000,0.000000
8,3.892955,0.018490,2.65933,1.04713,0.50000,0.00000,1.00000,-0.00135,0,1,1,1785933915,1,-0.119437,0.023751,0.078694,0.139528,-0.002074,-0.171326,0.000000,0.133404,-0.245415,-0.882522,0.401157,0.325385,-0.945146,-0.028706,Swing,Stance,0.000000,0.000000
9,3.926459,0.016178,2.72681,1.05331,0.50000,0.00000,1.00000,-0.00854,0,1,1,1785933915,1,-0.107802,-0.012476,-0.102772,0.220775,-0.066374,-0.060474,0.000000,0.147188,-0.193312,-0.924800,-0.327681,0.428926,-0.900496,0.071619,Swing,Stance,0.000000,0.000000
