frame,time,dt,speed,gaitRate,ikWeight,leftIkWeight,rightIkWeight,pelvis,leftLocked,rightLocked,supported,supportId,supportGeneration,leftX,leftY,leftZ,rightX,rightY,rightZ,leftAnchorError,rightAnchorError,leftKneeX,leftKneeY,leftKneeZ,rightKneeX,rightKneeY,rightKneeZ,leftReason,rightReason,leftReleaseCooldown,rightReleaseCooldown,animatorState,normalizedTime,inTransition,nextState,nextNormalizedTime,primaryClip,primaryClipWeight,secondaryClip,secondaryClipWeight,discontinuity
0,3.546456,0.043487,0.52063,0.78903,0.00000,0.00000,0.00000,0.00000,0,0,1,845704,1,-0.106776,0.064527,-0.072545,0.103304,0.004924,0.023106,0.000000,0.000000,-0.271426,-0.914372,0.300419,0.177045,-0.972824,0.149224,Stance,Stance,0.000000,0.000000,-1269438207,34.846910,0,0,0.000000,XBot Walk Neutral,0.919130,Walking,0.080870,0
1,3.572700,0.026244,0.86222,0.81885,0.07248,0.14496,0.00000,-0.00164,1,0,1,845704,1,-0.107293,0.067969,-0.074355,0.102812,0.005224,0.022760,0.039799,0.000000,-0.275187,-0.911116,0.306821,0.175753,-0.972524,0.152670,Capture,Swing,0.000000,0.000000,-1269438207,34.963760,0,0,0.000000,XBot Walk Neutral,0.739687,Walking,0.260313,0
2,3.590484,0.017784,1.12591,0.84339,0.11622,0.23244,0.00000,-0.00217,1,0,1,845704,1,-0.110658,0.063587,-0.060003,0.100242,0.004413,0.009136,0.119973,0.000000,-0.280506,-0.900596,0.332029,0.172086,-0.978777,0.111279,Stance,Swing,0.000000,0.000000,-1269438207,35.010030,0,0,0.000000,XBot Walk Neutral,0.568891,Walking,0.431109,0
3,3.611435,0.020951,1.48001,0.87564,0.14586,0.29172,0.00000,-0.00200,1,0,1,845704,1,-0.113085,0.057219,-0.049422,0.097649,0.003804,-0.005171,0.214085,0.000000,-0.282033,-0.898001,0.337715,0.168167,-0.983211,0.070824,Stance,Swing,0.000000,0.000000,-1269438207,35.035190,0,0,0.000000,XBot Walk Neutral,0.437045,Walking,0.562955,0
4,3.632996,0.021561,1.86932,0.91076,0.11094,0.22188,0.00000,-0.00782,0,0,1,1785933915,1,-0.113174,0.035673,0.005467,0.094465,0.000900,-0.024685,0.000000,0.000000,-0.255524,-0.878420,0.403838,0.163765,-0.986380,0.015356,SupportSwap,Swing,0.120000,0.000000,-1269438207,35.058910,0,0,0.000000,XBot Walk Neutral,0.259993,Walking,0.740007,0
5,3.650147,0.017151,2.18181,0.93905,0.07500,0.15001,0.00000,-0.02033,0,0,1,1785933915,1,-0.115071,0.022363,0.047308,0.090495,-0.004363,-0.050804,0.000000,0.000000,-0.246307,-0.859533,0.447813,0.158079,-0.985813,-0.056428,Swing,Swing,0.098439,0.000000,-1269438207,35.079200,0,0,0.000000,XBot Walk Neutral,0.065342,Walking,0.934658,0
6,3.665284,0.015137,2.45951,0.96409,0.04642,0.09284,0.00000,-0.03127,0,0,1,1785933915,1,-0.114871,0.014348,0.081168,0.087986,-0.008628,-0.069161,0.000000,0.000000,-0.236277,-0.845358,0.479107,0.154726,-0.982357,-0.105051,Swing,Swing,0.081288,0.000000,-1269438207,35.094780,0,0,0.000000,Walking,0.954548,Walking,0.045452,0
7,3.681689,0.016406,2.76207,0.99119,0.02119,0.04238,0.00000,-0.03638,0,0,1,1785933915,1,-0.114446,0.010776,0.105065,0.086460,-0.010669,-0.081590,0.000000,0.000000,-0.228483,-0.838120,0.495329,0.153070,-0.978787,-0.136180,Swing,Swing,0.066151,0.000000,-1269438207,35.108910,0,0,0.000000,Walking,0.885124,Walking,0.114876,0
8,3.697920,0.016231,3.03913,1.01707,0.00000,0.00000,0.00000,-0.03540,0,0,1,1785933915,1,-0.114129,0.010840,0.129933,0.084782,-0.010416,-0.095004,0.000000,0.000000,-0.220789,-0.832306,0.508448,0.151338,-0.974130,-0.167834,Swing,Swing,0.049746,0.000000,-1269438207,35.124640,0,0,0.000000,Walking,0.809483,Walking,0.190517,0
9,3.712238,0.014318,3.26160,1.03878,0.00000,0.00000,0.00000,-0.03136,0,0,1,1785933915,1,-0.113903,0.013433,0.151162,0.083321,-0.009182,-0.108091,0.000000,0.000000,-0.214300,-0.825445,0.522222,0.150395,-0.968960,-0.196207,Swing,Swing,0.033515,0.000000,-1269438207,35.140620,0,0,0.000000,Walking,0.740218,Walking,0.259782,0
10,3.728802,0.016565,3.43319,1.05879,0.00000,0.00000,0.00000,-0.02693,0,0,1,1785933915,1,-0.113435,0.016376,0.167189,0.082069,-0.007932,-0.119605,0.000000,0.000000,-0.208276,-0.818186,0.535904,0.150078,-0.964100,-0.219063,Swing,Swing,0.019197,0.000000,-1269438207,35.155010,0,0,0.000000,Walking,0.684600,Walking,0.315400,0
11,3.748691,0.019889,3.47085,1.07168,0.00000,0.00000,0.00000,-0.02180,0,0,1,1785933915,1,-0.112676,0.019639,0.182597,0.080332,-0.006622,-0.133365,0.000000,0.000000,-0.201027,-0.805306,0.557737,0.149294,-0.958073,-0.244557,Swing,Swing,0.002633,0.000000,-1269438207,35.171980,0,0,0.000000,Walking,0.641702,Walking,0.358298,0
12,3.764973,0.016282,3.41805,1.07577,0.03315,0.06630,0.00000,-0.01825,1,0,1,1785933915,1,-0.112163,0.018070,0.188929,0.077951,-0.006116,-0.150324,0.779296,0.000000,-0.195010,-0.789509,0.581933,0.147606,-0.949958,-0.275303,Capture,Swing,0.000000,0.000000,-1269438207,35.192610,0,0,0.000000,Walking,0.632287,Walking,0.367713,0
