frame,time,dt,speed,gaitRate,ikWeight,leftIkWeight,rightIkWeight,pelvis,leftLocked,rightLocked,supported,supportId,supportGeneration,leftX,leftY,leftZ,rightX,rightY,rightZ,leftAnchorError,rightAnchorError,leftKneeX,leftKneeY,leftKneeZ,rightKneeX,rightKneeY,rightKneeZ,leftReason,rightReason,leftReleaseCooldown,rightReleaseCooldown,animatorState,normalizedTime,inTransition,nextState,nextNormalizedTime,primaryClip,primaryClipWeight,secondaryClip,secondaryClipWeight,discontinuity,authoredAction,footPolicy,bodyPitch,bodyYaw,bodyRoll
0,3.857291,0.082174,0.83718,0.81023,0.03607,0.07213,0.00000,-0.00686,0,0,1,2884560,1,-0.111420,0.054978,-0.045371,0.102156,0.001723,-0.007219,0.000000,0.000000,-0.268687,-0.894988,0.356096,0.178592,-0.980652,0.080168,Swing,Swing,0.120000,0.000000,-1269438207,33.311850,0,0,0.000000,XBot Walk Neutral,0.919081,Walking,0.080919,0,Locomotion,DefaultContact,-0.00251,0.00000,-0.03251
1,3.885332,0.028041,1.18047,0.84449,0.00000,0.00000,0.00000,-0.00264,0,0,1,2884560,1,-0.106513,0.035033,-0.025773,0.109584,0.017378,-0.045091,0.000000,0.000000,-0.236138,-0.919381,0.314607,0.201803,-0.974696,0.096139,Swing,Swing,0.037826,0.000000,-1269438207,33.459180,0,0,0.000000,XBot Walk Neutral,0.581412,Walking,0.418588,0,Locomotion,DefaultContact,-1.35814,0.32722,-0.66147
2,3.909947,0.024615,1.51627,0.87302,0.00000,0.00000,0.00000,-0.00164,0,0,1,1785933915,1,-0.098533,0.024687,-0.032982,0.114158,0.024404,-0.029426,0.000000,0.000000,-0.213431,-0.950769,0.224689,0.209527,-0.963046,0.169235,Swing,Swing,0.009785,0.000000,-1269438207,33.497150,0,0,0.000000,XBot Walk Neutral,0.409767,Walking,0.590234,0,Locomotion,DefaultContact,-2.46971,0.58805,-1.17697
3,3.929269,0.019322,1.79038,0.89377,0.00000,0.00000,0.00000,-0.00105,0,0,1,1785933915,1,-0.090914,0.016879,-0.042997,0.118507,0.027680,-0.003665,0.000000,0.000000,-0.189937,-0.973595,0.126637,0.213247,-0.945658,0.245472,Swing,Swing,0.000000,0.000000,-1269438207,33.524300,0,0,0.000000,XBot Walk Neutral,0.241865,Walking,0.758135,0,Locomotion,DefaultContact,-3.13387,0.78921,-1.47790
4,3.948875,0.019606,2.07351,0.91336,0.00000,0.00000,0.00000,-0.00074,0,0,1,1785933915,1,-0.085123,0.012230,-0.053534,0.121170,0.028176,0.024037,0.000000,0.000000,-0.169556,-0.984821,0.037136,0.212857,-0.927026,0.308730,Swing,Swing,0.000000,0.000000,-1269438207,33.542900,0,0,0.000000,XBot Walk Neutral,0.104813,Walking,0.895187,0,Locomotion,DefaultContact,-3.39570,0.92096,-1.59251
5,3.967536,0.018661,2.34300,0.93060,0.00000,0.00000,0.00000,-0.00051,0,0,1,1785933915,1,-0.080604,0.009887,-0.066977,0.121920,0.026682,0.055526,0.000000,0.000000,-0.149385,-0.987524,-0.049799,0.209011,-0.908501,0.361856,Swing,Swing,0.000000,0.000000,-1269438207,33.560230,0,0,0.000000,Walking,0.981624,Walking,0.018376,0,Locomotion,DefaultContact,-3.51563,1.03118,-1.65406
6,3.987369,0.019833,2.56032,0.94362,0.02333,0.00000,0.04665,-0.00035,0,1,1,1785933915,1,-0.078991,0.010102,-0.081080,0.119863,0.022720,0.081304,0.000000,0.490032,-0.143705,-0.984899,-0.096560,0.203116,-0.902094,0.380749,Swing,Capture,0.000000,0.000000,-1269438207,33.577040,0,0,0.000000,Walking,0.914249,Walking,0.085751,0,HitRecoil,DefaultContact,-3.51802,1.11605,-1.70498
7,4.008684,0.021315,2.70068,0.95014,0.04812,0.00000,0.09623,-0.00084,0,1,1,1785933915,1,-0.077289,0.009574,-0.095656,0.117214,0.018675,0.102827,0.000000,0.586624,-0.139358,-0.980176,-0.140833,0.198263,-0.899607,0.389099,Swing,Stance,0.000000,0.000000,-1269438207,33.595150,0,0,0.000000,Walking,0.859919,Walking,0.140081,0,HitRecoil,DefaultContact,-3.02302,1.19539,-1.75554
8,4.027386,0.018703,2.78255,0.95221,0.02147,0.00000,0.04295,-0.00137,0,0,1,1785933915,1,-0.075611,0.008599,-0.111172,0.113402,0.019663,0.141950,0.000000,0.000000,-0.138332,-0.974413,-0.177156,0.192096,-0.882706,0.428871,Swing,Swing,0.000000,0.120000,-1269438207,33.614750,0,0,0.000000,Walking,0.824829,Walking,0.175171,0,HitRecoil,DefaultContact,-2.13130,1.25363,-1.76852
9,4.045780,0.018394,2.83304,0.95216,0.00000,0.00000,0.00000,-0.00137,0,0,1,1785933915,1,-0.074544,0.008131,-0.124250,0.109380,0.021595,0.168855,0.000000,0.000000,-0.142548,-0.969847,-0.197682,0.187665,-0.873307,0.449575,Swing,Swing,0.000000,0.101297,-1269438207,33.631980,0,0,0.000000,Walking,0.804363,Walking,0.195637,0,HitRecoil,DefaultContact,-1.59569,1.29276,-1.82027
10,4.071721,0.025941,2.86784,0.95060,0.00000,0.00000,0.00000,-0.00120,0,0,1,1785933915,1,-0.073069,0.007867,-0.136968,0.105186,0.023745,0.190082,0.000000,0.000000,-0.148196,-0.966248,-0.210719,0.184440,-0.865341,0.466011,Swing,Swing,0.000000,0.082904,-1269438207,33.648930,0,0,0.000000,Walking,0.791741,Walking,0.208259,0,HitRecoil,DefaultContact,-1.12157,1.32258,-1.89855
11,4.101571,0.029850,2.89274,0.95078,0.00000,0.00000,0.00000,-0.00089,0,0,1,1785933915,1,-0.070557,0.007842,-0.155110,0.100620,0.026299,0.213641,0.000000,0.000000,-0.155030,-0.962049,-0.224558,0.181429,-0.850649,0.493438,Swing,Swing,0.000000,0.056963,-1269438207,33.672800,0,0,0.000000,Walking,0.783041,Walking,0.216959,0,HitRecoil,DefaultContact,-0.73222,1.35343,-1.98206
12,4.124250,0.022679,2.90794,0.95203,0.00000,0.00000,0.00000,-0.00058,0,0,1,1785933915,1,-0.065834,0.008075,-0.176674,0.097323,0.023997,0.229132,0.000000,0.000000,-0.152349,-0.957007,-0.246835,0.171939,-0.828226,0.533365,Swing,Swing,0.000000,0.027112,-1269438207,33.700260,0,0,0.000000,Walking,0.776816,Walking,0.223184,0,HitRecoil,DefaultContact,-1.02927,1.37711,-2.13598
13,4.144264,0.020014,2.91472,0.95292,0.00000,0.00000,0.00000,-0.00040,0,0,1,2884560,1,-0.062366,0.008056,-0.193551,0.096746,0.017407,0.232248,0.000000,0.000000,-0.144134,-0.949047,-0.280241,0.161842,-0.811538,0.561439,Swing,Swing,0.000000,0.004433,-1269438207,33.721160,0,0,0.000000,Walking,0.773016,Walking,0.226984,0,HitRecoil,DefaultContact,-1.11387,1.38920,-2.27971
14,4.164872,0.020608,2.92499,0.95432,0.02502,0.00000,0.05004,-0.00073,0,1,1,2884560,1,-0.059379,0.010293,-0.208401,0.097890,0.008576,0.223992,0.000000,0.954404,-0.133863,-0.937872,-0.320119,0.153400,-0.803761,0.574837,Swing,Capture,0.000000,0.000000,-1269438207,33.739610,0,0,0.000000,Walking,0.771321,Walking,0.228679,0,HitRecoil,DefaultContact,-0.91628,1.39688,-2.39035
15,4.180459,0.015588,2.94502,0.95627,0.05078,0.00000,0.10155,-0.00186,0,1,1,2884560,1,-0.056154,0.020861,-0.222248,0.099883,0.003609,0.204797,0.000000,0.951540,-0.121576,-0.923481,-0.363871,0.149244,-0.813573,0.561983,Swing,Stance,0.000000,0.000000,-1269438207,33.758640,0,0,0.000000,Walking,0.768754,Walking,0.231247,0,HitRecoil,DefaultContact,-0.92708,1.40265,-2.42816
16,4.198778,0.018318,2.98383,0.95947,0.07026,0.00000,0.14052,-0.00305,0,1,1,2884560,1,-0.054486,0.029954,-0.230788,0.102765,-0.000149,0.185226,0.000000,0.946165,-0.118254,-0.916497,-0.382164,0.150517,-0.827796,0.540461,Swing,Stance,0.000000,0.000000,-1269438207,33.773070,0,0,0.000000,Walking,0.763745,Walking,0.236255,0,HitRecoil,DefaultContact,-1.17411,1.40592,-2.42410
17,4.218074,0.019296,3.04189,0.96370,0.04736,0.00000,0.09473,-0.00448,0,0,1,2884560,1,-0.055732,0.044174,-0.236411,0.103515,0.005805,0.189074,0.000000,0.000000,-0.137565,-0.926482,-0.350295,0.147052,-0.821430,0.551024,Swing,Swing,0.000000,0.120000,-1269438207,33.790080,0,0,0.000000,Walking,0.754044,Walking,0.245956,0,HitRecoil,DefaultContact,-1.39726,1.40886,-2.31994
