schema,actor,scenario,targetFps,frame,elapsedSeconds,deltaTime,animatorStateHash,animatorNormalizedTime,animatorInTransition,animatorPrimaryClip,leftGaitPhase01,rightGaitPhase01,leftRawX,leftRawY,leftRawZ,rightRawX,rightRawY,rightRawZ,leftRawNormalX,leftRawNormalY,leftRawNormalZ,rightRawNormalX,rightRawNormalY,rightRawNormalZ,leftFilteredX,leftFilteredY,leftFilteredZ,rightFilteredX,rightFilteredY,rightFilteredZ,leftSupportId,rightSupportId,leftSupportGeneration,rightSupportGeneration,leftAnchorX,leftAnchorY,leftAnchorZ,rightAnchorX,rightAnchorY,rightAnchorZ,leftActualX,leftActualY,leftActualZ,rightActualX,rightActualY,rightActualZ,leftIkWeight,rightIkWeight,leftLocked,rightLocked,leftReason,rightReason,pelvisOffset,leftKneeAngle,rightKneeAngle,leftAnkleAngle,rightAnkleAngle,leftGap,rightGap,discontinuity,allowedTransition,allowedTransitionState,locomoting,pivoting,surfing,footPolicy
animation-contact-v1,player,start-idle-flat,30,0,0.000000,0.033333,-1269438207,23.000000,0,XBot Walk Neutral,0.000000,0.500000,-0.216815,56.412160,-0.148200,0.291111,57.003240,0.026309,-0.041233,0.999141,-0.004026,-0.223260,0.255968,-0.940551,-0.221496,56.447000,-0.148900,0.282277,57.012770,-0.005548,1785933915,4206686,1,1,1.178913,0.244035,0.578367,-0.044397,0.126500,-0.188984,-0.216435,56.892750,-0.148238,0.290909,56.747460,0.026336,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.652000,163.769700,128.449600,91.160670,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,0,0.000000,0.033333,-1269438207,12.260460,0,XBot Walk Neutral,0.260464,0.760464,-0.078545,54.865950,5.072579,-0.502711,54.876130,4.936340,-0.001425,0.995752,0.092061,-0.009124,0.995937,0.089589,-0.076818,54.900830,5.075527,-0.501077,54.911080,4.938673,4206996,4206996,1,1,-0.076818,54.900830,5.075527,-0.501077,54.911080,4.938673,-0.079567,55.051390,5.089312,-0.503053,54.938250,4.941946,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.707200,163.786700,128.627300,91.638770,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,1,0.033333,0.033333,-1269438207,24.000000,0,XBot Walk Neutral,0.000000,0.500000,-0.213937,56.412280,-0.147609,0.294021,56.998680,0.026908,-0.041233,0.999141,-0.004026,-0.216457,0.260234,-0.940970,-0.218694,56.447110,-0.148387,0.285042,57.011180,-0.004703,1785933915,4206686,1,1,1.176111,0.244548,0.578485,-0.043230,0.124500,-0.189471,-0.213530,56.891350,-0.147641,0.293807,56.746020,0.026931,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.651900,163.769800,128.449700,91.160730,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,1,0.033333,0.033333,-1269438207,13.260440,0,XBot Walk Neutral,0.260438,0.760438,-0.081320,54.865870,5.073390,-0.505103,54.876300,4.934212,-0.001476,0.995751,0.092076,-0.009167,0.995940,0.089550,-0.078783,54.900790,5.075927,-0.503012,54.911090,4.938403,4206996,4206996,1,1,-0.078783,54.900790,5.075927,-0.503012,54.911090,4.938403,-0.082354,55.051910,5.090178,-0.505450,54.938680,4.939842,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.588000,163.798900,128.762900,91.491420,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,2,0.066667,0.033333,-1269438207,25.000000,0,XBot Walk Neutral,0.000000,0.500000,-0.210980,56.412410,-0.146956,0.297013,56.996880,0.027568,-0.041233,0.999141,-0.004026,-0.209531,0.265789,-0.940985,-0.215821,56.447240,-0.147808,0.288073,57.009000,-0.004168,1785933915,4206686,1,1,1.173238,0.245126,0.578605,-0.041755,0.121945,-0.189863,-0.210544,56.890100,-0.146982,0.296783,56.744740,0.027588,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.652200,163.769700,128.449600,91.160650,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,2,0.066667,0.033333,-1269438207,14.260420,0,XBot Walk Neutral,0.260423,0.760423,-0.083869,54.865900,5.073057,-0.507566,54.876350,4.933381,-0.001522,0.995751,0.092070,-0.009212,0.995941,0.089535,-0.081088,54.900760,5.076187,-0.505199,54.911140,4.937581,4206996,4206996,1,1,-0.081088,54.900760,5.076187,-0.505199,54.911140,4.937581,-0.084910,55.051760,5.089828,-0.507916,54.938830,4.939019,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.587900,163.798700,128.828500,91.562390,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,3,0.100000,0.033333,-1269438207,26.000000,0,XBot Walk Neutral,0.000000,0.500000,-0.207880,56.412540,-0.146219,0.300134,56.999390,0.028310,-0.041233,0.999141,-0.004026,-0.197590,0.266934,-0.943241,-0.212853,56.447360,-0.147159,0.291268,57.008470,-0.004033,1785933915,4206686,1,1,1.170269,0.245776,0.578730,-0.040146,0.121046,-0.190380,-0.207430,56.888930,-0.146240,0.299892,56.743550,0.028329,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.652100,163.769700,128.449700,91.160710,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,3,0.100000,0.033333,-1269438207,15.260410,0,XBot Walk Neutral,0.260413,0.760413,-0.084909,54.865830,5.073704,-0.508803,54.876180,4.935116,-0.001541,0.995750,0.092082,-0.009234,0.995938,0.089567,-0.083036,54.900730,5.076474,-0.507131,54.911120,4.937569,4206996,4206996,1,1,-0.083036,54.900730,5.076474,-0.507131,54.911120,4.937569,-0.085957,55.052060,5.090508,-0.509154,54.938460,4.940736,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.588100,163.799000,128.795800,91.527140,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,4,0.133333,0.033333,-1269438207,27.000000,0,XBot Walk Neutral,0.000000,0.500000,-0.204744,56.412670,-0.145471,0.303308,56.998210,0.029067,-0.041233,0.999141,-0.004026,-0.191221,0.269818,-0.943733,-0.209799,56.447490,-0.146457,0.294719,57.008240,-0.003474,1785933915,4206686,1,1,1.167216,0.246478,0.578859,-0.038489,0.120709,-0.190777,-0.204263,56.887940,-0.145486,0.303049,56.742530,0.029081,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.651900,163.769700,128.449600,91.160680,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,4,0.133333,0.033333,-1269438207,16.260410,0,XBot Walk Neutral,0.260408,0.760408,-0.087482,54.865860,5.073360,-0.511289,54.876240,4.934274,-0.001588,0.995751,0.092076,-0.009279,0.995939,0.089551,-0.085023,54.900710,5.076606,-0.509121,54.911100,4.937618,4206996,4206996,1,1,-0.085023,54.900710,5.076606,-0.509121,54.911100,4.937618,-0.088537,55.051910,5.090148,-0.511643,54.938600,4.939901,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.587900,163.798800,128.763100,91.491980,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,5,0.166667,0.033333,-1269438207,28.000000,0,XBot Walk Neutral,0.000000,0.500000,-0.201521,56.412810,-0.144681,0.306569,56.997140,0.029867,-0.041233,0.999141,-0.004026,-0.184994,0.272608,-0.944173,-0.206668,56.447620,-0.145713,0.298230,57.007710,-0.002730,1785933915,4206686,1,1,1.164085,0.247221,0.578991,-0.036821,0.120066,-0.190988,-0.201009,56.887110,-0.144687,0.306294,56.741660,0.029877,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.652200,163.769700,128.449700,91.160690,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,5,0.166667,0.033333,-1269438207,17.260400,0,XBot Walk Neutral,0.260405,0.760405,-0.090072,54.865890,5.073019,-0.513791,54.876290,4.933426,-0.001635,0.995751,0.092069,-0.009325,0.995940,0.089536,-0.087308,54.900720,5.076491,-0.511365,54.911110,4.937234,4206996,4206996,1,1,-0.087308,54.900720,5.076491,-0.511365,54.911110,4.937234,-0.091135,55.051770,5.089791,-0.514148,54.938750,4.939063,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.588100,163.798700,128.828500,91.562910,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,6,0.200000,0.033333,-1269438207,29.000000,0,XBot Walk Neutral,0.000000,0.500000,-0.198144,56.412950,-0.143823,0.309971,56.999540,0.030730,-0.041233,0.999141,-0.004026,-0.172747,0.273537,-0.946222,-0.203433,56.447760,-0.144920,0.301857,57.008060,-0.002013,1785933915,4206686,1,1,1.160850,0.248015,0.579127,-0.035139,0.120327,-0.191377,-0.197616,56.886370,-0.143825,0.309682,56.740900,0.030738,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.652100,163.769800,128.449600,91.160680,NaN,NaN,0,0,none,0,0,0,DefaultContact
