schema,actor,scenario,targetFps,frame,elapsedSeconds,deltaTime,animatorStateHash,animatorNormalizedTime,animatorInTransition,animatorPrimaryClip,leftGaitPhase01,rightGaitPhase01,leftRawX,leftRawY,leftRawZ,rightRawX,rightRawY,rightRawZ,leftRawNormalX,leftRawNormalY,leftRawNormalZ,rightRawNormalX,rightRawNormalY,rightRawNormalZ,leftFilteredX,leftFilteredY,leftFilteredZ,rightFilteredX,rightFilteredY,rightFilteredZ,leftSupportId,rightSupportId,leftSupportGeneration,rightSupportGeneration,leftAnchorX,leftAnchorY,leftAnchorZ,rightAnchorX,rightAnchorY,rightAnchorZ,leftActualLocalX,leftActualLocalY,leftActualLocalZ,rightActualLocalX,rightActualLocalY,rightActualLocalZ,leftActualX,leftActualY,leftActualZ,rightActualX,rightActualY,rightActualZ,leftIkWeight,rightIkWeight,leftLocked,rightLocked,leftReason,rightReason,pelvisOffset,leftKneeAngle,rightKneeAngle,leftAnkleAngle,rightAnkleAngle,leftGap,rightGap,discontinuity,allowedTransition,allowedTransitionState,locomoting,pivoting,surfing,footPolicy
animation-contact-v1,player,start-idle-flat,30,0,0.000000,0.033333,-1269438207,23.000000,0,XBot Walk Neutral,0.000000,0.500000,-0.213775,56.412280,-0.148409,0.294183,57.003590,0.026098,-0.041233,0.999141,-0.004026,-0.223360,0.256228,-0.940456,-0.218676,56.447110,-0.149115,0.285281,57.012930,-0.005850,1785933915,4268402,1,1,1.176093,0.243820,0.578481,-0.044611,0.126715,-0.188899,1.170787,0.244486,1.024223,-0.017292,-0.121358,-0.092716,-0.213370,56.892850,-0.148449,0.293967,56.747530,0.026125,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.652100,163.769700,128.449600,91.160700,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,0,0.000000,0.033333,-1269438207,5.412542,0,Walking Backwards,0.412542,0.912542,0.098063,54.318780,5.852029,-0.330280,54.228610,5.658632,-0.002212,0.994509,0.104631,-0.002212,0.994509,0.104631,0.102605,54.319890,5.827791,-0.328504,54.226690,5.637766,0,0,0,0,0.102605,54.319890,5.827791,-0.328504,54.226690,5.637766,0.098063,54.318780,5.852029,-0.330280,54.228610,5.658632,0.098063,54.318780,5.852029,-0.330280,54.228610,5.658632,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,119.383200,164.107000,124.536100,89.538150,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,1,0.033333,0.033333,-1269438207,24.000000,0,XBot Walk Neutral,0.000000,0.500000,-0.210700,56.412410,-0.147814,0.297293,56.999060,0.026700,-0.041233,0.999141,-0.004026,-0.216034,0.260471,-0.941002,-0.215683,56.447240,-0.148597,0.288244,57.011460,-0.004955,1785933915,4268402,1,1,1.173100,0.244338,0.578606,-0.043381,0.124848,-0.189369,1.167682,0.245087,1.022816,-0.015069,-0.122855,-0.092697,-0.210265,56.891450,-0.147848,0.297063,56.746090,0.026724,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.651900,163.769700,128.449600,91.160650,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,1,0.033333,0.033333,-1269438207,5.575415,0,Walking Backwards,0.575415,0.075415,0.100413,54.320580,5.858341,-0.331162,54.226210,5.735940,-0.002220,0.994448,0.105209,-0.002220,0.994448,0.105209,0.100877,54.319830,5.844441,-0.329868,54.226990,5.675161,0,0,0,0,0.100877,54.319830,5.844441,-0.329868,54.226990,5.675161,0.100413,54.320580,5.858341,-0.331162,54.226210,5.735940,0.100413,54.320580,5.858341,-0.331162,54.226210,5.735940,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,119.145700,161.835600,124.543500,93.519400,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,2,0.066667,0.033333,-1269438207,25.000000,0,XBot Walk Neutral,0.000000,0.500000,-0.207541,56.412550,-0.147152,0.300488,56.995920,0.027370,-0.041233,0.999141,-0.004026,-0.208994,0.264216,-0.941547,-0.212614,56.447360,-0.148013,0.291482,57.008850,-0.004358,1785933915,4268402,1,1,1.170031,0.244922,0.578735,-0.041790,0.121923,-0.189662,1.164492,0.245755,1.021599,-0.012774,-0.124081,-0.092554,-0.207074,56.890230,-0.147179,0.300243,56.744830,0.027391,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.652100,163.769800,128.449700,91.160650,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,2,0.066667,0.033333,-1269438207,5.736770,0,Walking Backwards,0.736770,0.236770,0.109059,54.319120,5.862832,-0.331253,54.219480,5.781551,-0.002228,0.994386,0.105791,-0.002228,0.994386,0.105791,0.103407,54.319700,5.854265,-0.330655,54.224370,5.723688,0,0,0,0,0.103407,54.319700,5.854265,-0.330655,54.224370,5.723688,0.109059,54.319120,5.862832,-0.331253,54.219480,5.781551,0.109059,54.319120,5.862832,-0.331253,54.219480,5.781551,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,119.114900,163.123800,124.704000,93.114500,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,3,0.100000,0.033333,-1269438207,26.000000,0,XBot Walk Neutral,0.000000,0.500000,-0.204232,56.412690,-0.146423,0.303818,56.997420,0.028105,-0.041233,0.999141,-0.004026,-0.196457,0.265622,-0.943848,-0.209444,56.447500,-0.147362,0.294962,57.007450,-0.003883,1785933915,4268402,1,1,1.166861,0.245573,0.578869,-0.040065,0.120254,-0.190180,1.161168,0.246489,1.020462,-0.010356,-0.125114,-0.092261,-0.203751,56.889090,-0.146446,0.303562,56.743680,0.028124,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.652200,163.769700,128.449600,91.160640,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,3,0.100000,0.033333,-1269438207,5.896590,0,Walking Backwards,0.896590,0.396590,0.106934,54.315570,5.890160,-0.329875,54.224670,5.785328,-0.002233,0.994355,0.106084,-0.002233,0.994355,0.106084,0.105690,54.318210,5.868554,-0.330555,54.223480,5.757692,0,0,0,0,0.105690,54.318210,5.868554,-0.330555,54.223480,5.757692,0.106934,54.315570,5.890160,-0.329875,54.224670,5.785328,0.106934,54.315570,5.890160,-0.329875,54.224670,5.785328,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,120.026800,162.505100,122.832500,90.916550,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,4,0.133333,0.033333,-1269438207,27.000000,0,XBot Walk Neutral,0.000000,0.500000,-0.200885,56.412830,-0.145669,0.307205,56.995880,0.028868,-0.041233,0.999141,-0.004026,-0.189569,0.268674,-0.944393,-0.206184,56.447640,-0.146658,0.298576,57.006590,-0.003391,1785933915,4268402,1,1,1.163600,0.246277,0.579007,-0.038279,0.119192,-0.190661,1.157788,0.247250,1.019562,-0.007919,-0.125868,-0.091912,-0.200371,56.888190,-0.145685,0.306931,56.742740,0.028883,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.652100,163.769700,128.449600,91.160690,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,4,0.133333,0.033333,-1269438207,6.054862,0,Walking Backwards,0.054862,0.554862,0.100547,54.326330,5.965263,-0.328517,54.226790,5.790627,-0.002243,0.994292,0.106674,-0.002243,0.994292,0.106674,0.104353,54.320400,5.905732,-0.329755,54.224700,5.776083,0,0,0,0,0.104353,54.320400,5.905732,-0.329755,54.224700,5.776083,0.100547,54.326330,5.965263,-0.328517,54.226790,5.790627,0.100547,54.326330,5.965263,-0.328517,54.226790,5.790627,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,117.865600,162.461100,127.588400,90.923290,NaN,NaN,0,0,none,0,0,0,DefaultContact
