schema,actor,scenario,targetFps,frame,elapsedSeconds,deltaTime,animatorStateHash,animatorNormalizedTime,animatorInTransition,animatorPrimaryClip,leftGaitPhase01,rightGaitPhase01,leftRawX,leftRawY,leftRawZ,rightRawX,rightRawY,rightRawZ,leftRawNormalX,leftRawNormalY,leftRawNormalZ,rightRawNormalX,rightRawNormalY,rightRawNormalZ,leftFilteredX,leftFilteredY,leftFilteredZ,rightFilteredX,rightFilteredY,rightFilteredZ,leftSupportId,rightSupportId,leftSupportGeneration,rightSupportGeneration,leftAnchorX,leftAnchorY,leftAnchorZ,rightAnchorX,rightAnchorY,rightAnchorZ,leftActualLocalX,leftActualLocalY,leftActualLocalZ,rightActualLocalX,rightActualLocalY,rightActualLocalZ,leftActualX,leftActualY,leftActualZ,rightActualX,rightActualY,rightActualZ,leftIkWeight,rightIkWeight,leftLocked,rightLocked,leftReason,rightReason,pelvisOffset,leftKneeAngle,rightKneeAngle,leftAnkleAngle,rightAnkleAngle,leftGap,rightGap,leftFootStep60Hz,rightFootStep60Hz,leftKneeStep60Hz,rightKneeStep60Hz,leftAnkleStep60Hz,rightAnkleStep60Hz,pelvisStep60Hz,discontinuity,allowedTransition,allowedTransitionState,locomoting,pivoting,surfing,footPolicy
animation-contact-v1,player,start-idle-flat,30,0,0.000000,0.033333,-1269438207,17.962390,0,XBot Walk Neutral,0.962391,0.462391,-0.201630,56.412910,-0.118083,0.306310,56.884370,0.077946,-0.041233,0.999141,-0.004026,-0.341919,0.497123,-0.797471,-0.206441,56.447710,-0.126093,0.305238,56.916410,0.053231,1785933915,4391836,1,1,1.163858,0.266841,0.579080,-0.070018,0.010513,-0.178465,1.158691,0.275073,0.895886,-0.015769,-0.240195,-0.021253,-0.201274,56.764510,-0.117862,0.306039,56.616560,0.077786,0.000000,0.000000,0,0,Swing,Swing,0.000000,116.298400,163.438600,129.948000,91.181600,NaN,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,1,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,0,0.000000,0.033333,-1269438207,5.572401,0,Walking Backwards,0.572401,0.072401,0.119305,54.322270,5.852021,-0.312191,54.228290,5.728197,-0.001869,0.994477,0.104935,-0.001869,0.994477,0.104935,0.119872,54.321560,5.837919,-0.310932,54.228910,5.668053,0,0,0,0,0.119872,54.321560,5.837919,-0.310932,54.228910,5.668053,0.119305,54.322270,5.852021,-0.312191,54.228290,5.728197,0.119305,54.322270,5.852021,-0.312191,54.228290,5.728197,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,119.152000,161.835300,124.516000,93.418350,NaN,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,1,0.033333,0.033333,-1269438207,18.140530,0,XBot Walk Neutral,0.140532,0.640532,-0.205128,56.413020,-0.055459,0.306974,56.837540,0.046812,-0.041233,0.999141,-0.004026,-0.286607,0.499347,-0.817624,-0.205600,56.447840,-0.101284,0.307484,56.894780,0.042328,1785933915,4391836,1,1,1.163017,0.291651,0.579214,-0.074310,-0.016051,-0.177905,1.162195,0.337717,0.867134,-0.018070,-0.258852,-0.045211,-0.204778,56.735760,-0.055218,0.306731,56.612460,0.046653,0.000000,0.000000,0,0,Swing,Swing,0.000000,120.762300,164.131500,123.334300,92.210730,NaN,NaN,0.012880,0.007940,0.000000,0.000000,3.312808,0.631181,0.000000,0,0,none,1,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,1,0.033333,0.033333,-1269438207,5.734452,0,Walking Backwards,0.734452,0.234452,0.128110,54.321090,5.857207,-0.312019,54.221330,5.775535,-0.001875,0.994426,0.105416,-0.001875,0.994426,0.105416,0.122394,54.321500,5.848074,-0.311621,54.226300,5.716766,0,0,0,0,0.122394,54.321500,5.848074,-0.311621,54.226300,5.716766,0.128110,54.321090,5.857207,-0.312019,54.221330,5.775535,0.128110,54.321090,5.857207,-0.312019,54.221330,5.775535,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,119.075300,163.113100,124.718300,93.211370,NaN,NaN,0.005748,0.005513,0.000000,0.000000,0.636429,0.159490,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,2,0.066667,0.033333,-1269438207,18.307040,0,XBot Walk Neutral,0.307037,0.807037,-0.203528,56.413140,-0.043122,0.316832,56.791310,0.016399,-0.041233,0.999141,-0.004026,-0.184512,0.495554,-0.848753,-0.205462,56.447960,-0.072499,0.309196,56.855730,0.016077,1785933915,4391836,1,1,1.162879,0.320436,0.579336,-0.070303,-0.058253,-0.180756,1.160573,0.350095,0.864716,-0.010703,-0.268712,-0.071166,-0.203156,56.733350,-0.042840,0.316622,56.611190,0.016247,0.000000,0.000000,0,0,Swing,Swing,0.000000,120.445600,162.868800,123.926900,97.981720,NaN,NaN,0.001268,0.007836,0.000000,0.000000,0.657004,2.894621,0.000000,0,0,none,1,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,2,0.066667,0.033333,-1269438207,5.894928,0,Walking Backwards,0.894929,0.394929,0.126040,54.317250,5.882282,-0.310971,54.226760,5.777637,-0.001882,0.994375,0.105900,-0.001882,0.994375,0.105900,0.124726,54.320000,5.861912,-0.311525,54.225460,5.750667,0,0,0,0,0.124726,54.320000,5.861912,-0.311525,54.225460,5.750667,0.126040,54.317250,5.882282,-0.310971,54.226760,5.777637,0.126040,54.317250,5.882282,-0.310971,54.226760,5.777637,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,120.037000,162.504300,122.737200,90.834820,NaN,NaN,0.001092,0.006211,0.000000,0.000000,1.084623,1.193702,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,3,0.100000,0.033333,-1269438207,18.466030,0,XBot Walk Neutral,0.466030,0.966030,-0.188870,56.413650,-0.064017,0.324319,56.855270,0.053411,-0.041233,0.999141,-0.004026,-0.239007,0.500531,-0.832073,-0.200271,56.448220,-0.062616,0.313804,56.849870,0.011411,1785933915,4391836,1,1,1.157688,0.330319,0.579590,-0.068696,-0.063217,-0.181854,1.145884,0.329244,0.869759,-0.005893,-0.241030,-0.043022,-0.188468,56.738390,-0.063691,0.324028,56.619680,0.053183,0.000000,0.000000,0,0,Swing,Swing,0.000000,120.778000,160.150600,123.961400,98.080520,NaN,NaN,0.006211,0.006471,0.000000,0.000000,0.304546,0.701929,0.000000,0,0,none,1,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,3,0.100000,0.033333,-1269438207,6.053801,0,Walking Backwards,0.053801,0.553801,0.119759,54.328120,5.957739,-0.309329,54.228760,5.783668,-0.001889,0.994323,0.106387,-0.001889,0.994323,0.106387,0.123464,54.322180,5.898562,-0.310692,54.226700,5.768969,0,0,0,0,0.123464,54.322180,5.898562,-0.310692,54.226700,5.768969,0.119759,54.328120,5.957739,-0.309329,54.228760,5.783668,0.119759,54.328120,5.957739,-0.309329,54.228760,5.783668,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,117.858600,162.475400,127.536100,90.884460,NaN,NaN,0.012392,0.005211,0.000000,0.000000,2.606619,0.167859,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,4,0.133333,0.033333,-1269438207,18.619910,0,XBot Walk Neutral,0.619909,0.119909,-0.173720,56.414160,-0.093481,0.328875,56.990380,0.137109,-0.041233,0.999141,-0.004026,-0.406066,0.509807,-0.758425,-0.189819,56.448610,-0.072409,0.314828,56.892150,0.037219,1785933915,4391836,1,1,1.147235,0.320526,0.579982,-0.077471,-0.014171,-0.177662,1.130716,0.299813,0.864502,0.002530,-0.204293,0.033918,-0.173299,56.733130,-0.093122,0.328379,56.614240,0.136700,0.000000,0.000000,0,0,Swing,Swing,0.000000,122.693100,163.799000,124.069800,90.632900,NaN,NaN,0.007907,0.015796,0.000000,0.000000,0.474778,3.749671,0.000000,0,0,none,1,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,4,0.133333,0.033333,-1269438207,6.211047,0,Walking Backwards,0.211047,0.711047,0.120865,54.319380,6.005363,-0.315223,54.231350,5.785698,-0.001896,0.994270,0.106878,-0.001896,0.994270,0.106878,0.121907,54.322350,5.946915,-0.311934,54.228690,5.778505,0,0,0,0,0.121907,54.322350,5.946915,-0.311934,54.228690,5.778505,0.120865,54.319380,6.005363,-0.315223,54.231350,5.785698,0.120865,54.319380,6.005363,-0.315223,54.231350,5.785698,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,119.964200,162.384800,127.616500,90.929340,NaN,NaN,0.005520,0.006381,0.000000,0.000000,0.386137,0.557780,0.000000,0,0,none,0,0,0,DefaultContact
