schema,actor,scenario,targetFps,frame,elapsedSeconds,deltaTime,animatorStateHash,animatorNormalizedTime,animatorInTransition,animatorPrimaryClip,rootX,rootY,rootZ,upX,upY,upZ,velocityX,velocityY,velocityZ,moveIntentX,moveIntentY,stableSupport,leftGaitPhase01,rightGaitPhase01,leftRawX,leftRawY,leftRawZ,rightRawX,rightRawY,rightRawZ,leftRawNormalX,leftRawNormalY,leftRawNormalZ,rightRawNormalX,rightRawNormalY,rightRawNormalZ,leftFilteredX,leftFilteredY,leftFilteredZ,rightFilteredX,rightFilteredY,rightFilteredZ,leftSupportId,rightSupportId,leftSupportGeneration,rightSupportGeneration,leftAnchorX,leftAnchorY,leftAnchorZ,rightAnchorX,rightAnchorY,rightAnchorZ,leftActualLocalX,leftActualLocalY,leftActualLocalZ,rightActualLocalX,rightActualLocalY,rightActualLocalZ,leftActualX,leftActualY,leftActualZ,rightActualX,rightActualY,rightActualZ,leftIkWeight,rightIkWeight,leftLocked,rightLocked,leftReason,rightReason,pelvisOffset,leftKneeAngle,rightKneeAngle,leftAnkleAngle,rightAnkleAngle,leftGap,rightGap,leftFootStep60Hz,rightFootStep60Hz,leftKneeStep60Hz,rightKneeStep60Hz,leftAnkleStep60Hz,rightAnkleStep60Hz,pelvisStep60Hz,discontinuity,allowedTransition,allowedTransitionState,locomoting,pivoting,surfing,footPolicy
animation-contact-v1,player,start-idle-flat,30,0,0.000000,0.033333,-1269438207,23.000000,0,XBot Walk Neutral,0.046355,57.980090,-0.009454,0.000786,1.000000,-0.000163,0.076871,-0.014102,0.015550,0.000000,0.000000,1,0.000000,0.500000,-0.217604,56.412120,-0.151726,0.289867,56.426390,0.022831,-0.041233,0.999141,-0.004026,-0.091435,0.987216,-0.130557,-0.222095,56.446960,-0.151844,0.283717,56.460670,0.018339,1785933915,1785933915,1,1,1.179511,0.241090,0.578330,0.673700,0.411274,0.592045,1.174626,0.241139,1.045948,0.667280,0.415722,0.900662,-0.217209,56.914580,-0.151796,0.290137,56.769290,0.022787,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.651900,163.769700,128.449600,91.160640,NaN,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,0,0.000000,0.033333,-1269438207,23.000000,0,XBot Walk Neutral,0.000000,55.919430,5.352427,0.000000,0.995450,0.095281,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.500000,0.508343,54.809250,5.630132,0.205088,54.774420,5.977502,0.009226,0.994723,0.102180,0.003722,0.994091,0.108485,0.505557,54.843460,5.639740,0.185314,54.810690,5.968361,4556662,4556662,1,1,0.505557,54.843460,5.639740,0.185314,54.810690,5.968361,0.508343,55.218060,5.669264,0.205088,55.157820,6.014200,0.508343,55.218060,5.669264,0.205088,55.157820,6.014200,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.651800,163.769900,161.349600,127.570800,NaN,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,1,0.033333,0.033333,-1269438207,24.000000,0,XBot Walk Neutral,0.049150,57.979260,-0.009423,0.000834,1.000000,-0.000163,0.079056,-0.010985,0.016349,0.000000,0.000000,1,0.000000,0.500000,-0.214884,56.412230,-0.151696,0.292586,56.426640,0.022860,-0.041233,0.999141,-0.004026,-0.091435,0.987216,-0.130557,-0.219453,56.447070,-0.151849,0.286295,56.460910,0.018299,1785933915,1785933915,1,1,1.176869,0.241086,0.578439,0.671122,0.411234,0.592281,1.171882,0.241170,1.045135,0.664546,0.415752,0.899826,-0.214465,56.913760,-0.151765,0.292871,56.768460,0.022817,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.652000,163.769700,128.449600,91.160690,NaN,NaN,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,1,0.033333,0.033333,-1269438207,24.000000,0,XBot Walk Neutral,0.000000,55.919430,5.352427,0.000000,0.995450,0.095281,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.500000,0.524809,54.808260,5.638140,0.207882,54.775180,5.970409,0.009525,0.994705,0.102326,0.003773,0.994105,0.108356,0.512604,54.843470,5.639034,0.196768,54.810170,5.972826,4556662,4556662,1,1,0.512604,54.843470,5.639034,0.196768,54.810170,5.972826,0.524809,55.234840,5.678971,0.207882,55.151920,6.006469,0.524809,55.234840,5.678971,0.207882,55.151920,6.006469,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.652000,163.769700,164.414800,129.596000,NaN,NaN,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,2,0.066667,0.033333,-1269438207,25.000000,0,XBot Walk Neutral,0.052015,57.978540,-0.009369,0.000883,1.000000,-0.000162,0.081300,-0.008257,0.017005,0.000000,0.000000,1,0.000000,0.500000,-0.212094,56.412340,-0.151644,0.295379,56.426910,0.022913,-0.041233,0.999141,-0.004026,-0.091435,0.987216,-0.130557,-0.216743,56.447180,-0.151826,0.288983,56.461160,0.018309,1785933915,1785933915,1,1,1.174160,0.241109,0.578551,0.668434,0.411244,0.592533,1.169069,0.241222,1.044422,0.661737,0.415805,0.899090,-0.211652,56.913050,-0.151713,0.295680,56.767720,0.022870,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.652200,163.769700,128.449600,91.160660,NaN,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,2,0.066667,0.033333,-1269438207,25.000000,0,XBot Walk Neutral,0.000000,55.919430,5.352427,0.000000,0.995450,0.095281,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.500000,0.523738,54.808200,5.638833,0.192789,54.777110,5.953188,0.009505,0.994704,0.102338,0.003499,0.994140,0.108043,0.519024,54.843250,5.640522,0.198224,54.810680,5.968097,4556662,4556662,1,1,0.519024,54.843250,5.640522,0.198224,54.810680,5.968097,0.523738,55.234330,5.679622,0.192789,55.132030,5.987161,0.523738,55.234330,5.679622,0.192789,55.132030,5.987161,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.652400,163.769700,165.800400,129.777200,NaN,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,3,0.100000,0.033333,-1269438207,26.000000,0,XBot Walk Neutral,0.054954,57.977890,-0.009298,0.000934,1.000000,-0.000161,0.083586,-0.005849,0.017492,0.000000,0.000000,1,0.000000,0.500000,-0.209233,56.412460,-0.151574,0.298240,56.427190,0.022982,-0.041233,0.999141,-0.004026,-0.091435,0.987216,-0.130557,-0.213964,56.447300,-0.151780,0.291755,56.461430,0.018350,1785933915,1785933915,1,1,1.171381,0.241155,0.578665,0.665662,0.411285,0.592796,1.166183,0.241292,1.043808,0.658860,0.415875,0.898449,-0.208766,56.912440,-0.151642,0.298557,56.767080,0.022940,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.652100,163.769700,128.449600,91.160700,NaN,NaN,0.000004,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,3,0.100000,0.033333,-1269438207,26.000000,0,XBot Walk Neutral,0.000000,55.919430,5.352427,0.000000,0.995450,0.095281,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.500000,0.514373,54.809500,5.627079,0.198137,54.776330,5.960233,0.009335,0.994728,0.102125,0.003596,0.994126,0.108171,0.518919,54.843560,5.637622,0.197553,54.811060,5.964591,4556662,4556662,1,1,0.518919,54.843560,5.637622,0.197553,54.811060,5.964591,0.514373,55.221220,5.666488,0.198137,55.139770,5.995021,0.514373,55.221220,5.666488,0.198137,55.139770,5.995021,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.652000,163.769700,163.338000,128.294000,NaN,NaN,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,4,0.133333,0.033333,-1269438207,27.000000,0,XBot Walk Neutral,0.057967,57.977310,-0.009215,0.000985,1.000000,-0.000159,0.085957,-0.003686,0.017833,0.000000,0.000000,1,0.000000,0.500000,-0.206300,56.412580,-0.151493,0.301174,56.427470,0.023062,-0.041233,0.999141,-0.004026,-0.091435,0.987216,-0.130557,-0.211114,56.447410,-0.151717,0.294603,56.461700,0.018411,1785933915,1785933915,1,1,1.168531,0.241218,0.578783,0.662814,0.411346,0.593068,1.163225,0.241374,1.043228,0.655909,0.415956,0.897842,-0.205808,56.911860,-0.151561,0.301508,56.766470,0.023021,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.652000,163.769700,128.449600,91.160680,NaN,NaN,0.000004,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,4,0.133333,0.033333,-1269438207,27.000000,0,XBot Walk Neutral,0.000000,55.919430,5.352427,0.000000,0.995450,0.095281,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.500000,0.519913,54.808060,5.640528,0.205599,54.774540,5.976360,0.009436,0.994702,0.102369,0.003731,0.994093,0.108464,0.518708,54.843470,5.638478,0.200356,54.810520,5.969431,4556662,4556662,1,1,0.518708,54.843470,5.638478,0.200356,54.810520,5.969431,0.519913,55.232140,5.681119,0.205599,55.156880,6.012957,0.519913,55.232140,5.681119,0.205599,55.156880,6.012957,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.652400,163.769700,163.626300,129.242800,NaN,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
