schema,actor,scenario,targetFps,frame,elapsedSeconds,deltaTime,animatorStateHash,animatorNormalizedTime,animatorInTransition,animatorPrimaryClip,rootX,rootY,rootZ,upX,upY,upZ,velocityX,velocityY,velocityZ,moveIntentX,moveIntentY,stableSupport,leftGaitPhase01,rightGaitPhase01,leftRawX,leftRawY,leftRawZ,rightRawX,rightRawY,rightRawZ,leftRawNormalX,leftRawNormalY,leftRawNormalZ,rightRawNormalX,rightRawNormalY,rightRawNormalZ,leftFilteredX,leftFilteredY,leftFilteredZ,rightFilteredX,rightFilteredY,rightFilteredZ,leftSupportId,rightSupportId,leftSupportGeneration,rightSupportGeneration,leftSupportKind,rightSupportKind,leftAnchorX,leftAnchorY,leftAnchorZ,rightAnchorX,rightAnchorY,rightAnchorZ,leftActualLocalX,leftActualLocalY,leftActualLocalZ,rightActualLocalX,rightActualLocalY,rightActualLocalZ,leftActualX,leftActualY,leftActualZ,rightActualX,rightActualY,rightActualZ,leftIkWeight,rightIkWeight,leftLocked,rightLocked,leftReason,rightReason,leftPlantState,rightPlantState,pelvisOffset,leftKneeAngle,rightKneeAngle,leftAnkleAngle,rightAnkleAngle,leftGap,rightGap,leftFootStep60Hz,rightFootStep60Hz,leftKneeStep60Hz,rightKneeStep60Hz,leftAnkleStep60Hz,rightAnkleStep60Hz,pelvisStep60Hz,discontinuity,allowedTransition,allowedTransitionState,locomoting,pivoting,surfing,footPolicy
animation-contact-v1,player,start-idle-flat,30,0,0.000000,0.033333,-1269438207,15.023570,0,XBot Walk Neutral,-0.221720,57.123760,-0.179047,-0.003886,0.999988,-0.003131,0.057590,-0.017353,-0.027926,0.000000,0.000000,1,0.019111,0.519111,-0.477794,55.553790,-0.315919,0.029302,55.575420,-0.140604,-0.041233,0.999141,-0.004026,-0.041233,0.999141,-0.004026,-0.481512,55.588670,-0.314496,0.025620,55.610310,-0.139083,1785933915,1785933915,1,1,ArenaWalkableProxy,ArenaWalkableProxy,1.439107,0.078451,0.566961,0.931975,0.253865,0.588596,1.437338,0.075476,1.033360,0.929605,0.251305,0.890961,-0.479742,56.055070,-0.317471,0.027991,55.912670,-0.141643,0.000000,0.000000,0,0,Stance,Stance,Free,Free,0.000000,116.651300,163.773000,128.449600,91.157810,NaN,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,0,0.000000,0.033333,-1269438207,23.000000,0,XBot Walk Neutral,-0.267516,58.000000,3.549857,-0.004604,0.998122,0.061089,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.500000,-0.043809,56.899560,3.600526,-0.466696,56.908800,3.455351,0.000000,0.997981,0.063521,0.000000,0.997981,0.063521,-0.043809,56.934490,3.602749,-0.466696,56.943730,3.457574,4293235646,4293235646,1,1,PlanetGround,PlanetGround,0.223706,0.285003,0.120467,-0.199180,0.285002,-0.025001,0.222754,0.456923,0.119964,-0.199566,0.333863,-0.025205,-0.044762,57.106090,3.613167,-0.467082,56.992500,3.460474,0.000000,0.000000,0,0,Stance,Stance,Free,Free,0.000000,116.651900,163.769800,128.449600,91.160710,NaN,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,1,0.033333,0.033333,-1269438207,16.023570,0,XBot Walk Neutral,-0.219650,57.122960,-0.180444,-0.003850,0.999988,-0.003155,0.059094,-0.014359,-0.028505,0.000000,0.000000,1,0.019111,0.519111,-0.475783,55.553870,-0.317280,0.031313,55.575500,-0.141965,-0.041233,0.999141,-0.004026,-0.041233,0.999141,-0.004026,-0.479546,55.588750,-0.315841,0.027564,55.610380,-0.140490,1785933915,1785933915,1,1,ArenaWalkableProxy,ArenaWalkableProxy,1.437141,0.077107,0.567037,0.930031,0.252458,0.588671,1.435306,0.074105,1.032570,0.927577,0.249938,0.890160,-0.477710,56.054280,-0.318842,0.030018,55.911870,-0.143009,0.000000,0.000000,0,0,Stance,Stance,Free,Free,0.000000,116.651600,163.773000,128.449500,91.157840,NaN,NaN,0.000001,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,1,0.033333,0.033333,-1269438207,24.000000,0,XBot Walk Neutral,-0.267516,58.000000,3.549857,-0.004604,0.998122,0.061089,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.500000,-0.043809,56.899560,3.600526,-0.466696,56.908800,3.455351,0.000000,0.997981,0.063521,0.000000,0.997981,0.063521,-0.043809,56.934490,3.602749,-0.466696,56.943730,3.457574,4293235646,4293235646,1,1,PlanetGround,PlanetGround,0.223706,0.285003,0.120467,-0.199180,0.285002,-0.025001,0.222754,0.456923,0.119964,-0.199566,0.333863,-0.025205,-0.044762,57.106090,3.613167,-0.467082,56.992500,3.460474,0.000000,0.000000,0,0,Stance,Stance,Free,Free,0.000000,116.651900,163.769800,128.449600,91.160710,NaN,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,2,0.066667,0.033333,-1269438207,17.023570,0,XBot Walk Neutral,-0.217529,57.122260,-0.181864,-0.003813,0.999988,-0.003180,0.060667,-0.011572,-0.029290,0.000000,0.000000,1,0.019106,0.519106,-0.473723,55.553950,-0.318664,0.033373,55.575580,-0.143350,-0.041233,0.999141,-0.004026,-0.041233,0.999141,-0.004026,-0.477538,55.588830,-0.317203,0.029563,55.610460,-0.141875,1785933915,1785933915,1,1,ArenaWalkableProxy,ArenaWalkableProxy,1.435133,0.075745,0.567115,0.928032,0.251073,0.588748,1.433224,0.072711,1.031872,0.925503,0.248548,0.889442,-0.475629,56.053590,-0.320236,0.032093,55.911160,-0.144400,0.000000,0.000000,0,0,Stance,Stance,Free,Free,0.000000,116.651400,163.773000,128.449600,91.157850,NaN,NaN,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,2,0.066667,0.033333,-1269438207,25.000000,0,XBot Walk Neutral,-0.267516,58.000000,3.549857,-0.004604,0.998122,0.061089,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.500000,-0.043809,56.899560,3.600526,-0.466696,56.908800,3.455351,0.000000,0.997981,0.063521,0.000000,0.997981,0.063521,-0.043809,56.934490,3.602749,-0.466696,56.943730,3.457574,4293235646,4293235646,1,1,PlanetGround,PlanetGround,0.223706,0.285003,0.120467,-0.199180,0.285002,-0.025001,0.222754,0.456923,0.119964,-0.199566,0.333863,-0.025205,-0.044762,57.106090,3.613167,-0.467082,56.992500,3.460474,0.000000,0.000000,0,0,Stance,Stance,Free,Free,0.000000,116.651900,163.769800,128.449600,91.160710,NaN,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,3,0.100000,0.033333,-1269438207,18.023570,0,XBot Walk Neutral,-0.215357,57.121640,-0.183315,-0.003776,0.999988,-0.003206,0.062303,-0.009113,-0.030264,0.000000,0.000000,1,0.019106,0.519106,-0.471616,55.554030,-0.320080,0.035484,55.575660,-0.144764,-0.041233,0.999141,-0.004026,-0.015190,0.999581,-0.024631,-0.475485,55.588910,-0.318588,0.031921,55.610540,-0.143511,1785933915,1785933915,1,1,ArenaWalkableProxy,ArenaWalkableProxy,1.433080,0.074360,0.567194,0.925674,0.249437,0.588830,1.431095,0.071285,1.031258,0.923376,0.247128,0.888813,-0.473499,56.052970,-0.321662,0.034220,55.910530,-0.145820,0.000000,0.000000,0,0,Stance,Stance,Free,Free,0.000000,116.651400,163.773000,128.449500,91.157860,NaN,NaN,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,3,0.100000,0.033333,-1269438207,26.000000,0,XBot Walk Neutral,-0.267516,58.000000,3.549857,-0.004604,0.998122,0.061089,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.500000,-0.043809,56.899560,3.600526,-0.466696,56.908800,3.455351,0.000000,0.997981,0.063521,0.000000,0.997981,0.063521,-0.043809,56.934490,3.602749,-0.466696,56.943730,3.457574,4293235646,4293235646,1,1,PlanetGround,PlanetGround,0.223706,0.285003,0.120467,-0.199180,0.285002,-0.025001,0.222754,0.456923,0.119964,-0.199566,0.333863,-0.025205,-0.044762,57.106090,3.613167,-0.467082,56.992500,3.460474,0.000000,0.000000,0,0,Stance,Stance,Free,Free,0.000000,116.651900,163.769800,128.449600,91.160710,NaN,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,4,0.133333,0.033333,-1269438207,19.023570,0,XBot Walk Neutral,-0.213130,57.121090,-0.184802,-0.003737,0.999988,-0.003231,0.064014,-0.007005,-0.031385,0.000000,0.000000,1,0.019103,0.519103,-0.469450,55.554120,-0.321526,0.037649,55.575650,-0.146212,-0.041233,0.999141,-0.004026,-0.015190,0.999581,-0.024631,-0.473381,55.588990,-0.320000,0.034349,55.610600,-0.145183,1785933915,1785933915,1,1,ArenaWalkableProxy,ArenaWalkableProxy,1.430977,0.072947,0.567275,0.923247,0.247765,0.588884,1.428907,0.069828,1.030712,0.921196,0.245672,0.888256,-0.471312,56.052430,-0.323119,0.036400,55.909970,-0.147275,0.000000,0.000000,0,0,Stance,Stance,Free,Free,0.000000,116.651500,163.773100,128.449600,91.157810,NaN,NaN,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,4,0.133333,0.033333,-1269438207,27.000000,0,XBot Walk Neutral,-0.267516,58.000000,3.549857,-0.004604,0.998122,0.061089,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.500000,-0.043809,56.899560,3.600526,-0.466696,56.908800,3.455351,0.000000,0.997981,0.063521,0.000000,0.997981,0.063521,-0.043809,56.934490,3.602749,-0.466696,56.943730,3.457574,4293235646,4293235646,1,1,PlanetGround,PlanetGround,0.223706,0.285003,0.120467,-0.199180,0.285002,-0.025001,0.222754,0.456923,0.119964,-0.199566,0.333863,-0.025205,-0.044762,57.106090,3.613167,-0.467082,56.992500,3.460474,0.000000,0.000000,0,0,Stance,Stance,Free,Free,0.000000,116.651900,163.769800,128.449600,91.160710,NaN,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,5,0.166667,0.033333,-1269438207,20.023570,0,XBot Walk Neutral,-0.210847,57.120610,-0.186330,-0.003697,0.999988,-0.003258,0.065757,-0.005067,-0.032701,0.000000,0.000000,1,0.019106,0.519106,-0.467231,55.554200,-0.323013,0.039869,55.575650,-0.147700,-0.041233,0.999141,-0.004026,-0.015190,0.999581,-0.024631,-0.471225,55.589070,-0.321445,0.036672,55.610620,-0.146762,1785933915,1785933915,1,1,ArenaWalkableProxy,ArenaWalkableProxy,1.428820,0.071502,0.567358,0.920923,0.246186,0.588909,1.426667,0.068329,1.030239,0.918961,0.244177,0.887764,-0.469071,56.051950,-0.324618,0.038635,55.909480,-0.148771,0.000000,0.000000,0,0,Stance,Stance,Free,Free,0.000000,116.651300,163.773000,128.449500,91.157810,NaN,NaN,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,5,0.166667,0.033333,-1269438207,28.000000,0,XBot Walk Neutral,-0.267516,58.000000,3.549857,-0.004604,0.998122,0.061089,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.500000,-0.043809,56.899560,3.600526,-0.466696,56.908800,3.455351,0.000000,0.997981,0.063521,0.000000,0.997981,0.063521,-0.043809,56.934490,3.602749,-0.466696,56.943730,3.457574,4293235646,4293235646,1,1,PlanetGround,PlanetGround,0.223706,0.285003,0.120467,-0.199180,0.285002,-0.025001,0.222754,0.456923,0.119964,-0.199566,0.333863,-0.025205,-0.044762,57.106090,3.613167,-0.467082,56.992500,3.460474,0.000000,0.000000,0,0,Stance,Stance,Free,Free,0.000000,116.651900,163.769800,128.449600,91.160710,NaN,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,6,0.200000,0.033333,-1269438207,21.023570,0,XBot Walk Neutral,-0.208506,57.120190,-0.187903,-0.003656,0.999988,-0.003286,0.067604,-0.003382,-0.034064,0.000000,0.000000,1,0.019106,0.519106,-0.464955,55.554290,-0.324546,0.042146,55.575650,-0.149232,-0.041233,0.999141,-0.004026,-0.015190,0.999581,-0.024631,-0.469014,55.589160,-0.322929,0.038955,55.610630,-0.148303,1785933915,1785933915,1,1,ArenaWalkableProxy,ArenaWalkableProxy,1.426609,0.070018,0.567443,0.918641,0.244645,0.588917,1.424369,0.066785,1.029827,0.916669,0.242637,0.887337,-0.466773,56.051540,-0.326162,0.040927,55.909050,-0.150311,0.000000,0.000000,0,0,Stance,Stance,Free,Free,0.000000,116.651300,163.773000,128.449500,91.157860,NaN,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,6,0.200000,0.033333,-1269438207,29.000000,0,XBot Walk Neutral,-0.267516,58.000000,3.549857,-0.004604,0.998122,0.061089,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.500000,-0.043809,56.899560,3.600526,-0.466696,56.908800,3.455351,0.000000,0.997981,0.063521,0.000000,0.997981,0.063521,-0.043809,56.934490,3.602749,-0.466696,56.943730,3.457574,4293235646,4293235646,1,1,PlanetGround,PlanetGround,0.223706,0.285003,0.120467,-0.199180,0.285002,-0.025001,0.222754,0.456923,0.119964,-0.199566,0.333863,-0.025205,-0.044762,57.106090,3.613167,-0.467082,56.992500,3.460474,0.000000,0.000000,0,0,Stance,Stance,Free,Free,0.000000,116.651900,163.769800,128.449600,91.160710,NaN,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,7,0.233333,0.033333,-1269438207,22.023570,0,XBot Walk Neutral,-0.206104,57.119810,-0.189524,-0.003614,0.999988,-0.003314,0.069524,-0.002025,-0.035507,0.000000,0.000000,1,0.019103,0.519103,-0.462620,55.554380,-0.326123,0.044482,55.575650,-0.150810,-0.041233,0.999141,-0.004026,-0.015190,0.999581,-0.024631,-0.466747,55.589240,-0.324456,0.041250,55.610630,-0.149851,1785933915,1785933915,1,1,ArenaWalkableProxy,ArenaWalkableProxy,1.424342,0.068492,0.567530,0.916345,0.243096,0.588918,1.422011,0.065195,1.029446,0.914317,0.241051,0.886940,-0.464416,56.051160,-0.327753,0.043278,55.908650,-0.151897,0.000000,0.000000,0,0,Stance,Stance,Free,Free,0.000000,116.651600,163.773100,128.449500,91.157810,NaN,NaN,0.000003,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,7,0.233333,0.033333,-1269438207,30.000000,0,XBot Walk Neutral,-0.267516,58.000000,3.549857,-0.004604,0.998122,0.061089,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.500000,-0.043809,56.899560,3.600526,-0.466696,56.908800,3.455351,0.000000,0.997981,0.063521,0.000000,0.997981,0.063521,-0.043809,56.934490,3.602749,-0.466696,56.943730,3.457574,4293235646,4293235646,1,1,PlanetGround,PlanetGround,0.223706,0.285003,0.120467,-0.199180,0.285002,-0.025001,0.222754,0.456923,0.119964,-0.199566,0.333863,-0.025205,-0.044762,57.106090,3.613167,-0.467082,56.992500,3.460474,0.000000,0.000000,0,0,Stance,Stance,Free,Free,0.000000,116.651900,163.769800,128.449600,91.160710,NaN,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,8,0.266667,0.033333,-1269438207,23.023570,0,XBot Walk Neutral,-0.203638,57.119480,-0.191195,-0.003571,0.999988,-0.003343,0.071510,-0.000838,-0.037062,0.000000,0.000000,1,0.019106,0.519106,-0.460224,55.554470,-0.327750,0.046879,55.575640,-0.152437,-0.041233,0.999141,-0.004026,-0.015190,0.999581,-0.024631,-0.464420,55.589330,-0.326028,0.043588,55.610630,-0.151431,1785933915,1785933915,1,1,ArenaWalkableProxy,ArenaWalkableProxy,1.422015,0.066920,0.567620,0.914007,0.241516,0.588916,1.419592,0.063555,1.029125,0.911904,0.239415,0.886604,-0.461996,56.050840,-0.329392,0.045691,55.908320,-0.153532,0.000000,0.000000,0,0,Stance,Stance,Free,Free,0.000000,116.651400,163.773000,128.449500,91.157790,NaN,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,8,0.266667,0.033333,-1269438207,31.000000,0,XBot Walk Neutral,-0.267516,58.000000,3.549857,-0.004604,0.998122,0.061089,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.500000,-0.043809,56.899560,3.600526,-0.466696,56.908800,3.455351,0.000000,0.997981,0.063521,0.000000,0.997981,0.063521,-0.043809,56.934490,3.602749,-0.466696,56.943730,3.457574,4293235646,4293235646,1,1,PlanetGround,PlanetGround,0.223706,0.285003,0.120467,-0.199180,0.285002,-0.025001,0.222754,0.456923,0.119964,-0.199566,0.333863,-0.025205,-0.044762,57.106090,3.613167,-0.467082,56.992500,3.460474,0.000000,0.000000,0,0,Stance,Stance,Free,Free,0.000000,116.651900,163.769800,128.449600,91.160710,NaN,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,9,0.300000,0.033333,-1269438207,24.023570,0,XBot Walk Neutral,-0.201107,57.119190,-0.192918,-0.003527,0.999988,-0.003373,0.073583,0.000121,-0.038595,0.000000,0.000000,1,0.019103,0.519103,-0.457763,55.554570,-0.329428,0.049343,55.575640,-0.154115,-0.041233,0.999141,-0.004026,-0.015190,0.999581,-0.024631,-0.462032,55.589420,-0.327648,0.045981,55.610630,-0.153054,1785933915,1785933915,1,1,ArenaWalkableProxy,ArenaWalkableProxy,1.419628,0.065300,0.567712,0.911614,0.239893,0.588913,1.417108,0.061864,1.028835,0.909425,0.237729,0.886295,-0.459512,56.050550,-0.331083,0.048171,55.908010,-0.155219,0.000000,0.000000,0,0,Stance,Stance,Free,Free,0.000000,116.651400,163.773100,128.449500,91.157870,NaN,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,9,0.300000,0.033333,-1269438207,32.000000,0,XBot Walk Neutral,-0.267516,58.000000,3.549857,-0.004604,0.998122,0.061089,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.500000,-0.043809,56.899560,3.600526,-0.466696,56.908800,3.455351,0.000000,0.997981,0.063521,0.000000,0.997981,0.063521,-0.043809,56.934490,3.602749,-0.466696,56.943730,3.457574,4293235646,4293235646,1,1,PlanetGround,PlanetGround,0.223706,0.285003,0.120467,-0.199180,0.285002,-0.025001,0.222754,0.456923,0.119964,-0.199566,0.333863,-0.025205,-0.044762,57.106090,3.613167,-0.467082,56.992500,3.460474,0.000000,0.000000,0,0,Stance,Stance,Free,Free,0.000000,116.651900,163.769800,128.449600,91.160710,NaN,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,10,0.333333,0.033333,-1269438207,25.023570,0,XBot Walk Neutral,-0.198507,57.118930,-0.194693,-0.003482,0.999988,-0.003404,0.075722,0.000857,-0.040161,0.000000,0.000000,1,0.019106,0.519106,-0.455235,55.554660,-0.331156,0.051869,55.575630,-0.155843,-0.041233,0.999141,-0.004026,-0.015190,0.999581,-0.024631,-0.459580,55.589520,-0.329317,0.048435,55.610620,-0.154725,1785933915,1785933915,1,1,ArenaWalkableProxy,ArenaWalkableProxy,1.417176,0.063630,0.567806,0.909161,0.238222,0.588910,1.414557,0.060122,1.028584,0.906883,0.235991,0.886025,-0.456961,56.050300,-0.332826,0.050713,55.907740,-0.156957,0.000000,0.000000,0,0,Stance,Stance,Free,Free,0.000000,116.651300,163.773100,128.449600,91.157810,NaN,NaN,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,10,0.333333,0.033333,-1269438207,33.000000,0,XBot Walk Neutral,-0.267516,58.000000,3.549857,-0.004604,0.998122,0.061089,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.500000,-0.043809,56.899560,3.600526,-0.466696,56.908800,3.455351,0.000000,0.997981,0.063521,0.000000,0.997981,0.063521,-0.043809,56.934490,3.602749,-0.466696,56.943730,3.457574,4293235646,4293235646,1,1,PlanetGround,PlanetGround,0.223706,0.285003,0.120467,-0.199180,0.285002,-0.025001,0.222754,0.456923,0.119964,-0.199566,0.333863,-0.025205,-0.044762,57.106090,3.613167,-0.467082,56.992500,3.460474,0.000000,0.000000,0,0,Stance,Stance,Free,Free,0.000000,116.651900,163.769800,128.449600,91.160710,NaN,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,11,0.366667,0.033333,-1269438207,26.023570,0,XBot Walk Neutral,-0.195837,57.118680,-0.196520,-0.003435,0.999988,-0.003436,0.077949,0.001454,-0.041765,0.000000,0.000000,1,0.019103,0.519103,-0.452639,55.554760,-0.332934,0.054468,55.575630,-0.157622,-0.041233,0.999141,-0.004026,-0.015190,0.999581,-0.024631,-0.457063,55.589620,-0.331037,0.050954,55.610620,-0.156445,1785933915,1785933915,1,1,ArenaWalkableProxy,ArenaWalkableProxy,1.414658,0.061911,0.567904,0.906642,0.236502,0.588906,1.411937,0.058329,1.028366,0.904268,0.234203,0.885792,-0.454341,56.050080,-0.334618,0.053328,55.907510,-0.158745,0.000000,0.000000,0,0,Stance,Stance,Free,Free,0.000000,116.651300,163.773000,128.449500,91.157810,NaN,NaN,0.000005,0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,11,0.366667,0.033333,-1269438207,34.000000,0,XBot Walk Neutral,-0.267516,58.000000,3.549857,-0.004604,0.998122,0.061089,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.500000,-0.043809,56.899560,3.600526,-0.466696,56.908800,3.455351,0.000000,0.997981,0.063521,0.000000,0.997981,0.063521,-0.043809,56.934490,3.602749,-0.466696,56.943730,3.457574,4293235646,4293235646,1,1,PlanetGround,PlanetGround,0.223706,0.285003,0.120467,-0.199180,0.285002,-0.025001,0.222754,0.456923,0.119964,-0.199566,0.333863,-0.025205,-0.044762,57.106090,3.613167,-0.467082,56.992500,3.460474,0.000000,0.000000,0,0,Stance,Stance,Free,Free,0.000000,116.651900,163.769800,128.449600,91.160710,NaN,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,12,0.400000,0.033333,-1269438207,27.023570,0,XBot Walk Neutral,-0.193093,57.118450,-0.198401,-0.003387,0.999988,-0.003469,0.080248,0.001873,-0.043308,0.000000,0.000000,1,0.019106,0.519106,-0.449971,55.554860,-0.334764,0.057138,55.575620,-0.159453,-0.041233,0.999141,-0.004026,-0.015190,0.999581,-0.024631,-0.454477,55.589720,-0.332807,0.053542,55.610610,-0.158216,1785933915,1785933915,1,1,ArenaWalkableProxy,ArenaWalkableProxy,1.412072,0.060140,0.568003,0.904054,0.234731,0.588901,1.409243,0.056483,1.028152,0.901582,0.232361,0.885559,-0.451648,56.049870,-0.336464,0.056014,55.907270,-0.160586,0.000000,0.000000,0,0,Stance,Stance,Free,Free,0.000000,116.651300,163.773000,128.449600,91.157840,NaN,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
