frame,time,dt,speed,gaitRate,leftIkWeight,rightIkWeight,pelvis,leftLocked,rightLocked,supportId,supportGeneration,leftX,leftY,leftZ,rightX,rightY,rightZ,leftKneeX,leftKneeY,leftKneeZ,rightKneeX,rightKneeY,rightKneeZ,leftReason,rightReason,animatorState,normalizedTime
0,26.073600,0.046176,0.07288,0.95282,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.107139,0.065179,-0.059202,0.102291,0.005849,0.012634,-0.268343,-0.900836,0.341302,0.176103,-0.976852,0.121445,Stance,Stance,-1269438207,5.937843
1,26.104010,0.030406,0.18742,0.91018,0.00000,0.11544,-0.01998,0,1,1785933915,1,-0.106869,0.052526,-0.056925,0.103687,-0.004000,-0.012291,-0.264907,-0.902851,0.338652,0.173040,-0.983260,0.057062,Swing,Capture,-1269438207,6.568414
2,26.127020,0.023012,0.30859,0.88580,0.00000,0.19145,-0.03844,0,1,1785933915,1,-0.103899,0.038068,-0.065585,0.101595,-0.014615,-0.025332,-0.263302,-0.919066,0.293239,0.163092,-0.986590,0.006362,Swing,Stance,-1269438207,0.644736
3,26.151820,0.024801,0.46360,0.86885,0.00000,0.24898,-0.05045,0,1,1785933915,1,-0.104057,0.027856,-0.082308,0.099971,-0.024154,-0.042800,-0.264508,-0.934691,0.237461,0.155312,-0.987022,-0.040821,Swing,Stance,-1269438207,0.753375
4,26.176850,0.025024,0.63720,0.86089,0.00000,0.18698,-0.06029,0,0,1785933915,1,-0.102825,0.032213,-0.098329,0.105402,-0.028453,-0.006728,-0.268012,-0.940145,0.210468,0.171554,-0.983207,0.062231,Swing,Swing,-1269438207,0.834648
5,26.202040,0.025195,0.83168,0.86208,0.00000,0.12442,-0.06726,0,0,1785933915,1,-0.102356,0.037145,-0.100998,0.105421,-0.027844,0.015877,-0.271442,-0.935719,0.225275,0.181212,-0.970719,0.157691,Swing,Swing,-1269438207,0.895861
6,26.222560,0.020523,1.00259,0.86818,0.00000,0.06143,-0.07195,0,0,1785933915,1,-0.103593,0.036729,-0.091244,0.104689,-0.028887,0.027876,-0.269564,-0.926743,0.261692,0.180692,-0.966774,0.180828,Swing,Swing,-1269438207,0.944218
7,26.242490,0.019922,1.17468,0.87639,0.00000,0.01013,-0.06804,0,0,1785933915,1,-0.106091,0.035716,-0.073276,0.102753,-0.027331,0.025483,-0.269361,-0.913502,0.304892,0.176286,-0.971834,0.156405,Swing,Swing,-1269438207,0.977544
8,26.274850,0.032359,1.45893,0.89169,0.00000,0.00000,-0.05718,0,0,1785933915,1,-0.108957,0.035244,-0.051402,0.100351,-0.022822,0.012700,-0.270218,-0.897259,0.349154,0.172348,-0.978418,0.113997,Swing,Swing,-1269438207,1.005674
9,26.296570,0.021728,1.64289,0.90185,0.00000,0.00000,-0.03775,0,0,1785933915,1,-0.112234,0.030024,-0.010464,0.095702,-0.014201,-0.013058,-0.261619,-0.877215,0.402554,0.165200,-0.985386,0.041521,Swing,Swing,-1269438207,1.043500
10,26.315210,0.018641,1.79554,0.91021,0.00000,0.00000,-0.02709,0,0,1785933915,1,-0.113751,0.024277,0.021314,0.092971,-0.009237,-0.031917,-0.251618,-0.867816,0.428467,0.161661,-0.986792,-0.010370,Swing,Swing,-1269438207,1.066424
11,26.333500,0.018284,1.93934,0.91795,0.00000,0.00000,-0.01994,0,0,1785933915,1,-0.114571,0.020405,0.055328,0.090570,-0.005720,-0.051018,-0.241669,-0.856332,0.456390,0.158866,-0.985423,-0.060850,Swing,Swing,-1269438207,1.084647
12,26.354660,0.021164,2.09416,0.92605,0.00000,0.00000,-0.01454,0,0,1785933915,1,-0.114650,0.019188,0.091026,0.087857,-0.002867,-0.071145,-0.231555,-0.844025,0.483739,0.155184,-0.981446,-0.112610,Swing,Swing,-1269438207,1.101380
13,26.372810,0.018150,2.21410,0.93212,0.00000,0.00000,-0.00994,0,0,1785933915,1,-0.114195,0.020529,0.124649,0.085221,-0.000594,-0.090509,-0.222470,-0.833997,0.504932,0.151761,-0.975458,-0.159534,Swing,Swing,-1269438207,1.120346
14,26.391570,0.018765,2.32468,0.93753,0.00000,0.00000,-0.00710,0,0,1785933915,1,-0.113976,0.022626,0.146956,0.083656,0.000422,-0.104300,-0.215921,-0.827156,0.518836,0.150531,-0.970246,-0.189637,Swing,Swing,-1269438207,1.136718
15,26.409630,0.018055,2.41789,0.94193,0.00000,0.00000,-0.00498,0,0,1785933915,1,-0.113490,0.024968,0.166358,0.082185,0.000811,-0.118122,-0.208806,-0.818916,0.534581,0.150106,-0.964537,-0.217112,Swing,Swing,-1269438207,1.153744
16,26.429850,0.020224,2.50755,0.94600,0.00000,0.00000,-0.00351,0,0,1785933915,1,-0.112740,0.026812,0.181476,0.080528,0.000744,-0.131565,-0.201821,-0.806963,0.555049,0.149402,-0.958729,-0.241903,Swing,Swing,-1269438207,1.170201
17,26.451620,0.021767,2.58802,0.94950,0.00000,0.00000,-0.00236,0,0,1785933915,1,-0.112133,0.027439,0.193878,0.078413,0.000416,-0.146912,-0.193802,-0.789084,0.582913,0.147991,-0.951568,-0.269477,Swing,Swing,-1269438207,1.188716
18,26.473020,0.021403,2.65281,0.95219,0.00000,0.00000,-0.00153,0,0,1785933915,1,-0.111369,0.024104,0.200692,0.075806,-0.000342,-0.163162,-0.187932,-0.773276,0.605579,0.145095,-0.943031,-0.299399,Swing,Swing,-1269438207,1.208717
19,26.490330,0.017306,2.69618,0.95392,0.05351,0.00000,-0.00737,1,0,1785933915,1,-0.110704,0.008368,0.193231,0.073357,-0.004813,-0.178418,-0.186242,-0.776823,0.601548,0.142691,-0.933837,-0.328007,Capture,Swing,-1269438207,1.228439
20,26.506980,0.016653,2.73120,0.95525,0.09677,0.00000,-0.01719,1,0,1785933915,1,-0.110099,-0.007314,0.170599,0.072316,-0.002481,-0.189906,-0.189281,-0.805147,0.562059,0.143976,-0.926028,-0.348918,Stance,Swing,-1269438207,1.244415
21,26.530660,0.023680,2.77138,0.95672,0.13840,0.00000,-0.02792,1,0,1785933915,1,-0.110434,-0.021164,0.138067,0.071716,0.002579,-0.199628,-0.195270,-0.841958,0.502967,0.145432,-0.918919,-0.366657,Stance,Swing,-1269438207,1.259810
22,26.563190,0.032528,2.81169,0.95808,0.07920,0.00000,-0.04234,0,0,1785933915,1,-0.110509,-0.013999,0.160475,0.071659,0.010513,-0.210650,-0.192161,-0.807919,0.557083,0.146119,-0.909542,-0.389080,Swing,Swing,-1269438207,1.281734
23,26.587930,0.024737,2.83386,0.95878,0.00000,0.00000,-0.04312,0,0,1785933915,1,-0.111636,-0.006137,0.160974,0.073295,0.027789,-0.221211,-0.191235,-0.802840,0.564693,0.152234,-0.905675,-0.395699,Swing,Swing,-1269438207,1.311893
24,26.610140,0.022215,2.84945,0.95926,0.00000,0.00000,-0.03403,0,0,1785933915,1,-0.112696,-0.001971,0.141692,0.076207,0.041675,-0.224590,-0.194287,-0.812829,0.549147,0.160791,-0.909860,-0.382493,Swing,Swing,-1269438207,1.334845
25,26.632150,0.022005,2.86170,0.95962,0.00000,0.00000,-0.02547,0,0,1785933915,1,-0.113138,0.002179,0.122161,0.080787,0.051379,-0.222945,-0.196946,-0.820468,0.536698,0.172718,-0.919555,-0.352968,Swing,Swing,-1269438207,1.355467
26,26.655810,0.023659,2.87200,0.95992,0.00000,0.00000,-0.01829,0,0,1785933915,1,-0.112792,0.004676,0.103378,0.088722,0.056814,-0.211355,-0.199419,-0.838228,0.507549,0.194247,-0.937384,-0.289100,Swing,Swing,-1269438207,1.375903
27,26.683090,0.027287,2.88093,0.96016,0.00000,0.00000,-0.01240,0,0,1785933915,1,-0.110746,0.005728,0.079136,0.097119,0.060598,-0.192707,-0.199770,-0.870096,0.450583,0.214319,-0.954356,-0.208018,Swing,Swing,-1269438207,1.397881
28,26.705370,0.022277,2.88639,0.96030,0.00000,0.00000,-0.00769,0,0,1785933915,1,-0.106853,0.006814,0.058184,0.105507,0.061001,-0.165901,-0.196203,-0.901345,0.386111,0.229930,-0.967502,-0.105222,Swing,Swing,-1269438207,1.423236
29,26.730180,0.024807,2.89099,0.96042,0.00000,0.00000,-0.00511,0,0,1785933915,1,-0.103103,0.006875,0.039980,0.111333,0.059082,-0.137923,-0.193595,-0.926848,0.321672,0.237165,-0.971430,-0.008772,Swing,Swing,-1269438207,1.443938
30,26.752240,0.022066,2.89404,0.96049,0.00000,0.00000,-0.00320,0,0,1785933915,1,-0.097866,0.006741,0.017947,0.116847,0.054884,-0.104080,-0.186517,-0.952276,0.241625,0.239732,-0.966720,0.089340,Swing,Swing,-1269438207,1.466994
31,26.776050,0.023805,2.89650,0.96054,0.00000,0.00000,-0.00209,0,0,1785933915,1,-0.092757,0.007105,-0.002572,0.120559,0.049415,-0.071499,-0.177206,-0.969508,0.169273,0.237452,-0.956874,0.167356,Swing,Swing,-1269438207,1.487505
32,26.799190,0.023147,2.89824,0.96057,0.00000,0.00000,-0.00131,0,0,1785933915,1,-0.087910,0.008064,-0.023236,0.123255,0.042452,-0.033952,-0.166825,-0.981008,0.098960,0.230928,-0.942489,0.241633,Swing,Swing,-1269438207,1.509633
33,26.818380,0.019183,2.89931,0.96059,0.00000,0.00000,-0.00082,0,0,1785933915,1,-0.084220,0.009036,-0.042071,0.123850,0.035271,0.004229,-0.159104,-0.986648,0.034819,0.221787,-0.927061,0.302274,Swing,Swing,-1269438207,1.531150
34,26.841540,0.023165,2.90024,0.96060,0.00000,0.00000,-0.00056,0,0,1785933915,1,-0.081902,0.009634,-0.057361,0.123021,0.029746,0.036301,-0.153536,-0.987993,-0.017240,0.213687,-0.914859,0.342595,Swing,Swing,-1269438207,1.548982
35,26.863680,0.022141,2.90083,0.96061,0.00000,0.05791,-0.00752,0,1,1785933915,1,-0.079603,0.006560,-0.075024,0.120596,0.019120,0.062686,-0.145756,-0.986174,-0.078845,0.206462,-0.913510,0.350532,Swing,Capture,-1269438207,1.570516
36,26.890590,0.026906,2.90127,0.96060,0.00000,0.11326,-0.02073,0,1,1785933915,1,-0.077714,-0.000077,-0.090719,0.117905,0.003518,0.067500,-0.140134,-0.981334,-0.131705,0.201802,-0.930430,0.305902,Swing,Stance,-1269438207,1.591098
37,26.913190,0.022606,2.90149,0.96060,0.00000,0.04600,-0.02706,0,0,1785933915,1,-0.075584,-0.004031,-0.109690,0.113074,0.005146,0.139173,-0.138493,-0.974027,-0.179138,0.193019,-0.887633,0.418153,Swing,Swing,-1269438207,1.616111
38,26.935290,0.022099,2.90162,0.96059,0.00000,0.00000,-0.02381,0,0,1785933915,1,-0.074237,-0.002982,-0.125759,0.108070,0.011121,0.177788,-0.144310,-0.968655,-0.202192,0.186577,-0.871180,0.454131,Swing,Swing,-1269438207,1.637126
39,26.958740,0.023452,2.90170,0.96058,0.00000,0.00000,-0.01875,0,0,1785933915,1,-0.072277,-0.000836,-0.141702,0.103224,0.016338,0.201691,-0.151086,-0.964652,-0.215914,0.183369,-0.860347,0.475583,Swing,Swing,-1269438207,1.657669
40,26.978030,0.019288,2.90158,0.96055,0.00000,0.00000,-0.01361,0,0,1785933915,1,-0.069623,0.001651,-0.158848,0.099620,0.020046,0.219833,-0.155701,-0.960921,-0.228885,0.179985,-0.845872,0.502102,Swing,Swing,-1269438207,1.679469
41,26.997630,0.019601,2.90102,0.96047,0.00000,0.00000,-0.01011,0,0,1785933915,1,-0.066389,0.003411,-0.173350,0.097534,0.019892,0.229101,-0.153165,-0.957670,-0.243737,0.173250,-0.830725,0.529038,Swing,Swing,-1269438207,1.697399
42,27.018010,0.020382,2.89837,0.96007,0.00000,0.00000,-0.00731,0,0,1785933915,1,-0.063273,0.004705,-0.188245,0.096671,0.016233,0.233008,-0.146881,-0.951828,-0.269164,0.164746,-0.815920,0.554197,Swing,Swing,-1269438207,1.715617
43,27.039090,0.021078,2.89821,0.95983,0.00000,0.00000,-0.00513,0,0,1785933915,1,-0.060204,0.005703,-0.204004,0.097100,0.008851,0.230605,-0.136603,-0.941019,-0.309552,0.154676,-0.802420,0.576366,Swing,Swing,-1269438207,1.734554
44,27.061640,0.022542,2.89095,0.95838,0.00000,0.00000,-0.00350,0,0,1785933915,1,-0.056932,0.017210,-0.218733,0.097485,0.009468,0.223525,-0.124654,-0.927223,-0.353157,0.145998,-0.799362,0.582842,Swing,Swing,-1269438207,1.754133
45,27.082740,0.021103,2.87100,0.95573,0.00000,0.00000,-0.00230,0,0,1785933915,1,-0.054459,0.031547,-0.231513,0.098824,0.010166,0.211902,-0.119139,-0.916665,-0.381486,0.140740,-0.805331,0.575877,Swing,Swing,-1269438207,1.775039
46,27.105190,0.022451,2.84608,0.95324,0.00000,0.00000,-0.00154,0,0,1785933915,1,-0.056545,0.049644,-0.236941,0.102318,0.012294,0.200719,-0.145055,-0.930592,-0.336093,0.143345,-0.810902,0.567353,Swing,Swing,-1269438207,1.794557
47,27.125640,0.020448,2.82551,0.95187,0.00000,0.00000,-0.00099,0,0,1785933915,1,-0.060322,0.066567,-0.236592,0.106232,0.012974,0.186889,-0.171666,-0.944181,-0.281165,0.150894,-0.822868,0.547831,Swing,Swing,-1269438207,1.815268
48,27.146760,0.021121,2.80828,0.95129,0.00000,0.00000,-0.00066,0,0,1785933915,1,-0.063547,0.076994,-0.232567,0.109272,0.012748,0.172639,-0.187003,-0.952466,-0.240495,0.160209,-0.839199,0.519691,Swing,Swing,-1269438207,1.834104
49,27.171520,0.024764,2.79922,0.95161,0.00000,0.00000,-0.00043,0,0,1785933915,1,-0.068426,0.085656,-0.223963,0.111495,0.012850,0.156161,-0.207421,-0.960538,-0.185320,0.164418,-0.853368,0.494702,Swing,Swing,-1269438207,1.853548
50,27.192360,0.020843,2.79985,0.95241,0.00000,0.00000,-0.00026,0,0,1785933915,1,-0.074653,0.092467,-0.208842,0.112786,0.012908,0.136117,-0.229957,-0.967256,-0.107402,0.167199,-0.870702,0.462518,Swing,Swing,-1269438207,1.876354
51,27.215480,0.023120,2.80642,0.95388,0.00000,0.00000,-0.00017,0,0,1785933915,1,-0.080067,0.094778,-0.192707,0.112860,0.012390,0.119782,-0.242861,-0.969426,-0.035096,0.171277,-0.888019,0.426717,Swing,Swing,-1269438207,1.895564
52,27.240720,0.025233,2.79997,0.95366,0.00000,0.00000,-0.00011,0,0,1785933915,1,-0.086215,0.093376,-0.171649,0.112462,0.010662,0.097713,-0.252304,-0.966602,0.044976,0.176894,-0.911744,0.370717,Swing,Swing,-1269438207,1.916906
53,27.265170,0.024448,2.76607,0.95049,0.00000,0.00000,-0.00006,0,0,1785933915,1,-0.092911,0.087676,-0.145160,0.110311,0.009124,0.075074,-0.258306,-0.957137,0.131021,0.179360,-0.934104,0.308674,Swing,Swing,-1269438207,1.940194
54,27.290810,0.025644,2.70741,0.94521,0.00000,0.00000,-0.00004,0,0,1785933915,1,-0.099073,0.080117,-0.115874,0.107207,0.007734,0.051228,-0.262957,-0.941355,0.211433,0.179314,-0.953919,0.240595,Swing,Swing,-1269438207,1.962681
55,27.318170,0.027363,2.62246,0.93660,0.00000,0.00000,-0.00002,0,0,1785933915,1,-0.105750,0.069664,-0.077507,0.103113,0.006172,0.024881,-0.268929,-0.914687,0.301702,0.176080,-0.971315,0.159825,Swing,Swing,-1269438207,1.986138
56,27.339330,0.021160,2.54333,0.92779,0.00000,0.00000,-0.00001,0,0,1785933915,1,-0.109957,0.059409,-0.042807,0.099081,0.005009,0.002876,-0.268551,-0.890981,0.366106,0.170286,-0.980954,0.093450,Swing,Swing,-1269438207,2.010939
57,27.358050,0.018718,2.46586,0.91879,0.00000,0.00000,-0.00001,0,0,1785933915,1,-0.112001,0.050354,-0.014338,0.095559,0.004364,-0.014916,-0.262894,-0.875496,0.405455,0.164372,-0.985452,0.043208,Swing,Swing,-1269438207,2.029937
58,27.386290,0.028237,2.31808,0.89370,0.00000,0.00000,-0.00001,0,0,1785933915,1,-0.113165,0.042539,0.009510,0.093067,0.004158,-0.028439,-0.255829,-0.866614,0.428407,0.160404,-0.987041,0.004592,Swing,Swing,-1269438207,2.046581
59,27.409260,0.022973,2.16686,0.88190,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.114468,0.033094,0.049132,0.090358,0.003989,-0.048250,-0.244400,-0.852339,0.462371,0.156915,-0.986358,-0.049752,Swing,Swing,-1269438207,2.071002
60,27.427180,0.017922,2.03609,0.88598,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.114498,0.028050,0.079327,0.088420,0.004223,-0.065422,-0.234675,-0.845050,0.480436,0.155143,-0.983270,-0.095452,Stance,Stance,-1269438207,2.090608
61,27.447900,0.020718,1.87852,0.89765,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.114416,0.025984,0.102529,0.086792,0.004340,-0.079005,-0.228116,-0.839283,0.493525,0.153426,-0.979582,-0.129919,Stance,Stance,-1269438207,2.105975
