frame,time,dt,speed,gaitRate,leftIkWeight,rightIkWeight,pelvis,leftLocked,rightLocked,supportId,supportGeneration,leftX,leftY,leftZ,rightX,rightY,rightZ,leftKneeX,leftKneeY,leftKneeZ,rightKneeX,rightKneeY,rightKneeZ,leftReason,rightReason,animatorState,normalizedTime,authoredAction,footPolicy,bodyPitch,bodyYaw,bodyRoll
0,26.356710,0.090738,0.72103,0.90475,0.00000,0.00000,0.00000,0,0,0,0,-0.109116,0.064850,-0.056578,0.100924,0.005160,0.013371,-0.267488,-0.898954,0.346889,0.174090,-0.976959,0.123468,Jump,Jump,788460410,0.000000,Jump,FlightIkOff,-0.44595,0.03368,-0.32021
1,26.443400,0.086690,0.58936,0.93140,0.00000,0.00000,0.00000,0,0,3481485837,1,-0.066408,-0.046884,-0.041308,0.154467,-0.035455,0.036009,-0.354927,-0.843958,0.402197,0.178428,-0.778926,0.601197,Jump,Jump,788460410,0.007983,Fall,FlightIkOff,-0.38272,-0.02990,0.12224
2,26.493970,0.050571,0.47835,0.95902,0.00000,0.00000,0.00000,0,0,3481485837,1,-0.005435,-0.115663,-0.119612,0.216266,-0.105929,-0.036987,-0.299360,-0.901080,0.313750,0.275521,-0.853668,0.441972,Jump,Jump,788460410,0.007983,Fall,FlightIkOff,0.00000,0.00000,0.00000
3,26.540240,0.046261,0.38239,0.97622,0.00000,0.00000,0.00000,0,0,3481485837,1,0.060169,-0.182484,-0.172061,0.280266,-0.178171,-0.098535,-0.256598,-0.928965,0.266797,0.328116,-0.899871,0.287354,Jump,Jump,788460410,0.007983,Fall,FlightIkOff,0.00000,0.00000,0.00000
4,26.591600,0.051363,0.29050,0.98762,0.00000,0.00000,0.00000,0,0,3481485837,1,0.120227,-0.228416,-0.112427,0.355877,-0.258109,-0.160687,0.057743,-0.976652,0.206923,0.354199,-0.934485,0.035807,Jump,Jump,788460410,0.007983,Fall,FlightIkOff,0.00000,0.00000,0.00000
5,26.638100,0.046497,0.22255,0.99335,0.00000,0.00000,0.00000,0,0,3481485837,1,0.340883,-0.283779,-0.186905,0.427457,-0.315277,-0.232413,0.058835,-0.998083,0.019183,0.209977,-0.936985,-0.279231,Jump,Jump,788460410,0.007983,Fall,FlightIkOff,0.00000,0.00000,0.00000
6,26.676550,0.038457,0.17679,0.99609,0.00000,0.00000,0.00000,0,0,3481485837,1,0.429013,-0.291902,-0.295038,0.462877,-0.367783,-0.315748,0.083018,-0.991086,-0.104194,0.153066,-0.810307,-0.565662,Jump,Jump,788460410,0.007983,Fall,FlightIkOff,0.00000,0.00000,0.00000
7,26.717120,0.040571,0.13756,0.99779,0.00000,0.00000,0.00000,0,0,3481485837,1,0.486569,-0.299555,-0.354142,0.484261,-0.422658,-0.435251,0.192729,-0.938101,-0.287787,0.131675,-0.584276,-0.800802,Jump,Jump,788460410,0.007983,Fall,FlightIkOff,0.00000,0.00000,0.00000
8,26.755490,0.038361,0.10781,0.99872,0.00000,0.00000,0.00000,0,0,3481485837,1,0.553452,-0.341842,-0.366362,0.486360,-0.439887,-0.560444,0.265750,-0.810920,-0.521331,0.136881,-0.401401,-0.905616,Jump,Jump,788460410,0.007983,Fall,FlightIkOff,0.00000,0.00000,0.00000
9,26.792910,0.037426,0.08457,0.99926,0.00000,0.00000,0.00000,0,0,3481485837,1,0.618830,-0.406642,-0.372101,0.475557,-0.399479,-0.632742,0.296987,-0.630865,-0.716804,0.142143,-0.286239,-0.947556,Jump,Jump,788460410,0.007983,Fall,FlightIkOff,0.00000,0.00000,0.00000
10,26.828130,0.035218,0.06702,0.99956,0.00000,0.00000,0.00000,0,0,3481485837,1,0.677909,-0.484704,-0.378426,0.476918,-0.364291,-0.620333,0.283735,-0.437137,-0.853467,0.101519,-0.144192,-0.984328,Jump,Jump,788460410,0.007983,Fall,FlightIkOff,0.00000,0.00000,0.00000
11,26.863540,0.035411,0.05286,0.99974,0.00000,0.00000,0.00000,0,0,3481485837,1,0.732991,-0.573695,-0.389320,0.491673,-0.365852,-0.572985,0.257615,-0.250763,-0.933141,-0.004064,0.052962,-0.998588,Jump,Jump,788460410,0.007983,Fall,FlightIkOff,0.00000,0.00000,0.00000
12,26.901730,0.038185,0.04078,0.99985,0.00000,0.00000,0.00000,0,0,3481485837,1,0.789509,-0.678389,-0.405543,0.493124,-0.412732,-0.516702,0.256027,-0.067344,-0.964321,-0.131492,0.307660,-0.942367,Jump,Jump,788460410,0.007983,Fall,FlightIkOff,0.00000,0.00000,0.00000
13,26.938290,0.036560,0.03172,0.99991,0.00000,0.00000,0.00000,0,0,3481485837,1,0.841487,-0.787057,-0.423428,0.494619,-0.488810,-0.470135,0.262071,0.089057,-0.960931,-0.254749,0.548279,-0.796551,Jump,Jump,788460410,0.007983,Fall,FlightIkOff,0.00000,0.00000,0.00000
14,26.971300,0.033012,0.02522,0.99995,0.00000,0.00000,0.00000,0,0,3481485837,1,0.893491,-0.898279,-0.442330,0.504816,-0.581500,-0.432665,0.289496,0.162804,-0.943232,-0.408551,0.709001,-0.574808,Jump,Jump,788460410,0.007983,Fall,FlightIkOff,0.00000,0.00000,0.00000
