schema,actor,scenario,targetFps,frame,elapsedSeconds,deltaTime,animatorStateHash,animatorNormalizedTime,animatorInTransition,animatorPrimaryClip,rootX,rootY,rootZ,upX,upY,upZ,velocityX,velocityY,velocityZ,moveIntentX,moveIntentY,stableSupport,leftGaitPhase01,rightGaitPhase01,leftRawX,leftRawY,leftRawZ,rightRawX,rightRawY,rightRawZ,leftRawNormalX,leftRawNormalY,leftRawNormalZ,rightRawNormalX,rightRawNormalY,rightRawNormalZ,leftFilteredX,leftFilteredY,leftFilteredZ,rightFilteredX,rightFilteredY,rightFilteredZ,leftSupportId,rightSupportId,leftSupportGeneration,rightSupportGeneration,leftSupportKind,rightSupportKind,leftAnchorX,leftAnchorY,leftAnchorZ,rightAnchorX,rightAnchorY,rightAnchorZ,leftActualLocalX,leftActualLocalY,leftActualLocalZ,rightActualLocalX,rightActualLocalY,rightActualLocalZ,leftActualX,leftActualY,leftActualZ,rightActualX,rightActualY,rightActualZ,leftIkWeight,rightIkWeight,leftLocked,rightLocked,leftReason,rightReason,leftPlantState,rightPlantState,pelvisOffset,leftKneeAngle,rightKneeAngle,leftAnkleAngle,rightAnkleAngle,leftGap,rightGap,leftFootStep60Hz,rightFootStep60Hz,leftKneeStep60Hz,rightKneeStep60Hz,leftAnkleStep60Hz,rightAnkleStep60Hz,pelvisStep60Hz,discontinuity,allowedTransition,allowedTransitionState,locomoting,pivoting,surfing,footPolicy
animation-contact-v1,player,start-idle-flat,30,0,0.000000,0.033333,-1269438207,0.711379,0,Idle_A,-0.255512,56.764270,-0.146636,-0.004501,0.999987,-0.002584,-0.000307,-0.000092,0.000314,0.000000,0.000000,1,0.763501,0.754763,-0.599822,55.553020,-0.272565,0.066471,55.573730,-0.242288,0.032043,0.999380,0.014603,-0.015190,0.999581,-0.024631,-0.599092,55.588050,-0.274745,0.066995,55.608640,-0.246763,1785933915,1785933915,1,1,ArenaWalkableProxy,ArenaWalkableProxy,1.556687,0.118203,0.566338,0.890601,0.146185,0.586924,1.557527,0.120336,0.555748,0.891070,0.150708,0.539848,-0.599932,55.577460,-0.272611,0.066526,55.561560,-0.242239,0.000000,0.000000,0,0,Stance,Stance,Free,Free,0.000000,154.901500,160.881300,93.970370,93.312610,NaN,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,0,0.000000,0.033333,-1269438207,0.718750,0,Idle_A,-0.267516,58.000000,3.549857,-0.004604,0.998122,0.061089,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.766320,0.757583,0.029031,56.900260,3.589488,-0.526021,56.901820,3.565010,0.000000,0.997981,0.063521,0.000000,0.997981,0.063521,0.029588,56.935070,3.593587,-0.526803,56.936570,3.569985,4294144010,4294144010,1,1,PlanetGround,PlanetGround,0.297104,0.285002,0.111287,-0.259288,0.285001,0.087637,0.296045,0.358980,0.109142,-0.258922,0.340595,0.084660,0.028529,57.009040,3.596146,-0.526438,56.992240,3.570545,0.000000,0.000000,0,0,Stance,Stance,Free,Free,0.000000,155.062900,161.040700,93.971820,93.317540,NaN,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,1,0.033333,0.033333,-1269438207,0.742629,0,Idle_A,-0.255578,56.764270,-0.146407,-0.004502,0.999987,-0.002581,-0.000227,0.000016,0.006388,0.000000,0.000000,1,0.784630,0.775893,-0.599202,55.552970,-0.270680,0.065476,55.573770,-0.239888,0.032043,0.999380,0.014603,-0.015190,0.999581,-0.024631,-0.598676,55.588010,-0.272565,0.066062,55.608690,-0.243894,1785933915,1785933915,1,1,ArenaWalkableProxy,ArenaWalkableProxy,1.556271,0.120382,0.566293,0.891533,0.149054,0.586980,1.556903,0.122224,0.554768,0.892061,0.153110,0.539108,-0.599307,55.576480,-0.270724,0.065535,55.560820,-0.239838,0.000000,0.000000,0,0,Stance,Stance,Free,Free,0.000000,155.593500,161.564300,93.985850,93.344870,NaN,NaN,0.000423,0.000511,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,1,0.033333,0.033333,-1269438207,0.750000,0,Idle_A,-0.267516,58.000000,3.549857,-0.004604,0.998122,0.061089,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.796533,0.787795,0.028450,56.900340,3.588136,-0.525240,56.901930,3.563279,0.000000,0.997981,0.063521,0.000000,0.997981,0.063521,0.029081,56.935170,3.592062,-0.526100,56.936710,3.567829,4294144010,4294144010,1,1,PlanetGround,PlanetGround,0.296596,0.285002,0.109759,-0.258584,0.285001,0.085477,0.295468,0.358183,0.107790,-0.258139,0.340019,0.082926,0.027952,57.008330,3.594745,-0.525655,56.991780,3.568779,0.000000,0.000000,0,0,Stance,Stance,Free,Free,0.000000,155.758700,161.727100,93.992810,93.356230,NaN,NaN,0.000414,0.000492,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,2,0.066667,0.033333,-1269438207,0.773879,0,Idle_A,-0.255599,56.764270,-0.146277,-0.004503,0.999987,-0.002578,-0.000153,0.000011,0.004958,0.000000,0.000000,1,0.826897,0.818160,-0.598512,55.552930,-0.269026,0.064492,55.573800,-0.237953,0.032043,0.999380,0.014603,-0.015190,0.999581,-0.024631,-0.598114,55.587960,-0.270637,0.065099,55.608740,-0.241443,1785933915,1785933915,1,1,ArenaWalkableProxy,ArenaWalkableProxy,1.555709,0.122310,0.566247,0.892497,0.151505,0.587026,1.556210,0.123880,0.553959,0.893042,0.155047,0.538586,-0.598615,55.575670,-0.269067,0.064553,55.560300,-0.237901,0.000000,0.000000,0,0,Stance,Stance,Free,Free,0.000000,156.293300,162.253300,94.023760,93.399750,NaN,NaN,0.000386,0.000436,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,2,0.066667,0.033333,-1269438207,0.781250,0,Idle_A,-0.267516,58.000000,3.549857,-0.004604,0.998122,0.061089,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.832238,0.823501,0.027857,56.900420,3.586889,-0.524435,56.902020,3.561833,0.000000,0.997981,0.063521,0.000000,0.997981,0.063521,0.028526,56.935260,3.590670,-0.525344,56.936830,3.566008,4294144010,4294144010,1,1,PlanetGround,PlanetGround,0.296042,0.285001,0.108364,-0.257828,0.285001,0.083651,0.294878,0.357503,0.106541,-0.257332,0.339594,0.081479,0.027363,57.007730,3.593457,-0.524848,56.991450,3.567307,0.000000,0.000000,0,0,Stance,Stance,Free,Free,0.000000,156.457400,162.414500,94.035600,93.414580,NaN,NaN,0.000381,0.000423,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,3,0.100000,0.033333,-1269438207,0.805129,0,Idle_A,-0.255648,56.764270,-0.146191,-0.004503,0.999987,-0.002576,-0.000441,-0.000064,-0.002886,0.000000,0.000000,1,0.848904,0.840166,-0.597868,55.552890,-0.267507,0.063475,55.573830,-0.236323,0.032043,0.999380,0.014603,-0.015190,0.999581,-0.024631,-0.597492,55.587910,-0.268911,0.064112,55.608780,-0.239385,1785933915,1785933915,1,1,ArenaWalkableProxy,ArenaWalkableProxy,1.555087,0.124036,0.566202,0.893484,0.153563,0.587062,1.555562,0.125401,0.553261,0.894058,0.156677,0.538189,-0.597967,55.574970,-0.267546,0.063538,55.559900,-0.236270,0.000000,0.000000,0,0,Stance,Stance,Free,Free,0.000000,156.979900,162.927400,94.078290,93.464260,NaN,NaN,0.000360,0.000385,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,3,0.100000,0.033333,-1269438207,0.812500,0,Idle_A,-0.267516,58.000000,3.549857,-0.004604,0.998122,0.061089,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.861105,0.852367,0.027282,56.900500,3.585707,-0.523634,56.902100,3.560586,0.000000,0.997981,0.063521,0.000000,0.997981,0.063521,0.027955,56.935340,3.589383,-0.524560,56.936920,3.564467,4294144010,4294144010,1,1,PlanetGround,PlanetGround,0.295470,0.285001,0.107074,-0.257045,0.285001,0.082108,0.294306,0.356954,0.105359,-0.256530,0.339308,0.080230,0.026790,57.007260,3.592241,-0.524045,56.991240,3.566042,0.000000,0.000000,0,0,Stance,Stance,Free,Free,0.000000,157.137700,163.082000,94.092120,93.479550,NaN,NaN,0.000353,0.000374,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,4,0.133333,0.033333,-1269438207,0.836379,0,Idle_A,-0.255678,56.764270,-0.146191,-0.004504,0.999987,-0.002575,0.000384,0.000009,-0.001715,0.000000,0.000000,1,0.882987,0.874250,-0.597247,55.552850,-0.266113,0.062508,55.573840,-0.234935,0.032043,0.999380,0.014603,-0.015190,0.999581,-0.024631,-0.596861,55.587870,-0.267348,0.063124,55.608800,-0.237654,1785933915,1785933915,1,1,ArenaWalkableProxy,ArenaWalkableProxy,1.554457,0.125600,0.566159,0.894471,0.155294,0.587089,1.554940,0.126796,0.552788,0.895024,0.158066,0.538014,-0.597344,55.574500,-0.266152,0.062572,55.559730,-0.234882,0.000000,0.000000,0,0,Stance,Stance,Free,Free,0.000000,157.632900,163.566100,94.135680,93.525920,NaN,NaN,0.000332,0.000347,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,4,0.133333,0.033333,-1269438207,0.843750,0,Idle_A,-0.267516,58.000000,3.549857,-0.004604,0.998122,0.061089,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.885851,0.877114,0.026756,56.900570,3.584553,-0.522864,56.902170,3.559448,0.000000,0.997981,0.063521,0.000000,0.997981,0.063521,0.027396,56.935420,3.588166,-0.523776,56.937010,3.563133,4294144010,4294144010,1,1,PlanetGround,PlanetGround,0.294912,0.285002,0.105855,-0.256261,0.285001,0.080771,0.293782,0.356594,0.104203,-0.255760,0.339205,0.079089,0.026266,57.006970,3.591065,-0.523275,56.991210,3.564898,0.000000,0.000000,0,0,Stance,Stance,Free,Free,0.000000,157.779900,163.709500,94.148030,93.538730,NaN,NaN,0.000326,0.000342,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
