frame,time,state,nextState,normalizedTime,authoredAction,footPolicy,leftIkWeight,rightIkWeight,primaryClip,bodyPitch,bodyYaw,bodyRoll
0,5.921488,-1269438207,-706565624,38.002960,DirectionalDodge,FlightIkOff,0.000000,0.000000,Dodge_Right,-0.956302,1.416969,-2.600839
1,5.946580,-706565624,0,0.114215,DirectionalDodge,FlightIkOff,0.000000,0.000000,Dodge_Right,-0.844542,1.416969,-2.716600
2,5.970211,-706565624,0,0.169673,DirectionalDodge,FlightIkOff,0.000000,0.000000,Dodge_Right,-0.722693,1.416969,-2.696530
3,5.987997,-706565624,0,0.216490,DirectionalDodge,FlightIkOff,0.000000,0.000000,Dodge_Right,-0.607466,1.416969,-2.644224
4,6.011872,-706565624,0,0.274861,DirectionalDodge,AuthoredContact,0.000000,0.000000,Dodge_Right,-0.484964,1.416969,-2.553018
5,6.031773,-706565624,0,0.326197,DirectionalDodge,AuthoredContact,0.000000,0.000000,Dodge_Right,-0.392209,1.416969,-2.477081
6,6.048858,-706565624,0,0.368103,DirectionalDodge,AuthoredContact,0.000000,0.000000,Dodge_Right,-0.323384,1.416969,-2.446879
7,6.070747,-706565624,0,0.424831,DirectionalDodge,AuthoredContact,0.000000,0.000000,Dodge_Right,-0.236784,1.416969,-2.381530
8,6.087962,-706565624,0,0.467452,DirectionalDodge,AuthoredContact,0.000000,0.000000,Dodge_Right,-0.172084,1.416969,-2.366069
9,6.107918,-706565624,0,0.515636,DirectionalDodge,AuthoredContact,0.000000,0.000000,Dodge_Right,-0.084349,1.416969,-2.391645
10,6.132124,-706565624,0,0.575655,DirectionalDodge,AuthoredContact,0.000000,0.000000,Dodge_Right,-0.017028,1.416970,-2.393197
11,6.151598,-706565624,0,0.625361,DirectionalDodge,AuthoredContact,0.000000,0.000000,Dodge_Right,0.064694,1.416970,-2.395057
12,6.171493,-706565624,0,0.674517,DirectionalDodge,AuthoredContact,0.000000,0.000000,Dodge_Right,0.171187,1.416970,-2.436144
13,6.195600,-706565624,0,0.731504,DirectionalDodge,DefaultContact,0.000000,0.000000,Dodge_Right,0.276006,1.416970,-2.468020
14,6.210393,-706565624,0,0.767575,DirectionalDodge,DefaultContact,0.000000,0.000000,Dodge_Right,0.341363,1.416970,-2.546742
15,6.237799,-706565624,0,0.822512,DirectionalDodge,DefaultContact,0.000000,0.000000,Dodge_Right,0.343855,1.416970,-2.690923
16,6.252432,-706565624,0,0.875580,DirectionalDodge,DefaultContact,0.000000,0.000000,Dodge_Right,0.302217,1.416970,-2.754432
17,6.270966,-706565624,-1269438207,0.923661,DirectionalDodge,FlightIkOff,0.000000,0.000000,Walking,0.261733,1.416970,-2.778575
18,6.288859,-706565624,-1269438207,0.969125,DirectionalDodge,FlightIkOff,0.000000,0.000000,Walking,0.213650,1.416970,-2.765207
19,6.306991,-706565624,-1269438207,1.013851,DirectionalDodge,FlightIkOff,0.000000,0.000000,Walking,0.172239,1.416970,-2.740457
20,6.330778,-706565624,-1269438207,1.071371,DirectionalDodge,FlightIkOff,0.000000,0.000000,Walking,0.117280,1.416970,-2.655435
21,6.349383,-1269438207,0,0.091397,DirectionalDodge,FlightIkOff,0.000000,0.000000,Walking,0.108048,1.416970,-2.581915
22,6.368244,-1269438207,0,0.110546,DirectionalDodge,FlightIkOff,0.000000,0.000000,Walking,0.195964,1.416970,-2.521985
23,6.391543,-1269438207,-1269438207,0.134850,Locomotion,DefaultContact,0.000000,0.000000,Walking,0.077339,1.416970,-2.436407
24,6.410110,-1269438207,-1269438207,0.153764,Locomotion,DefaultContact,0.000000,0.000000,Walking,-0.095143,1.416970,-2.376009
25,6.429388,-1269438207,-1269438207,0.173496,Locomotion,DefaultContact,0.000000,0.000000,Walking,-0.169946,1.416970,-2.347356
26,6.448232,-1269438207,0,0.196148,HitRecoil,DefaultContact,0.000000,0.000000,Walking,-0.901776,1.476808,-2.511489
27,6.466997,-1269438207,0,0.217150,HitRecoil,DefaultContact,0.000000,0.000000,Walking,-0.684353,1.467142,-2.438470
28,6.490236,-1269438207,0,0.240881,HitRecoil,DefaultContact,0.000000,0.000000,Walking,-0.698138,1.458001,-2.344910
29,6.508478,-1269438207,0,0.259449,HitRecoil,DefaultContact,0.000000,0.000000,Walking,-0.811014,1.451965,-2.296159
30,6.526893,-1269438207,0,0.278087,HitRecoil,DefaultContact,0.000000,0.000000,Walking,-0.966172,1.446759,-2.299352
31,6.551532,-1269438207,0,0.302191,HitRecoil,DefaultContact,0.000000,0.000000,Walking,-1.127129,1.441126,-2.283958
32,6.568675,-1269438207,0,0.319582,HitRecoil,DefaultContact,0.000000,0.000000,Walking,-1.227220,1.437726,-2.285436
33,6.586390,-1269438207,0,0.337763,HitRecoil,DefaultContact,0.000000,0.000000,Walking,-1.293553,1.434681,-2.290779
34,6.608338,-1269438207,0,0.359464,HitRecoil,DefaultContact,0.000000,0.000000,Walking,-1.230327,1.431632,-2.265497
35,6.632102,-1269438207,0,0.383240,HitRecoil,DefaultContact,0.000000,0.000000,Walking,-0.912811,1.428898,-2.205798
