frame,time,grounded,stable,verticalSpeed,motionPhase,action,footPolicy,state,nextState,normalizedTime,nextNormalizedTime,leftIk,rightIk
0,6.667583,0,0,7.731045,Rising,Jump,FlightIkOff,-1269438207,788460410,0.418752,0.001647,0.000000,0.000000
1,6.687474,0,0,7.565084,Rising,Jump,FlightIkOff,-1269438207,788460410,0.438891,0.003405,0.000000,0.000000
2,6.712098,0,0,7.385701,Rising,Jump,FlightIkOff,788460410,0,0.005571,0.000000,0.000000,0.000000
3,6.730257,0,0,7.183002,Rising,Jump,FlightIkOff,788460410,0,0.007151,0.000000,0.000000,0.000000
4,6.746953,0,0,6.954257,Rising,Jump,FlightIkOff,788460410,0,0.008668,0.000000,0.000000,0.000000
5,6.768160,0,0,6.698747,Rising,Jump,FlightIkOff,788460410,0,0.010550,0.000000,0.000000,0.000000
6,6.790420,0,0,6.418254,Rising,Jump,FlightIkOff,788460410,0,0.012467,0.000000,0.000000,0.000000
7,6.806994,0,0,6.116274,Rising,Jump,FlightIkOff,788460410,0,0.013925,0.000000,0.000000,0.000000
8,6.828695,0,0,5.797403,Rising,Jump,FlightIkOff,788460410,0,0.015862,0.000000,0.000000,0.000000
9,6.846720,0,0,5.467550,Rising,Jump,FlightIkOff,788460410,0,0.017424,0.000000,0.000000,0.000000
10,6.871366,0,0,5.132482,Rising,Jump,FlightIkOff,788460410,0,0.019451,0.000000,0.000000,0.000000
11,6.892507,0,0,4.798756,Rising,Jump,FlightIkOff,788460410,0,0.021362,0.000000,0.000000,0.000000
12,6.912312,0,0,4.472168,Rising,Jump,FlightIkOff,788460410,0,0.023094,0.000000,0.000000,0.000000
13,6.934562,0,0,4.157938,Rising,Jump,FlightIkOff,788460410,0,0.024991,0.000000,0.000000,0.000000
14,6.949846,0,0,3.859316,Rising,Jump,FlightIkOff,788460410,0,0.026320,0.000000,0.000000,0.000000
15,6.971676,0,0,3.581020,Rising,Jump,FlightIkOff,788460410,0,0.028309,0.000000,0.000000,0.000000
16,6.991928,0,0,3.323071,Rising,Jump,FlightIkOff,788460410,0,0.030047,0.000000,0.000000,0.000000
17,7.014838,0,0,3.085140,Rising,Jump,FlightIkOff,788460410,0,0.032052,0.000000,0.000000,0.000000
18,7.028055,0,0,2.862259,Rising,Jump,FlightIkOff,788460410,0,0.033339,0.000000,0.000000,0.000000
19,7.047018,0,0,2.652285,Rising,Jump,FlightIkOff,788460410,0,0.035015,0.000000,0.000000,0.000000
20,7.071913,0,0,2.452800,Rising,Jump,FlightIkOff,788460410,0,0.037177,0.000000,0.000000,0.000000
21,7.089815,0,0,2.255525,Rising,Jump,FlightIkOff,788460410,0,0.038757,0.000000,0.000000,0.000000
22,7.108117,0,0,2.054323,Rising,Jump,FlightIkOff,788460410,0,0.040384,0.000000,0.000000,0.000000
23,7.128594,0,0,1.843981,Rising,Jump,FlightIkOff,788460410,0,0.042172,0.000000,0.000000,0.000000
