phase,frame,captured,shedEvents,newDust,oldDust,chips,livingHoldWeight,focusX,focusY,focusZ
gather,0,7,3,74,55,30,0,1.042674,56.75124,2.073568
gather,1,7,3,74,55,30,0,1.042674,56.75124,2.073568
gather,2,7,3,75,55,30,0,1.04231,56.75449,2.074443
gather,3,7,3,81,55,30,0,1.041756,56.7593,2.075726
gather,4,7,3,87,55,30,0,1.041018,56.76564,2.07741
gather,5,7,6,143,88,44,0,1.040108,56.77353,2.079498
gather,6,7,6,145,88,44,0,1.038982,56.78337,2.082092
gather,7,7,6,183,112,49,0,1.03771,56.79455,2.085028
gather,8,7,6,219,136,55,0,1.036291,56.80712,2.088306
gather,9,7,6,227,135,56,0,1.034671,56.82145,2.092012
gather,10,7,9,262,156,72,0,1.032947,56.83698,2.096003
gather,11,7,9,267,159,75,0,1.031093,56.8537,2.100261
gather,12,7,9,271,153,75,0,1.0291,56.87183,2.104831
gather,13,7,9,282,151,79,0,1.026998,56.89118,2.109664
gather,14,7,12,308,159,89,0,1.024815,56.91155,2.114701
gather,15,7,12,377,189,97,0,1.022513,56.93317,2.119979
gather,16,7,12,463,236,113,0,1.020145,56.95584,2.125452
gather,17,7,12,471,231,115,0,1.017706,56.97936,2.131053
gather,18,7,12,503,245,128,0,1.01521,57.00375,2.136782
gather,19,7,15,541,262,128,0,1.012659,57.029,2.14263
gather,20,7,15,541,249,128,0,1.010086,57.05494,2.148553
gather,21,7,15,549,242,128,0,1.007457,57.08177,2.154581
gather,22,7,15,556,226,128,0,1.004818,57.10928,2.160671
gather,23,7,15,580,223,128,0,1.00216,57.13729,2.166761
gather,24,7,18,597,225,128,0.05443398,0.9995031,57.16579,2.172855
gather,25,7,18,629,226,128,0.09966591,0.9968488,57.19481,2.178948
gather,26,7,18,643,248,128,0.1372514,0.9942105,57.22411,2.184988
gather,27,7,18,648,239,128,0.1684831,0.9916003,57.25372,2.190981
gather,28,7,18,649,232,128,0.1944351,0.9890206,57.28362,2.196921
gather,29,7,21,664,225,128,0.2159999,0.9864492,57.31383,2.202796
gather,30,7,21,666,204,128,0.2339192,0.9839246,57.34415,2.208575
gather,31,7,21,671,191,128,0.2488092,0.9814724,57.37434,2.214218
gather,32,7,21,660,175,128,0.2611821,0.9790515,57.40463,2.219755
gather,33,7,21,661,161,128,0.2714633,0.9766831,57.43481,2.225152
gather,34,7,24,670,152,128,0.2800065,0.9744109,57.46465,2.230383
gather,35,7,24,664,143,128,0.2871055,0.9721783,57.49438,2.235472
gather,36,7,24,641,127,127,0.2930044,0.9700132,57.52398,2.240432
gather,37,7,24,623,116,128,0.2979061,0.9679472,57.55282,2.245155
gather,38,7,27,630,118,128,0.3019792,0.965939,57.58152,2.249752
gather,39,7,27,612,103,127,0.3053637,0.9640194,57.60945,2.254122
gather,40,7,27,599,92,127,0.308176,0.9621935,57.63681,2.258312
gather,41,7,27,581,83,125,0.310513,0.9604252,57.6636,2.262314
gather,42,7,27,539,78,125,0.3124548,0.9587789,57.68938,2.266088
gather,43,7,30,536,89,128,0.3140685,0.9572069,57.71436,2.26966
gather,44,7,30,516,75,127,0.3154093,0.9557239,57.73854,2.273046
gather,45,7,30,495,73,124,0.3165235,0.9543354,57.76169,2.276218
gather,46,7,30,469,70,120,0.3174493,0.9530241,57.78381,2.279183
gather,47,7,30,458,68,118,0.3182186,0.9518282,57.80467,2.28193
gather,48,7,33,464,76,126,0.3188578,0.9507032,57.82428,2.284451
gather,49,7,33,451,64,121,0.319389,0.9496905,57.84262,2.286776
gather,50,7,33,441,60,120,0.3198304,0.9487706,57.85947,2.288872
gather,51,7,33,420,54,120,0.3201972,0.9479324,57.87504,2.290777
gather,52,7,33,413,53,116,0.3205019,0.9471952,57.8889,2.292445
gather,53,7,36,425,64,122,0.3207552,0.9465501,57.90126,2.293914
gather,54,7,36,418,55,113,0.3209656,0.9459997,57.91188,2.295162
gather,55,7,36,414,52,109,0.3211405,0.9455404,57.92078,2.296195
gather,56,7,36,392,51,107,0.3212858,0.9451761,57.92795,2.29702
gather,57,7,36,386,49,104,0.3214065,0.9449256,57.93295,2.297593
gather,58,7,39,404,52,110,0.3215068,0.9449256,57.93295,2.297593
