renderer	mesh	meshPath	meshGuid	material	shader	materialGuid	triangles	distance
Planet Collision Proxy	Sphere	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	768	60.57
Planet Collision Proxy/Planet Atmosphere Limb	Sphere	Library/unity default resources	0000000000000000e000000000000000	PlanetAtmosphere	Elemental/Atmosphere Shell	0638516d519b6594089b388ed1732b07	768	60.57
Top Ramp	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	13.84
Gravity Body 01	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	17.86
Gravity Body 02	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	33.65
Gravity Body 03	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	27.51
Gravity Body 04	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	47.83
Gravity Body 05	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	46.90
Gravity Body 06	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	48.21
Gravity Body 07	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	63.85
Gravity Body 08	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	54.77
Gravity Body 09	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	67.15
Gravity Body 10	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	71.67
Gravity Body 11	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	65.74
Gravity Body 12	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	81.46
Gravity Body 13	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	75.76
Gravity Body 14	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	80.09
Gravity Body 15	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	89.69
Gravity Body 16	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	81.54
Gravity Body 17	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	93.67
Gravity Body 18	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	93.47
Gravity Body 19	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	91.50
Gravity Body 20	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	103.07
Gravity Body 21	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	96.86
Gravity Body 22	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	103.31
Gravity Body 23	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	107.99
