view,name,minX,minY,maxX,maxY,minDepth,worldUpDot
East,View_EastIslandNear,0.58712,0.08802,0.64545,0.27978,624.018,1.000000
East,View_EastIslandFar,0.37339,0.12055,0.41787,0.25605,908.625,1.000000
East,View_EastSatellite0,0.65881,0.07741,0.67421,0.12274,589.793,1.000000
East,View_EastSatellite1,0.55406,0.25328,0.55970,0.27546,725.778,1.000000
West,View_WestIslandNear,0.60127,0.11835,0.66883,0.31592,619.332,1.000000
West,View_WestIslandFar,0.41055,0.13573,0.43973,0.25283,910.051,1.000000
West,View_WestSatellite0,0.68719,0.14659,0.69832,0.18143,598.707,1.000000
West,View_WestSatellite1,0.57075,0.28051,0.57799,0.30228,727.946,1.000000
Overhead,View_OverheadIslandNear,0.38367,0.14889,0.44238,0.29190,295.830,1.000000
Overhead,View_OverheadIslandFar,0.62917,0.57831,0.66834,0.64315,445.285,1.000000
Overhead,View_OverheadIslandAccent,0.32654,0.58968,0.37402,0.67094,578.597,1.000000
Overhead,View_OverheadSatellite,0.76910,0.10524,0.81892,0.18830,341.808,1.000000
