owner=LandingSlam; held=True; armed=True; grounded=False; speed=13.72; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=13.72; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=13.45; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=13.17; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=13.17; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=12.90; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=12.63; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=12.63; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=12.36; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=12.08; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=12.08; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=11.81; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=11.54; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=11.54; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=11.27; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=11.00; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=11.00; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=10.73; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=10.46; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=10.46; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=10.20; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=9.93; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=9.93; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=9.66; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=9.40; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=9.13; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=9.13; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=8.86; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=8.60; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=8.60; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=8.33; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=8.07; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=8.07; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=7.81; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=7.54; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=7.54; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=7.28; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=7.02; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=7.02; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=6.75; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=6.49; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=6.49; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=6.23; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=6.23; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=5.97; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=5.71; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=5.71; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=5.45; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=5.19; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=5.19; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=4.93; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=4.67; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=4.67; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=4.41; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=4.15; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=4.15; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=3.89; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=3.89; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=3.63; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=3.37; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=3.37; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=3.11; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=2.85; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=2.85; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=2.59; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=2.33; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=2.08; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=2.08; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=1.82; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=1.56; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=1.56; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=1.30; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=1.30; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=1.04; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=0.79; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=0.79; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=0.53; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=0.27; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=0.27; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=0.01; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-0.25; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-0.25; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-0.50; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-0.76; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-0.76; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-1.02; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-1.28; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-1.28; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-1.54; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-1.79; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-1.79; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-2.05; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-2.31; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-2.31; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-2.57; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-2.83; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-3.09; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-3.09; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-3.35; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-3.60; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-3.60; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-3.86; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-4.12; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-4.12; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-4.38; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-4.64; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-4.90; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-4.90; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-5.16; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-5.42; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-5.42; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-5.68; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-5.95; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-5.95; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-6.21; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-6.47; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-6.47; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-6.73; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-6.99; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-6.99; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-7.26; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-7.52; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-7.78; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-7.78; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-8.05; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-8.31; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-8.31; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-8.58; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-8.84; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-9.11; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-9.11; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-9.37; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-9.64; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-9.90; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-9.90; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-10.17; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-10.44; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-10.44; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-10.71; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-10.98; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-11.25; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-11.25; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-11.52; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-11.79; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-12.06; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-12.06; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-12.33; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-12.60; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-12.60; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-12.88; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-13.15; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-13.42; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=False; speed=-13.42; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=True; speed=-15.24; commits=0; reject=
owner=LandingSlam; held=True; armed=True; grounded=True; speed=-0.01; commits=0; reject=
owner=LandingSlam; held=True; armed=False; grounded=True; speed=-0.29; commits=1; reject=
owner=LandingSlam; held=True; armed=False; grounded=False; speed=-0.56; commits=1; reject=
owner=LandingSlam; held=True; armed=False; grounded=False; speed=-1.11; commits=1; reject=
owner=LandingSlam; held=True; armed=False; grounded=False; speed=-1.38; commits=1; reject=
