Production detached bot; nine distinct60kg loose-rock bodies under14m/s2 gravity; no injected damage.
frame=0, load=0.0, qualified=False, pin=0.00, physical=True, blocked=True, health=93.274, impacts=1
frame=1, load=0.0, qualified=False, pin=0.00, physical=True, blocked=True, health=93.274, impacts=1
frame=2, load=0.0, qualified=False, pin=0.00, physical=True, blocked=True, health=93.274, impacts=1
frame=3, load=0.0, qualified=False, pin=0.00, physical=True, blocked=True, health=93.274, impacts=1
frame=4, load=0.0, qualified=False, pin=0.00, physical=True, blocked=True, health=93.274, impacts=1
frame=5, load=0.0, qualified=False, pin=0.00, physical=True, blocked=True, health=93.274, impacts=1
frame=6, load=0.0, qualified=False, pin=0.00, physical=True, blocked=True, health=93.274, impacts=1
frame=7, load=0.0, qualified=False, pin=0.00, physical=True, blocked=True, health=93.274, impacts=1
frame=8, load=0.0, qualified=False, pin=0.00, physical=True, blocked=True, health=93.274, impacts=1
frame=9, load=0.0, qualified=False, pin=0.00, physical=True, blocked=True, health=93.274, impacts=1
frame=10, load=0.0, qualified=False, pin=0.00, physical=True, blocked=True, health=93.274, impacts=1
frame=11, load=0.0, qualified=False, pin=0.00, physical=True, blocked=True, health=93.274, impacts=1
frame=12, load=208.8, qualified=False, pin=0.00, physical=True, blocked=True, health=92.128, impacts=2
frame=13, load=1245.3, qualified=False, pin=0.02, physical=True, blocked=True, health=92.128, impacts=2
frame=14, load=4260.4, qualified=False, pin=0.04, physical=True, blocked=True, health=92.128, impacts=2
frame=15, load=5804.9, qualified=False, pin=0.06, physical=True, blocked=True, health=92.128, impacts=2
frame=16, load=4903.8, qualified=False, pin=0.08, physical=True, blocked=True, health=92.128, impacts=2
frame=17, load=4456.1, qualified=False, pin=0.10, physical=True, blocked=True, health=92.128, impacts=2
frame=18, load=3590.1, qualified=False, pin=0.12, physical=True, blocked=True, health=92.128, impacts=2
frame=19, load=2675.8, qualified=False, pin=0.14, physical=True, blocked=True, health=92.128, impacts=2
frame=20, load=2312.7, qualified=False, pin=0.16, physical=True, blocked=True, health=92.128, impacts=2
frame=21, load=2115.3, qualified=False, pin=0.18, physical=True, blocked=True, health=92.128, impacts=2
frame=22, load=1914.5, qualified=False, pin=0.20, physical=True, blocked=True, health=92.128, impacts=2
frame=23, load=1501.3, qualified=False, pin=0.22, physical=True, blocked=True, health=92.128, impacts=2
frame=24, load=1270.4, qualified=False, pin=0.24, physical=True, blocked=True, health=92.128, impacts=2
frame=25, load=469.3, qualified=False, pin=0.26, physical=True, blocked=True, health=92.128, impacts=2
frame=26, load=379.6, qualified=False, pin=0.28, physical=True, blocked=True, health=92.128, impacts=2
frame=27, load=270.5, qualified=False, pin=0.00, physical=True, blocked=True, health=92.128, impacts=2
frame=28, load=281.1, qualified=False, pin=0.00, physical=True, blocked=True, health=92.128, impacts=2
frame=29, load=430.0, qualified=False, pin=0.02, physical=True, blocked=True, health=92.128, impacts=2
frame=30, load=578.5, qualified=False, pin=0.04, physical=True, blocked=True, health=92.128, impacts=2
frame=31, load=672.7, qualified=False, pin=0.06, physical=True, blocked=True, health=92.128, impacts=2
frame=32, load=718.9, qualified=False, pin=0.08, physical=True, blocked=True, health=92.128, impacts=2
frame=33, load=865.2, qualified=False, pin=0.10, physical=True, blocked=True, health=92.128, impacts=2
frame=34, load=706.5, qualified=False, pin=0.12, physical=True, blocked=True, health=91.554, impacts=3
frame=35, load=759.6, qualified=False, pin=0.14, physical=True, blocked=True, health=91.554, impacts=3
frame=36, load=748.1, qualified=False, pin=0.16, physical=True, blocked=True, health=91.554, impacts=3
frame=37, load=592.4, qualified=False, pin=0.18, physical=True, blocked=True, health=91.554, impacts=3
frame=38, load=588.7, qualified=False, pin=0.20, physical=True, blocked=True, health=91.554, impacts=3
frame=39, load=613.1, qualified=False, pin=0.22, physical=True, blocked=True, health=91.554, impacts=3
frame=40, load=604.0, qualified=False, pin=0.24, physical=True, blocked=True, health=91.554, impacts=3
frame=41, load=595.2, qualified=False, pin=0.26, physical=True, blocked=True, health=91.554, impacts=3
frame=42, load=603.3, qualified=False, pin=0.28, physical=True, blocked=True, health=91.554, impacts=3
frame=43, load=622.7, qualified=False, pin=0.30, physical=True, blocked=True, health=91.554, impacts=3
frame=44, load=549.6, qualified=False, pin=0.32, physical=True, blocked=True, health=91.554, impacts=3
frame=45, load=557.4, qualified=False, pin=0.34, physical=True, blocked=True, health=91.554, impacts=3
frame=46, load=629.6, qualified=False, pin=0.36, physical=True, blocked=True, health=91.554, impacts=3
frame=47, load=631.6, qualified=False, pin=0.38, physical=True, blocked=True, health=91.554, impacts=3
frame=48, load=611.3, qualified=False, pin=0.40, physical=True, blocked=True, health=91.554, impacts=3
frame=49, load=609.1, qualified=False, pin=0.42, physical=True, blocked=True, health=91.554, impacts=3
frame=50, load=635.0, qualified=False, pin=0.44, physical=True, blocked=True, health=91.554, impacts=3
frame=51, load=633.9, qualified=False, pin=0.46, physical=True, blocked=True, health=91.554, impacts=3
frame=52, load=648.8, qualified=False, pin=0.48, physical=True, blocked=True, health=91.554, impacts=3
