Production detached bot; dynamic 60kg broad basal stone plus eight 1kg stones under14m/s2 gravity; rotation-only constraint on basal stone; no injected damage.
frame=0, load=0.0, qualified=False, pin=0.00, physical=True, blocked=False, health=92.056, impacts=2
frame=1, load=0.0, qualified=False, pin=0.00, physical=True, blocked=False, health=92.056, impacts=2
frame=2, load=0.0, qualified=False, pin=0.00, physical=True, blocked=False, health=92.056, impacts=2
frame=3, load=0.0, qualified=False, pin=0.00, physical=True, blocked=False, health=92.056, impacts=2
frame=4, load=0.0, qualified=False, pin=0.00, physical=True, blocked=False, health=92.056, impacts=2
frame=5, load=0.0, qualified=False, pin=0.00, physical=True, blocked=False, health=92.056, impacts=2
frame=6, load=0.0, qualified=False, pin=0.00, physical=True, blocked=False, health=92.056, impacts=2
frame=7, load=0.0, qualified=False, pin=0.00, physical=True, blocked=False, health=92.056, impacts=2
frame=8, load=0.0, qualified=False, pin=0.00, physical=True, blocked=False, health=92.056, impacts=2
frame=9, load=0.0, qualified=False, pin=0.00, physical=True, blocked=False, health=92.056, impacts=2
frame=10, load=871.6, qualified=False, pin=0.02, physical=True, blocked=True, health=92.056, impacts=2
frame=11, load=3165.0, qualified=False, pin=0.04, physical=True, blocked=True, health=92.056, impacts=2
frame=12, load=3847.9, qualified=False, pin=0.06, physical=True, blocked=True, health=92.056, impacts=2
frame=13, load=3741.4, qualified=False, pin=0.08, physical=True, blocked=True, health=92.056, impacts=2
frame=14, load=3058.6, qualified=False, pin=0.10, physical=True, blocked=True, health=92.056, impacts=2
frame=15, load=2155.8, qualified=False, pin=0.12, physical=True, blocked=True, health=92.056, impacts=2
frame=16, load=1273.8, qualified=False, pin=0.14, physical=True, blocked=True, health=92.056, impacts=2
frame=17, load=698.7, qualified=False, pin=0.16, physical=True, blocked=True, health=92.056, impacts=2
frame=18, load=203.8, qualified=False, pin=0.16, physical=True, blocked=True, health=92.056, impacts=2
frame=19, load=72.4, qualified=False, pin=0.16, physical=True, blocked=True, health=92.056, impacts=2
frame=20, load=155.9, qualified=False, pin=0.16, physical=True, blocked=True, health=92.056, impacts=2
frame=21, load=395.6, qualified=False, pin=0.18, physical=True, blocked=True, health=92.056, impacts=2
frame=22, load=654.8, qualified=False, pin=0.20, physical=True, blocked=True, health=92.056, impacts=2
frame=23, load=858.2, qualified=False, pin=0.22, physical=True, blocked=True, health=92.056, impacts=2
frame=24, load=1011.5, qualified=False, pin=0.24, physical=True, blocked=True, health=92.056, impacts=2
frame=25, load=1059.2, qualified=False, pin=0.26, physical=True, blocked=True, health=92.056, impacts=2
frame=26, load=1049.6, qualified=False, pin=0.28, physical=True, blocked=True, health=92.056, impacts=2
frame=27, load=1008.0, qualified=False, pin=0.30, physical=True, blocked=True, health=92.056, impacts=2
