frame,health,load,pinSeconds,physical,blocked,authority,canDamage,contacts,sleepingContacts,recorded,discarded,stoneSleeping,stoneMass,receiverBodies,receiverColliders
0,92.0146,0,0.03999998,True,True,True,True,0,0,7,2,False,90,11,0
1,92.0146,266.4026,0.03999998,True,True,True,True,1,0,8,2,False,90,11,0
2,92.0146,123.7633,0.03999998,True,True,True,True,1,0,9,2,False,90,11,0
3,92.0146,19.96799,0.03999998,True,True,True,True,1,0,9,2,False,90,11,0
4,92.0146,19.96799,0.03999998,True,True,True,True,1,0,9,2,False,90,11,0
5,92.0146,19.96799,0.03999998,True,True,True,True,1,0,9,2,False,90,11,0
6,92.0146,19.96799,0.03999998,True,True,True,True,1,0,9,2,False,90,11,0
7,92.0146,19.96799,0.03999998,True,True,True,True,1,0,9,2,False,90,11,0
8,92.0146,19.96799,0.03999998,True,True,True,True,1,0,10,2,False,90,11,0
9,92.0146,434.6105,0.05999998,True,True,True,True,1,0,11,2,False,90,11,0
10,92.0146,2117.119,0.07999997,True,True,True,True,1,0,12,2,False,90,11,0
11,92.0146,2656.956,0.09999996,True,True,True,True,1,0,13,2,False,90,11,0
12,92.0146,2483.157,0.12,True,True,True,True,1,0,15,2,False,90,11,0
13,92.0146,1949.635,0.14,True,True,True,True,2,0,19,2,False,90,11,0
14,92.0146,4243.362,0.16,True,True,True,True,4,0,22,2,False,90,11,0
15,92.0146,2328.523,0.1799999,True,True,True,True,4,0,24,2,False,90,11,0
16,92.0146,1550.674,0.1999999,True,True,True,True,4,0,26,2,False,90,11,0
17,92.0146,1117.05,0.2199999,True,True,True,True,4,0,28,2,False,90,11,0
18,92.0146,732.0013,0.2399999,True,True,True,True,4,0,29,2,False,90,11,0
19,92.0146,597.2596,0.2599999,True,True,True,True,4,0,30,2,False,90,11,0
20,92.0146,368.6188,0.2799999,True,True,True,True,2,0,31,4,False,90,11,0
21,92.0146,323.7195,0.2799999,True,True,True,True,2,0,33,4,False,90,11,0
22,92.0146,595.908,0.2999999,True,True,True,True,3,0,36,4,False,90,11,0
23,92.0146,1323.129,0.3199999,True,True,True,True,3,0,39,4,False,90,11,0
24,92.0146,1686.471,0.3399999,True,True,True,True,3,0,43,4,False,90,11,0
25,92.0146,1694.6,0.3599998,True,True,True,True,4,0,47,4,False,90,11,0
26,92.0146,1428.325,0.3799998,True,True,True,True,4,0,51,4,False,90,11,0
27,92.0146,1173.472,0.3999998,True,True,True,True,4,0,55,4,False,90,11,0
28,92.0146,981.5669,0.4199998,True,True,True,True,4,0,59,4,False,90,11,0
29,92.0146,910.1321,0.4399998,True,True,True,True,4,0,63,4,False,90,11,0
30,92.0146,910.1517,0.4599997,True,True,True,True,4,0,67,4,False,90,11,0
31,92.0146,952.4154,0.4799997,True,True,True,True,4,0,71,4,False,90,11,0
32,92.0146,727.6351,0.4999997,True,True,True,True,4,0,75,4,False,90,11,0
33,92.0146,714.4192,0.5199997,True,True,True,True,4,0,79,4,False,90,11,0
34,92.0146,802.5234,0.5399997,True,True,True,True,4,0,83,4,False,90,11,0
35,92.0146,884.902,0.5599996,True,True,True,True,4,0,87,4,False,90,11,0
36,92.0146,925.7102,0.5799996,True,True,True,True,4,0,91,4,False,90,11,0
