sequence,frame,seconds,source_id,events,selected_region,angle_deg,peak_displacement_m,stone_x,stone_y,stone_z,aim_bone_x,aim_bone_y,aim_bone_z,contact_x,contact_y,contact_z,incoming_x,incoming_y,incoming_z,response,first_surface
Head,0,0.0000,2899181829,0,-1,0.0000,0.00000,0.0000,0.0000,0.0000,-0.3533,70.3865,4.3840,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Ignore,
Head,1,0.0333,2899181829,0,-1,0.0000,0.00000,0.0000,0.0000,0.0000,-0.3534,70.3863,4.3833,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Ignore,
Head,2,0.0667,2899181829,0,-1,0.0000,0.00000,0.0000,0.0000,0.0000,-0.3535,70.3861,4.3827,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Ignore,
Head,3,0.1000,2899181829,0,-1,0.0000,0.00000,0.0000,0.0000,0.0000,-0.3537,70.3858,4.3822,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Ignore,
Head,4,0.1333,2899181829,0,-1,0.0000,0.00000,0.0000,0.0000,0.0000,-0.3540,70.3853,4.3818,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Ignore,
Head,5,0.1667,2899181830,0,-1,0.0000,0.00000,-0.3540,70.4729,2.9845,-0.3541,70.3849,4.3814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Ignore,
Head,6,0.2000,2899181830,0,-1,0.0000,0.00000,-0.3540,70.4479,3.3837,-0.3542,70.3843,4.3811,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Ignore,
Head,7,0.2333,2899181830,0,-1,0.0000,0.00000,-0.3540,70.4228,3.7829,-0.3544,70.3837,4.3809,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Ignore,
Head,8,0.2667,2899181830,1,2,0.0000,0.00000,-0.3577,70.4176,3.8660,-0.3452,70.4006,4.5008,-0.3499,70.4150,3.9077,0.0000,-0.0625,0.9980,Flinch,Rumble Linebreaker Bot
Head,9,0.3000,2899181830,1,2,18.0002,0.11367,-0.3667,70.4120,4.0138,-0.3394,70.3951,4.7061,-0.3499,70.4150,3.9077,0.0000,-0.0625,0.9980,Flinch,Rumble Linebreaker Bot
Head,10,0.3333,2899181830,1,2,18.0005,0.12000,-0.3787,70.4140,4.1163,-0.3389,70.3820,4.7938,-0.3499,70.4150,3.9077,0.0000,-0.0625,0.9980,Flinch,Rumble Linebreaker Bot
