Production bot; actual freely translating600kg slab; normal14m/s2 load.
frame=0, load=0.0, pending=False, health=93.274, impacts=3, physical=True
frame=1, load=58.1, pending=False, health=93.274, impacts=3, physical=True
frame=2, load=378.4, pending=False, health=93.274, impacts=3, physical=True
frame=3, load=444.6, pending=False, health=93.274, impacts=3, physical=True
frame=4, load=617.6, pending=False, health=93.274, impacts=3, physical=True
frame=5, load=917.5, pending=False, health=93.274, impacts=3, physical=True
frame=6, load=1067.4, pending=False, health=93.274, impacts=3, physical=True
frame=7, load=1193.6, pending=False, health=93.274, impacts=3, physical=True
frame=8, load=1013.8, pending=False, health=93.274, impacts=3, physical=True
frame=9, load=2786.5, pending=True, health=93.274, impacts=3, physical=True
frame=10, load=5034.5, pending=True, health=90.551, impacts=5, physical=True
frame=11, load=7712.7, pending=True, health=84.426, impacts=7, physical=True
frame=12, load=13275.3, pending=True, health=84.426, impacts=12, physical=True
frame=13, load=30092.0, pending=True, health=84.426, impacts=12, physical=True
frame=14, load=34436.6, pending=True, health=84.426, impacts=12, physical=True
frame=15, load=29994.8, pending=True, health=84.426, impacts=12, physical=True
frame=16, load=22013.9, pending=True, health=84.426, impacts=12, physical=True
frame=17, load=12678.3, pending=True, health=84.426, impacts=12, physical=True
frame=18, load=8578.1, pending=True, health=84.426, impacts=12, physical=True
frame=19, load=7251.7, pending=True, health=83.526, impacts=12, physical=True
frame=20, load=6789.7, pending=True, health=82.626, impacts=12, physical=True
frame=21, load=6342.8, pending=True, health=81.726, impacts=12, physical=True
frame=22, load=5924.8, pending=True, health=80.826, impacts=12, physical=True
frame=23, load=5660.7, pending=True, health=79.926, impacts=12, physical=True
frame=24, load=5507.9, pending=True, health=79.026, impacts=12, physical=True
frame=25, load=5405.1, pending=True, health=78.126, impacts=12, physical=True
frame=26, load=5147.0, pending=True, health=77.226, impacts=12, physical=True
frame=27, load=5408.2, pending=True, health=76.326, impacts=12, physical=True
frame=28, load=5603.5, pending=True, health=75.426, impacts=12, physical=True
frame=29, load=5471.4, pending=True, health=74.526, impacts=12, physical=True
frame=30, load=6112.8, pending=True, health=73.626, impacts=12, physical=True
frame=31, load=6085.1, pending=True, health=72.726, impacts=12, physical=True
frame=32, load=6788.3, pending=True, health=71.826, impacts=13, physical=True
frame=33, load=7257.9, pending=True, health=70.926, impacts=13, physical=True
frame=34, load=8252.3, pending=True, health=70.026, impacts=13, physical=True
frame=35, load=9380.1, pending=True, health=69.126, impacts=13, physical=True
frame=36, load=11044.8, pending=True, health=68.226, impacts=13, physical=True
frame=37, load=12424.2, pending=True, health=67.326, impacts=13, physical=True
frame=38, load=12638.1, pending=True, health=66.426, impacts=13, physical=True
frame=39, load=11884.5, pending=True, health=65.526, impacts=13, physical=True
frame=40, load=10688.0, pending=True, health=64.626, impacts=13, physical=True
frame=41, load=9569.0, pending=True, health=63.726, impacts=13, physical=True
frame=42, load=8808.7, pending=True, health=62.826, impacts=13, physical=True
frame=43, load=8435.6, pending=True, health=61.926, impacts=13, physical=True
frame=44, load=8187.5, pending=True, health=61.026, impacts=13, physical=True
frame=45, load=7986.6, pending=True, health=60.126, impacts=13, physical=True
frame=46, load=7789.1, pending=True, health=59.226, impacts=13, physical=True
frame=47, load=7634.1, pending=True, health=58.326, impacts=13, physical=True
frame=48, load=7530.1, pending=True, health=57.426, impacts=13, physical=True
frame=49, load=7536.2, pending=True, health=56.526, impacts=13, physical=True
frame=50, load=7583.9, pending=True, health=55.626, impacts=13, physical=True
frame=51, load=7656.0, pending=True, health=54.726, impacts=13, physical=True
frame=52, load=7746.6, pending=True, health=53.826, impacts=13, physical=True
frame=53, load=7851.8, pending=True, health=52.926, impacts=13, physical=True
frame=54, load=7974.2, pending=True, health=52.026, impacts=13, physical=True
frame=55, load=8098.5, pending=True, health=51.126, impacts=13, physical=True
frame=56, load=8234.2, pending=True, health=50.226, impacts=13, physical=True
frame=57, load=8359.1, pending=True, health=49.326, impacts=13, physical=True
frame=58, load=8487.2, pending=True, health=48.426, impacts=13, physical=True
frame=59, load=8593.4, pending=True, health=47.526, impacts=13, physical=True
frame=60, load=8677.1, pending=True, health=46.626, impacts=13, physical=True
frame=61, load=8737.7, pending=True, health=45.726, impacts=13, physical=True
frame=62, load=8791.8, pending=True, health=44.826, impacts=13, physical=True
frame=63, load=8819.7, pending=True, health=43.926, impacts=13, physical=True
frame=64, load=8816.9, pending=True, health=43.026, impacts=13, physical=True
frame=65, load=8795.6, pending=True, health=42.126, impacts=13, physical=True
frame=66, load=8758.4, pending=True, health=41.226, impacts=13, physical=True
frame=67, load=8704.1, pending=True, health=40.326, impacts=13, physical=True
frame=68, load=8635.3, pending=True, health=39.426, impacts=13, physical=True
frame=69, load=8556.8, pending=True, health=38.526, impacts=13, physical=True
frame=70, load=8475.6, pending=True, health=37.626, impacts=13, physical=True
frame=71, load=8397.3, pending=True, health=36.726, impacts=13, physical=True
frame=72, load=8321.8, pending=True, health=35.826, impacts=13, physical=True
frame=73, load=8256.7, pending=True, health=34.926, impacts=13, physical=True
frame=74, load=8204.3, pending=True, health=34.026, impacts=13, physical=True
frame=75, load=8166.4, pending=True, health=33.126, impacts=13, physical=True
frame=76, load=8148.1, pending=True, health=32.226, impacts=13, physical=True
frame=77, load=8147.1, pending=True, health=31.326, impacts=13, physical=True
frame=78, load=8157.9, pending=True, health=30.426, impacts=13, physical=True
frame=79, load=8178.9, pending=True, health=29.526, impacts=13, physical=True
frame=80, load=8213.4, pending=True, health=28.626, impacts=13, physical=True
frame=81, load=8258.8, pending=True, health=27.726, impacts=13, physical=True
frame=82, load=8310.2, pending=True, health=26.826, impacts=13, physical=True
frame=83, load=8362.1, pending=True, health=25.926, impacts=13, physical=True
frame=84, load=8410.7, pending=True, health=25.026, impacts=13, physical=True
frame=85, load=8454.4, pending=True, health=24.126, impacts=13, physical=True
frame=86, load=8491.6, pending=True, health=23.226, impacts=13, physical=True
frame=87, load=8521.5, pending=True, health=22.326, impacts=13, physical=True
frame=88, load=8541.6, pending=True, health=21.426, impacts=13, physical=True
frame=89, load=8553.2, pending=True, health=20.526, impacts=13, physical=True
frame=90, load=8555.2, pending=True, health=19.626, impacts=13, physical=True
frame=91, load=8548.4, pending=True, health=18.726, impacts=13, physical=True
frame=92, load=8533.5, pending=True, health=17.826, impacts=13, physical=True
frame=93, load=8511.2, pending=True, health=16.926, impacts=13, physical=True
frame=94, load=8484.4, pending=True, health=16.026, impacts=13, physical=True
frame=95, load=8453.2, pending=True, health=15.126, impacts=13, physical=True
frame=96, load=8412.6, pending=True, health=14.226, impacts=13, physical=True
frame=97, load=8377.4, pending=True, health=13.326, impacts=13, physical=True
frame=98, load=8350.4, pending=True, health=12.426, impacts=13, physical=True
frame=99, load=8331.2, pending=True, health=11.526, impacts=13, physical=True
