2026-09-07T09:13:55.2968290Z checkpoint=assert-canonical-matter; time=4.385584; name=Light Push Boulder; id=M1:1; read=True; phase=FreeDynamic; failure=None; active=True; shattered=False; anchored=False; bodyPos=(-3.80, 56.28, 3.10); velocity=(0.23, -0.08, -1.00); collisionCount=1; collider=Arena_Wall_West_INTACT; impulse=53.09375; approach=0; sourceRecords=1; sourceConsumed=0; sourceMass=673.7081; sourceVolume=1.264439; family= [M1:1 FreeDynamic/HeroPhysical m=673.7081 v=1.264439]
2026-09-07T09:13:59.2710167Z checkpoint=after-first-countdown; time=8.395619; name=Light Push Boulder; id=M1:1; read=False; phase=<stale>; failure=StaleHandle; active=True; shattered=True; anchored=False; bodyPos=(-3.69, 56.10, 2.80); velocity=(0.00, 0.00, 0.00); collisionCount=2; collider=Arena_FloorBase_INTACT; impulse=401.4536; approach=1.759981; sourceRecords=4; sourceConsumed=0; sourceMass=673.7081; sourceVolume=1.264439; family= [M2:1 FreeDynamic/SecondaryPhysical m=168.4268 v=0.3161093] [M3:1 FreeDynamic/SecondaryPhysical m=168.427 v=0.3161097] [M4:1 FreeDynamic/SecondaryPhysical m=168.4279 v=0.3161113] [M5:1 FreeDynamic/SecondaryPhysical m=168.4264 v=0.3161086]
2026-09-07T09:14:02.7829204Z checkpoint=assert-canonical-matter; time=11.91137; name=Light Push Boulder; id=M1:1; read=False; phase=<stale>; failure=StaleHandle; active=True; shattered=True; anchored=False; bodyPos=(-3.69, 56.10, 2.80); velocity=(0.00, 0.00, 0.00); collisionCount=2; collider=Arena_FloorBase_INTACT; impulse=401.4536; approach=1.759981; sourceRecords=4; sourceConsumed=0; sourceMass=673.7081; sourceVolume=1.264439; family= [M2:1 FreeDynamic/SecondaryPhysical m=168.4268 v=0.3161093] [M3:1 FreeDynamic/SecondaryPhysical m=168.427 v=0.3161097] [M4:1 FreeDynamic/SecondaryPhysical m=168.4279 v=0.3161113] [M5:1 FreeDynamic/SecondaryPhysical m=168.4264 v=0.3161086]
2026-09-07T09:18:50.3884329Z checkpoint=assert-canonical-matter; time=5.247544; name=Light Push Boulder; id=M1:1; read=True; phase=FreeDynamic; failure=None; active=True; shattered=False; anchored=False; bodyPos=(-3.80, 56.28, 3.10); velocity=(0.23, -0.08, -1.00); collisionCount=1; collider=Arena_Wall_West_INTACT; impulse=53.09375; approach=0; sourceRecords=1; sourceConsumed=0; sourceMass=673.7081; sourceVolume=1.264439; family= [M1:1 FreeDynamic/HeroPhysical m=673.7081 v=1.264439]
2026-09-07T09:18:50.3944911Z checkpoint=restored-original-and-family; time=5.247544; name=Light Push Boulder; id=M1:1; read=True; phase=FreeDynamic; failure=None; active=True; shattered=False; anchored=False; bodyPos=(-3.80, 56.28, 3.10); velocity=(0.23, -0.08, -1.00); collisionCount=1; collider=Arena_Wall_West_INTACT; impulse=53.09375; approach=0; sourceRecords=1; sourceConsumed=0; sourceMass=673.7081; sourceVolume=1.264439; family= [M1:1 FreeDynamic/HeroPhysical m=673.7081 v=1.264439]
2026-09-07T09:18:54.3584162Z checkpoint=after-first-countdown; time=9.260755; name=Light Push Boulder; id=M1:1; read=False; phase=<stale>; failure=StaleHandle; active=True; shattered=True; anchored=False; bodyPos=(-3.69, 56.10, 2.80); velocity=(0.00, 0.00, 0.00); collisionCount=2; collider=Arena_FloorBase_INTACT; impulse=401.4536; approach=1.759981; sourceRecords=4; sourceConsumed=0; sourceMass=673.7081; sourceVolume=1.264439; family= [M2:1 FreeDynamic/SecondaryPhysical m=168.4268 v=0.3161093] [M3:1 FreeDynamic/SecondaryPhysical m=168.427 v=0.3161097] [M4:1 FreeDynamic/SecondaryPhysical m=168.4279 v=0.3161113] [M5:1 FreeDynamic/SecondaryPhysical m=168.4264 v=0.3161086]
2026-09-07T09:18:57.8780599Z checkpoint=after-life-respawn; time=12.78592; name=Light Push Boulder; id=M1:1; read=False; phase=<stale>; failure=StaleHandle; active=True; shattered=True; anchored=False; bodyPos=(-3.69, 56.10, 2.80); velocity=(0.00, 0.00, 0.00); collisionCount=2; collider=Arena_FloorBase_INTACT; impulse=401.4536; approach=1.759981; sourceRecords=4; sourceConsumed=0; sourceMass=673.7081; sourceVolume=1.264439; family= [M2:1 FreeDynamic/SecondaryPhysical m=168.4268 v=0.3161093] [M3:1 FreeDynamic/SecondaryPhysical m=168.427 v=0.3161097] [M4:1 FreeDynamic/SecondaryPhysical m=168.4279 v=0.3161113] [M5:1 FreeDynamic/SecondaryPhysical m=168.4264 v=0.3161086]
2026-09-07T09:18:58.1859459Z checkpoint=assert-canonical-matter; time=12.96121; name=Light Push Boulder; id=Matter<invalid>; read=False; phase=<stale>; failure=None; active=True; shattered=False; anchored=False; bodyPos=(-3.69, 56.10, 2.80); velocity=(0.00, 0.00, 0.00); collisionCount=2; collider=Arena_FloorBase_INTACT; impulse=401.4536; approach=1.759981; sourceRecords=0; sourceConsumed=4; sourceMass=0; sourceVolume=0; family=
2026-09-07T09:24:50.7299708Z checkpoint=assert-canonical-matter; time=3.887346; name=Light Push Boulder; id=M1:1; read=True; phase=FreeDynamic; failure=None; active=True; shattered=False; anchored=False; bodyPos=(-3.80, 56.28, 3.30); velocity=(0.06, -0.31, -0.22); collisionCount=1; collider=Arena_Wall_West_INTACT; impulse=53.09375; approach=0; sourceRecords=1; sourceConsumed=0; sourceMass=673.7081; sourceVolume=1.264439; family= [M1:1 FreeDynamic/HeroPhysical m=673.7081 v=1.264439]
2026-09-07T09:24:50.7339875Z checkpoint=restored-original-and-family; time=3.887346; name=Light Push Boulder; id=M1:1; read=True; phase=FreeDynamic; failure=None; active=True; shattered=False; anchored=False; bodyPos=(-3.80, 56.28, 3.30); velocity=(0.06, -0.31, -0.22); collisionCount=1; collider=Arena_Wall_West_INTACT; impulse=53.09375; approach=0; sourceRecords=1; sourceConsumed=0; sourceMass=673.7081; sourceVolume=1.264439; family= [M1:1 FreeDynamic/HeroPhysical m=673.7081 v=1.264439]
2026-09-07T09:24:54.6894811Z checkpoint=after-first-countdown; time=7.891254; name=Light Push Boulder; id=M1:1; read=False; phase=<stale>; failure=StaleHandle; active=True; shattered=True; anchored=False; bodyPos=(-3.69, 56.10, 2.80); velocity=(0.00, 0.00, 0.00); collisionCount=2; collider=Arena_FloorBase_INTACT; impulse=401.4536; approach=1.759981; sourceRecords=4; sourceConsumed=0; sourceMass=673.7081; sourceVolume=1.264439; family= [M2:1 FreeDynamic/SecondaryPhysical m=168.4268 v=0.3161093] [M3:1 FreeDynamic/SecondaryPhysical m=168.427 v=0.3161097] [M4:1 FreeDynamic/SecondaryPhysical m=168.4279 v=0.3161113] [M5:1 FreeDynamic/SecondaryPhysical m=168.4264 v=0.3161086]
