completion generation=1; positionTolerance=0.06; angleTolerance=0.1047198
piece=0; seated=True; available=True; welded=True; active=True; gen=1; phase=Welded; owner=False/Repair; kinematic=True; positionError=0; angleError=0
piece=1; seated=True; available=True; welded=True; active=True; gen=1; phase=Welded; owner=False/Repair; kinematic=True; positionError=0; angleError=0
piece=2; seated=True; available=True; welded=True; active=True; gen=1; phase=Welded; owner=False/Repair; kinematic=True; positionError=0; angleError=0
piece=3; seated=True; available=True; welded=True; active=True; gen=1; phase=Welded; owner=False/Repair; kinematic=True; positionError=0; angleError=0
piece=4; seated=True; available=True; welded=True; active=True; gen=1; phase=Welded; owner=False/Repair; kinematic=True; positionError=0; angleError=0
piece=5; seated=True; available=True; welded=True; active=True; gen=1; phase=Welded; owner=False/Repair; kinematic=True; positionError=0; angleError=0
piece=6; seated=True; available=True; welded=True; active=True; gen=1; phase=Welded; owner=False/Repair; kinematic=True; positionError=0; angleError=0
piece=7; seated=True; available=True; welded=True; active=True; gen=1; phase=Welded; owner=False/Repair; kinematic=True; positionError=0; angleError=0
finishBond=0; phase=Damaged; damage=0.4948719; released=False; jointMissing=False
finishBond=1; phase=Broken; damage=1; released=True; jointMissing=False
finishBond=2; phase=Damaged; damage=0.45; released=False; jointMissing=False
finishBond=3; phase=Broken; damage=1; released=True; jointMissing=False
finishBond=4; phase=Repaired; damage=0; released=False; jointMissing=False
finishBond=5; phase=Repaired; damage=0; released=False; jointMissing=False
finishBond=6; phase=Repaired; damage=0; released=False; jointMissing=False
finishBond=7; phase=Repaired; damage=0; released=False; jointMissing=False
finishBond=8; phase=Repaired; damage=0; released=False; jointMissing=False
finishBond=9; phase=Repaired; damage=0; released=False; jointMissing=False
finishBond=10; phase=Damaged; damage=0.45; released=False; jointMissing=False
finishBond=11; phase=Broken; damage=1; released=True; jointMissing=False
finishBond=12; phase=Repaired; damage=0; released=False; jointMissing=False
finishBond=13; phase=Repaired; damage=0; released=False; jointMissing=False
finishBond=14; phase=Damaged; damage=0.45; released=False; jointMissing=False
finishBond=15; phase=Repaired; damage=0; released=False; jointMissing=False
finishBond=16; phase=Repaired; damage=0; released=False; jointMissing=False
finishBond=17; phase=Damaged; damage=0.4306772; released=False; jointMissing=False
finishBond=18; phase=Repaired; damage=0; released=False; jointMissing=False
finishBond=19; phase=Repaired; damage=0; released=False; jointMissing=False
