beforePress rawHit=Baked Piece 002; query=True; selected=Baked Piece 002; wall=1; collapse=True; stun=False; start=(466.33, 374.10); support=Arena_FloorBase_INTACT; supportBody=; supportKinematic=
pressFrame=0; mouseHeld=True; adapterHeld=True; owner=Gravity; allowsGravity=True; pointer=(466.33, 374.10); active=True; source=True; captured=17; status=GRAVITY GRIP — 17 stones captured; RMB to throw.
pressFrame=1; mouseHeld=True; adapterHeld=True; owner=Gravity; allowsGravity=True; pointer=(466.33, 374.10); active=True; source=True; captured=17; status=GRAVITY GRIP — 17 stones captured; RMB to throw.
pressFrame=2; mouseHeld=True; adapterHeld=True; owner=Gravity; allowsGravity=True; pointer=(466.33, 374.10); active=True; source=True; captured=17; status=GRAVITY GRIP — 17 stones captured; RMB to throw.
i=1; direction=None; phase=0.000; intent=Neutral; repair=False; rebuilt=0
i=2; direction=None; phase=0.000; intent=Neutral; repair=False; rebuilt=0
i=3; direction=None; phase=0.000; intent=Neutral; repair=False; rebuilt=0
i=4; direction=None; phase=0.000; intent=Neutral; repair=False; rebuilt=0
i=5; direction=None; phase=0.000; intent=Neutral; repair=False; rebuilt=0
i=6; direction=None; phase=0.000; intent=Neutral; repair=False; rebuilt=0
i=7; direction=None; phase=0.000; intent=Neutral; repair=False; rebuilt=0
i=8; direction=None; phase=0.000; intent=Neutral; repair=False; rebuilt=0
i=9; direction=None; phase=0.000; intent=Neutral; repair=False; rebuilt=0
i=10; direction=None; phase=0.000; intent=Neutral; repair=False; rebuilt=0
i=11; direction=None; phase=0.000; intent=Neutral; repair=False; rebuilt=0
i=12; direction=None; phase=0.000; intent=Neutral; repair=False; rebuilt=0
i=13; direction=Clockwise; phase=0.002; intent=Repair; repair=True; rebuilt=0
i=14; direction=Clockwise; phase=0.025; intent=Repair; repair=True; rebuilt=0
i=15; direction=Clockwise; phase=0.050; intent=Repair; repair=True; rebuilt=0
i=16; direction=Clockwise; phase=0.076; intent=Repair; repair=True; rebuilt=0
i=17; direction=Clockwise; phase=0.104; intent=Repair; repair=True; rebuilt=0
i=18; direction=Clockwise; phase=0.132; intent=Repair; repair=True; rebuilt=0
i=19; direction=Clockwise; phase=0.161; intent=Repair; repair=True; rebuilt=0
i=20; direction=Clockwise; phase=0.190; intent=Repair; repair=True; rebuilt=0
i=21; direction=Clockwise; phase=0.218; intent=Repair; repair=True; rebuilt=0
i=22; direction=Clockwise; phase=0.244; intent=Repair; repair=True; rebuilt=0
i=23; direction=Clockwise; phase=0.269; intent=Repair; repair=True; rebuilt=0
i=24; direction=Clockwise; phase=0.292; intent=Repair; repair=True; rebuilt=0
i=25; direction=Clockwise; phase=0.313; intent=Repair; repair=True; rebuilt=0
i=26; direction=Clockwise; phase=0.332; intent=Repair; repair=True; rebuilt=0
i=27; direction=Clockwise; phase=0.350; intent=Repair; repair=True; rebuilt=0
i=28; direction=Clockwise; phase=0.367; intent=Repair; repair=True; rebuilt=0
i=29; direction=Clockwise; phase=0.382; intent=Repair; repair=True; rebuilt=0
i=30; direction=Clockwise; phase=0.397; intent=Repair; repair=True; rebuilt=0
i=31; direction=Clockwise; phase=0.411; intent=Repair; repair=True; rebuilt=0
i=32; direction=Clockwise; phase=0.424; intent=Repair; repair=True; rebuilt=0
i=33; direction=Clockwise; phase=0.436; intent=Repair; repair=True; rebuilt=0
i=34; direction=Clockwise; phase=0.448; intent=Repair; repair=True; rebuilt=0
i=35; direction=Clockwise; phase=0.460; intent=Repair; repair=True; rebuilt=0
i=36; direction=Clockwise; phase=0.472; intent=Repair; repair=True; rebuilt=0
i=37; direction=Clockwise; phase=0.484; intent=Repair; repair=True; rebuilt=0
i=38; direction=Clockwise; phase=0.495; intent=Repair; repair=True; rebuilt=0
i=39; direction=Clockwise; phase=0.507; intent=Repair; repair=True; rebuilt=0
i=40; direction=Clockwise; phase=0.519; intent=Repair; repair=True; rebuilt=0
i=41; direction=Clockwise; phase=0.532; intent=Repair; repair=True; rebuilt=0
i=42; direction=Clockwise; phase=0.545; intent=Repair; repair=True; rebuilt=0
i=43; direction=Clockwise; phase=0.559; intent=Repair; repair=True; rebuilt=0
i=44; direction=Clockwise; phase=0.573; intent=Repair; repair=True; rebuilt=0
i=45; direction=Clockwise; phase=0.589; intent=Repair; repair=True; rebuilt=0
i=46; direction=Clockwise; phase=0.606; intent=Repair; repair=True; rebuilt=0
i=47; direction=Clockwise; phase=0.623; intent=Repair; repair=True; rebuilt=0
i=48; direction=Clockwise; phase=0.643; intent=Repair; repair=True; rebuilt=0
i=49; direction=Clockwise; phase=0.664; intent=Repair; repair=True; rebuilt=0
i=50; direction=Clockwise; phase=0.687; intent=Repair; repair=True; rebuilt=0
i=51; direction=Clockwise; phase=0.712; intent=Repair; repair=True; rebuilt=0
i=52; direction=Clockwise; phase=0.738; intent=Repair; repair=True; rebuilt=0
i=53; direction=Clockwise; phase=0.766; intent=Repair; repair=True; rebuilt=0
i=54; direction=Clockwise; phase=0.794; intent=Repair; repair=True; rebuilt=0
i=55; direction=Clockwise; phase=0.823; intent=Repair; repair=True; rebuilt=0
i=56; direction=Clockwise; phase=0.852; intent=Repair; repair=True; rebuilt=0
i=57; direction=Clockwise; phase=0.879; intent=Repair; repair=True; rebuilt=0
i=58; direction=Clockwise; phase=0.906; intent=Repair; repair=True; rebuilt=0
i=59; direction=Clockwise; phase=0.930; intent=Repair; repair=True; rebuilt=0
i=60; direction=Clockwise; phase=0.953; intent=Repair; repair=True; rebuilt=0
i=61; direction=Clockwise; phase=0.974; intent=Repair; repair=True; rebuilt=0
i=62; direction=Clockwise; phase=0.994; intent=Repair; repair=True; rebuilt=0
i=63; direction=Clockwise; phase=1.000; intent=Repair; repair=True; rebuilt=0
i=64; direction=Clockwise; phase=1.000; intent=Repair; repair=True; rebuilt=0
i=65; direction=Clockwise; phase=1.000; intent=Repair; repair=True; rebuilt=0
i=66; direction=Clockwise; phase=1.000; intent=Repair; repair=True; rebuilt=0
i=67; direction=Clockwise; phase=1.000; intent=Repair; repair=True; rebuilt=0
i=68; direction=Clockwise; phase=1.000; intent=Repair; repair=True; rebuilt=0
i=69; direction=Clockwise; phase=1.000; intent=Repair; repair=True; rebuilt=0
i=70; direction=Clockwise; phase=1.000; intent=Repair; repair=True; rebuilt=0
i=71; direction=Clockwise; phase=1.000; intent=Repair; repair=True; rebuilt=0
i=72; direction=Clockwise; phase=1.000; intent=Repair; repair=True; rebuilt=0
wait: active=True; partial=False; total=8; selected=8; target=8; welded=4; current=7; phase=Captured; error=0.0000; speed=0.199; angle=0.000; retry=0; event=
wait: active=True; partial=False; total=8; selected=8; target=8; welded=4; current=7; phase=Aligning; error=0.0097; speed=0.208; angle=0.000; retry=0; event=
wait: active=True; partial=False; total=8; selected=8; target=8; welded=5; current=1; phase=Captured; error=0.0000; speed=0.156; angle=0.000; retry=0; event=
wait: active=True; partial=False; total=8; selected=8; target=8; welded=6; current=5; phase=Captured; error=0.0000; speed=0.153; angle=0.000; retry=0; event=
wait: active=True; partial=False; total=8; selected=8; target=8; welded=7; current=6; phase=Captured; error=0.0000; speed=0.194; angle=0.000; retry=0; event=
wait: active=True; partial=False; total=8; selected=8; target=8; welded=7; current=6; phase=Aligning; error=0.0055; speed=0.275; angle=0.000; retry=0; event=
