time,y,grounded,leftLock,rightLock,leftWeight,rightWeight,leftError,rightError,x,z,speed,commandY,progress
13.2352,56.7309,True,False,False,0.570,0.000,0.0000,0.0000,-0.0002,-5.7031,0.0222,0.000,0.0000
13.2481,56.7359,True,False,False,0.000,0.000,0.0000,0.0000,0.0000,-5.7152,0.6539,-0.450,0.0121
13.2611,56.7460,True,False,False,0.000,0.000,0.0000,0.0000,0.0005,-5.7412,1.3958,-0.450,0.0381
13.2736,56.7460,True,False,False,0.000,0.000,0.0000,0.0000,0.0005,-5.7412,1.3958,-0.450,0.0381
13.2855,56.7614,True,False,False,0.000,0.000,0.0000,0.0000,0.0011,-5.7823,2.1930,-0.450,0.0792
13.2988,56.7614,True,False,False,0.000,0.000,0.0000,0.0000,0.0011,-5.7823,2.1930,-0.450,0.0792
13.3108,56.7841,True,False,False,0.000,0.000,0.0000,0.0000,0.0022,-5.8359,2.9115,-0.450,0.1328
13.3236,56.8160,True,False,False,0.000,0.000,0.0000,0.0000,0.0033,-5.8963,3.4127,-0.450,0.1931
13.3363,56.8160,True,False,False,0.000,0.000,0.0000,0.0000,0.0033,-5.8963,3.4127,-0.450,0.1931
13.3495,56.8495,True,False,False,0.000,0.000,0.0000,0.0000,0.0038,-5.9628,3.7231,-0.450,0.2596
13.3623,56.8734,True,False,False,0.000,0.000,0.0000,0.0000,0.0036,-6.0310,3.6160,-0.450,0.3279
13.3758,56.8734,True,False,False,0.000,0.000,0.0000,0.0000,0.0036,-6.0310,3.6160,-0.450,0.3279
13.3879,56.8878,True,False,False,0.000,0.000,0.0000,0.0000,0.0033,-6.0983,3.4420,-0.450,0.3952
13.4005,56.8940,True,False,False,0.000,0.000,0.0000,0.0000,0.0031,-6.1646,3.3281,-0.450,0.4615
13.4133,56.8940,True,False,False,0.000,0.000,0.0000,0.0000,0.0031,-6.1646,3.3281,-0.450,0.4615
13.4257,56.8936,True,False,False,0.000,0.000,0.0000,0.0000,0.0030,-6.2299,3.2659,-0.450,0.5268
13.4394,56.8936,True,False,False,0.000,0.000,0.0000,0.0000,0.0030,-6.2299,3.2659,-0.450,0.5268
13.4513,56.8882,True,False,False,0.000,0.000,0.0000,0.0000,0.0031,-6.2944,3.2371,-0.450,0.5913
13.4640,56.8769,True,False,False,0.000,0.000,0.0000,0.0000,0.0031,-6.3584,3.2496,-0.450,0.6553
13.4770,56.8769,True,False,False,0.000,0.000,0.0000,0.0000,0.0031,-6.3584,3.2496,-0.450,0.6553
13.4889,56.8597,True,False,False,0.000,0.000,0.0000,0.0000,0.0031,-6.4218,3.2824,-0.450,0.7186
13.5023,56.8383,True,False,False,0.000,0.000,0.0000,0.0000,0.0031,-6.4844,3.3098,-0.450,0.7813
13.5151,56.8383,True,False,False,0.000,0.000,0.0000,0.0000,0.0031,-6.4844,3.3098,-0.450,0.7813
