frame,time,stage,welded,total,active,phase,error
0,0.000,intact,0,0,-1,Welded,0.0000
1,0.013,cracked,0,0,-1,Welded,0.0000
2,0.380,fractured,0,0,-1,Welded,0.0000
3,0.393,repair,0,40,39,Captured,3.1322
4,0.493,repair,0,40,39,Captured,2.6235
5,0.593,repair,0,40,39,Captured,1.5152
6,0.693,repair,0,40,39,Captured,0.4334
7,0.793,repair,0,40,39,Aligning,0.0056
8,0.893,repair,1,40,25,Captured,2.9743
9,0.993,repair,1,40,25,Captured,2.1394
10,1.093,repair,1,40,25,Captured,0.9667
11,1.193,repair,1,40,25,Captured,0.1092
12,1.293,repair,2,40,31,Captured,0.0130
13,1.393,repair,2,40,31,Captured,3.0056
14,1.493,repair,2,40,31,Captured,1.9974
15,1.593,repair,2,40,31,Captured,0.8340
16,1.693,repair,2,40,31,Captured,0.0703
17,1.793,repair,3,40,33,Captured,3.3765
18,1.893,repair,3,40,33,Captured,2.8977
19,1.993,repair,3,40,33,Captured,1.8205
20,2.093,repair,3,40,33,Captured,0.6839
21,2.193,repair,3,40,33,Captured,0.0267
22,2.293,repair,4,40,16,Captured,3.5279
23,2.393,repair,4,40,16,Captured,3.0659
24,2.493,repair,4,40,16,Captured,2.0091
25,2.593,repair,4,40,16,Captured,0.8512
26,2.693,repair,4,40,16,Captured,0.0858
27,2.793,repair,5,40,0,Captured,0.0130
28,2.893,repair,5,40,0,Captured,3.1990
29,2.993,repair,5,40,0,Captured,2.2185
30,3.093,repair,5,40,0,Captured,1.0422
31,3.193,repair,5,40,0,Captured,0.1699
32,3.293,repair,6,40,11,Captured,0.0129
33,3.393,repair,6,40,11,Captured,3.0643
34,3.493,repair,6,40,11,Captured,2.0645
35,3.593,repair,6,40,11,Captured,0.8962
36,3.693,repair,6,40,11,Captured,0.0966
37,3.793,repair,7,40,2,Captured,0.0129
38,3.893,repair,7,40,2,Captured,3.0959
39,3.993,repair,7,40,2,Captured,2.1007
40,4.093,repair,7,40,2,Captured,0.9301
41,4.193,repair,7,40,2,Captured,0.1123
42,4.293,repair,8,40,29,Captured,0.0130
43,4.393,repair,8,40,29,Captured,3.0217
44,4.493,repair,8,40,29,Captured,2.0158
45,4.593,repair,8,40,29,Captured,0.8509
46,4.693,repair,8,40,29,Captured,0.0771
47,4.793,repair,9,40,9,Captured,3.4368
48,4.893,repair,9,40,9,Captured,2.9648
49,4.993,repair,9,40,9,Captured,1.8957
50,5.093,repair,9,40,9,Captured,0.7496
51,5.193,repair,9,40,9,Captured,0.0467
52,5.293,repair,10,40,22,Captured,3.4785
53,5.393,repair,10,40,22,Captured,3.0112
54,5.493,repair,10,40,22,Captured,1.9477
55,5.613,repair,10,40,22,Captured,0.5995
56,5.733,repair,10,40,22,Aligning,0.0056
57,5.853,repair,11,40,18,Captured,3.1404
58,5.973,repair,11,40,18,Captured,1.9981
59,6.093,repair,11,40,18,Captured,0.6321
60,6.193,repair,11,40,18,Aligning,0.0144
61,6.313,repair,12,40,4,Captured,3.3701
62,6.433,repair,12,40,4,Captured,2.3820
63,6.553,repair,12,40,4,Captured,0.9797
64,6.673,repair,12,40,4,Captured,0.0531
65,6.793,repair,13,40,6,Captured,3.4561
66,6.913,repair,13,40,6,Captured,2.6277
67,7.013,repair,13,40,6,Captured,1.4678
68,7.133,repair,13,40,6,Captured,0.2727
69,7.253,repair,14,40,24,Captured,0.0129
70,7.373,repair,14,40,24,Captured,3.0913
71,7.493,repair,14,40,24,Captured,1.7985
72,7.613,repair,14,40,24,Captured,0.4922
73,7.733,repair,14,40,24,Aligning,0.0056
74,7.833,repair,15,40,27,Captured,3.4395
75,7.953,repair,15,40,27,Captured,2.4639
76,8.073,repair,15,40,27,Captured,1.0596
77,8.193,repair,15,40,27,Captured,0.0827
78,8.313,repair,16,40,35,Captured,3.4681
79,8.433,repair,16,40,35,Captured,2.8180
80,8.533,repair,16,40,35,Captured,1.6951
81,8.653,repair,16,40,35,Captured,0.4145
82,8.773,repair,16,40,35,Aligning,0.0098
83,8.893,repair,17,40,32,Captured,3.2276
84,9.013,repair,17,40,32,Captured,2.0160
85,9.133,repair,17,40,32,Captured,0.6567
86,9.253,repair,17,40,32,Aligning,0.0002
87,9.353,repair,18,40,13,Captured,3.3850
88,9.473,repair,18,40,13,Captured,2.5443
89,9.593,repair,18,40,13,Captured,1.1477
90,9.713,repair,18,40,13,Captured,0.1100
91,9.833,repair,19,40,15,Captured,3.4708
92,9.953,repair,19,40,15,Captured,2.8211
93,10.073,repair,19,40,15,Captured,1.4596
94,10.173,repair,19,40,15,Captured,0.4170
95,10.293,repair,19,40,15,Aligning,0.0098
96,10.413,repair,20,40,37,Captured,3.1049
97,10.533,repair,20,40,37,Captured,1.8740
98,10.653,repair,20,40,37,Captured,0.5394
99,10.773,repair,20,40,37,Aligning,0.0053
100,10.893,repair,21,40,17,Captured,3.2263
101,10.993,repair,21,40,17,Captured,2.3292
102,11.113,repair,21,40,17,Captured,0.9288
103,11.233,repair,21,40,17,Captured,0.0372
104,11.353,repair,22,40,20,Captured,3.4036
105,11.473,repair,22,40,20,Captured,2.5662
106,11.593,repair,22,40,20,Captured,1.1702
107,11.713,repair,22,40,20,Captured,0.1203
108,11.813,repair,23,40,1,Captured,0.0129
109,11.933,repair,23,40,1,Captured,3.0823
110,12.053,repair,23,40,1,Captured,1.7883
111,12.173,repair,23,40,1,Captured,0.4844
112,12.293,repair,23,40,1,Aligning,0.0056
113,12.413,repair,24,40,19,Captured,3.3315
114,12.513,repair,24,40,19,Captured,2.4506
115,12.633,repair,24,40,19,Captured,1.0466
116,12.753,repair,24,40,19,Captured,0.0775
117,12.873,repair,25,40,3,Captured,3.5630
118,12.993,repair,25,40,3,Captured,2.7525
119,13.113,repair,25,40,3,Captured,1.3634
120,13.233,repair,25,40,3,Captured,0.2225
121,13.333,repair,25,40,3,Aligning,0.0097
122,13.433,repair,26,40,10,Captured,3.2170
123,13.553,repair,26,40,10,Captured,2.0884
124,13.653,repair,26,40,10,Captured,0.9186
125,13.753,repair,26,40,10,Captured,0.1069
126,13.873,repair,27,40,8,Captured,3.5218
127,13.973,repair,27,40,8,Captured,3.0592
128,14.073,repair,27,40,8,Captured,2.0016
129,14.173,repair,27,40,8,Captured,0.8444
130,14.293,repair,27,40,8,Captured,0.0216
131,14.393,repair,28,40,7,Captured,3.5598
132,14.493,repair,28,40,7,Captured,3.1012
133,14.613,repair,28,40,7,Captured,1.8097
134,14.713,repair,28,40,7,Captured,0.6846
135,14.813,repair,28,40,7,Captured,0.0324
136,14.913,repair,29,40,28,Captured,3.3999
137,15.033,repair,29,40,28,Captured,2.7397
138,15.133,repair,29,40,28,Captured,1.6099
139,15.233,repair,29,40,28,Captured,0.5199
140,15.353,repair,29,40,28,Aligning,0.0056
141,15.453,repair,30,40,12,Captured,3.2736
142,15.553,repair,30,40,12,Captured,2.4880
143,15.673,repair,30,40,12,Captured,1.0905
144,15.773,repair,30,40,12,Captured,0.1856
145,15.873,repair,31,40,30,Captured,0.0130
146,15.973,repair,31,40,30,Captured,3.1204
147,16.093,repair,31,40,30,Captured,1.8920
148,16.193,repair,31,40,30,Captured,0.7463
