seconds,impact_angle_degrees
0.0652,0.0000
0.0875,11.1711
0.1039,17.2517
0.1534,18.0001
0.1704,17.7715
0.1862,17.4937
0.2021,17.1453
0.2176,16.9597
0.2335,18.5051
0.2476,17.8526
0.2632,18.5353
0.2794,18.4063
0.2945,17.4227
0.3095,16.4962
0.3612,15.2784
0.3786,6.3007
0.3940,3.8029
0.4079,3.4352
0.4236,1.8855
0.4391,1.1657
0.4546,1.0149
0.4684,0.8713
0.4847,1.0249
0.5000,0.8393
0.5169,0.6749
0.5327,0.4764
0.5472,0.3494
0.5617,0.2203
0.5764,0.0000
0.5891,0.0000
0.6006,0.0000
0.6134,0.0000
0.6244,0.0000
0.6366,0.0000
0.6496,0.0000
0.6605,0.0000
0.6726,0.0000
0.6845,0.0000
0.6981,0.0000
0.7123,0.0000
0.7228,0.0000
0.7354,0.0000
0.7479,0.0000
0.7597,0.0000
0.7721,0.0000
0.7830,0.0000
0.7950,0.0000
0.8076,0.0000
0.8189,0.0000
0.8342,0.0000
0.8464,0.0000
0.8587,0.0000
0.8708,0.0000
0.8823,0.0000
0.8947,0.0000
0.9062,0.0000
0.9184,0.0000
0.9306,0.0000
0.9406,0.0000
0.9530,0.0000
0.9639,0.0000
0.9764,0.0000
0.9888,0.0000
1.0010,0.0000
1.0137,0.0000
1.0250,0.0000
1.0372,0.0000
1.0494,0.0000
1.0606,0.0000
1.0738,0.0000
1.0858,0.0000
1.0983,0.0000
1.1109,0.0000
1.1223,0.0000
1.1348,0.0000
1.1477,0.0000
1.1596,0.0000
1.1724,0.0000
1.1840,0.0000
1.1972,0.0000
1.2106,0.0000
