frame=1;foot=120.0518;carrier=(-2.27, 120.79, 0.55);velocity=(0.00, 0.00, 16.64)
frame=2;foot=120.0528;carrier=(-2.27, 120.79, 0.79);velocity=(-0.03, 0.01, 11.23)
frame=3;foot=120.0486;carrier=(-2.27, 120.79, 1.01);velocity=(-0.13, -0.13, 11.09)
frame=4;foot=120.0418;carrier=(-2.27, 120.78, 1.23);velocity=(-0.19, -0.20, 10.85)
frame=5;foot=120.0336;carrier=(-2.28, 120.77, 1.45);velocity=(-0.18, -0.13, 10.65)
frame=6;foot=120.0274;carrier=(-2.28, 120.77, 1.66);velocity=(-0.33, 0.01, 10.61)
frame=7;foot=120.0206;carrier=(-2.29, 120.76, 1.86);velocity=(-0.18, -0.28, 10.32)
frame=8;foot=120.0112;carrier=(-2.29, 120.75, 2.07);velocity=(-0.06, -0.30, 10.07)
frame=9;foot=120.0022;carrier=(-2.29, 120.74, 2.26);velocity=(-0.09, -0.45, 10.00)
frame=10;foot=120.0004;carrier=(-2.29, 120.74, 2.45);velocity=(-0.08, -0.09, 9.26)
frame=11;foot=120.0001;carrier=(-2.29, 120.74, 2.62);velocity=(-0.08, -0.02, 8.79)
frame=12;foot=120;carrier=(-2.29, 120.74, 2.79);velocity=(-0.07, 0.00, 8.42)
frame=13;foot=120;carrier=(-2.29, 120.74, 2.95);velocity=(-0.07, 0.00, 8.08)
frame=14;foot=120;carrier=(-2.30, 120.74, 3.11);velocity=(-0.06, 0.00, 7.76)
frame=15;foot=120;carrier=(-2.30, 120.74, 3.25);velocity=(-0.06, 0.00, 7.41)
frame=16;foot=120;carrier=(-2.30, 120.74, 3.40);velocity=(-0.05, 0.00, 7.05)
frame=17;foot=120;carrier=(-2.30, 120.74, 3.53);velocity=(-0.05, 0.00, 6.68)
frame=18;foot=120;carrier=(-2.30, 120.74, 3.65);velocity=(-0.04, 0.00, 6.32)
frame=19;foot=120;carrier=(-2.30, 120.74, 3.77);velocity=(-0.04, 0.00, 5.95)
frame=20;foot=120;carrier=(-2.30, 120.74, 3.89);velocity=(-0.03, 0.00, 5.58)
frame=21;foot=120;carrier=(-2.30, 120.74, 3.99);velocity=(-0.03, 0.00, 5.21)
frame=22;foot=120;carrier=(-2.30, 120.74, 4.09);velocity=(-0.03, 0.00, 4.85)
frame=23;foot=120;carrier=(-2.30, 120.74, 4.18);velocity=(-0.02, 0.00, 4.51)
frame=24;foot=120;carrier=(-2.30, 120.74, 4.26);velocity=(-0.02, 0.00, 4.15)
frame=25;foot=120;carrier=(-2.30, 120.74, 4.34);velocity=(-0.01, 0.00, 3.78)
frame=26;foot=120;carrier=(-2.30, 120.74, 4.40);velocity=(-0.01, 0.00, 3.42)
frame=27;foot=120;carrier=(-2.30, 120.74, 4.46);velocity=(-0.01, 0.00, 3.05)
frame=28;foot=120;carrier=(-2.30, 120.74, 4.52);velocity=(0.00, 0.00, 2.68)
frame=29;foot=120;carrier=(-2.30, 120.74, 4.57);velocity=(0.00, 0.00, 2.35)
frame=30;foot=120;carrier=(-2.30, 120.74, 4.61);velocity=(0.00, 0.00, 2.01)
