wallBounds=Center: (0.00, 120.82, 0.00), Extents: (3.00, 0.76, 0.20); direction=(0.00, 0.00, 1.00); stoneA=Center: (-0.90, 120.82, 0.61), Extents: (0.40, 0.40, 0.40); stoneB=Center: (0.90, 120.82, 0.61), Extents: (0.40, 0.40, 0.40); wallMass=1668.881; stoneMass=66.75523
frame=0; contacts=2; wallPos=(0.00, 120.58, 0.67); wallVelocity=(0.00, -0.20, 33.32); stoneAPos=(-0.90, 120.82, 1.27); stoneAVelocity=(0.00, -0.17, 32.92); stoneBPos=(0.90, 120.82, 1.27); stoneBVelocity=(0.00, -0.17, 32.92); physicalA=1; physicalB=1; fractured=False
frame=1; contacts=2; wallPos=(0.00, 120.57, 1.32); wallVelocity=(0.00, -0.41, 32.91); stoneAPos=(-0.90, 120.81, 1.93); stoneAVelocity=(0.00, -0.17, 32.92); stoneBPos=(0.90, 120.81, 1.93); stoneBVelocity=(0.00, -0.17, 32.92); physicalA=1; physicalB=1; fractured=False
frame=2; contacts=2; wallPos=(0.00, 120.56, 1.97); wallVelocity=(0.00, -0.62, 32.51); stoneAPos=(-0.90, 120.81, 2.58); stoneAVelocity=(0.00, -0.17, 32.92); stoneBPos=(0.90, 120.81, 2.58); stoneBVelocity=(0.00, -0.17, 32.92); physicalA=1; physicalB=1; fractured=False
frame=3; contacts=2; wallPos=(0.00, 120.54, 2.62); wallVelocity=(0.00, -0.82, 32.11); stoneAPos=(-0.90, 120.81, 3.24); stoneAVelocity=(0.00, -0.17, 32.92); stoneBPos=(0.90, 120.81, 3.24); stoneBVelocity=(0.00, -0.17, 32.92); physicalA=1; physicalB=1; fractured=False
frame=4; contacts=2; wallPos=(0.00, 120.52, 3.24); wallVelocity=(0.00, -0.76, 31.30); stoneAPos=(-0.90, 120.80, 3.90); stoneAVelocity=(0.00, -0.17, 32.92); stoneBPos=(0.90, 120.80, 3.90); stoneBVelocity=(0.00, -0.17, 32.92); physicalA=1; physicalB=1; fractured=False
frame=5; contacts=2; wallPos=(0.00, 120.52, 3.84); wallVelocity=(0.00, -0.15, 29.62); stoneAPos=(-0.90, 120.80, 4.56); stoneAVelocity=(0.00, -0.17, 32.92); stoneBPos=(0.90, 120.80, 4.56); stoneBVelocity=(0.00, -0.17, 32.92); physicalA=1; physicalB=1; fractured=False
frame=6; contacts=2; wallPos=(0.00, 120.52, 4.41); wallVelocity=(0.00, -0.03, 28.77); stoneAPos=(-0.90, 120.80, 5.22); stoneAVelocity=(0.00, -0.17, 32.92); stoneBPos=(0.90, 120.80, 5.22); stoneBVelocity=(0.00, -0.17, 32.92); physicalA=1; physicalB=1; fractured=False
frame=7; contacts=2; wallPos=(0.00, 120.52, 4.97); wallVelocity=(0.00, -0.01, 28.08); stoneAPos=(-0.90, 120.79, 5.88); stoneAVelocity=(0.00, -0.17, 32.92); stoneBPos=(0.90, 120.79, 5.88); stoneBVelocity=(0.00, -0.17, 32.92); physicalA=1; physicalB=1; fractured=False
frame=8; contacts=2; wallPos=(0.00, 120.52, 5.52); wallVelocity=(0.00, 0.00, 27.43); stoneAPos=(-0.90, 120.79, 6.53); stoneAVelocity=(0.00, -0.17, 32.92); stoneBPos=(0.90, 120.79, 6.53); stoneBVelocity=(0.00, -0.17, 32.92); physicalA=1; physicalB=1; fractured=False
frame=9; contacts=2; wallPos=(0.00, 120.52, 6.06); wallVelocity=(0.00, 0.00, 26.79); stoneAPos=(-0.90, 120.79, 7.19); stoneAVelocity=(0.00, -0.17, 32.92); stoneBPos=(0.90, 120.79, 7.19); stoneBVelocity=(0.00, -0.17, 32.92); physicalA=1; physicalB=1; fractured=False
frame=10; contacts=2; wallPos=(0.00, 120.52, 6.58); wallVelocity=(0.00, 0.00, 26.17); stoneAPos=(-0.90, 120.78, 7.85); stoneAVelocity=(0.00, -0.17, 32.92); stoneBPos=(0.90, 120.78, 7.85); stoneBVelocity=(0.00, -0.17, 32.92); physicalA=1; physicalB=1; fractured=False
frame=11; contacts=2; wallPos=(0.00, 120.52, 7.09); wallVelocity=(0.00, 0.00, 25.55); stoneAPos=(-0.90, 120.78, 8.51); stoneAVelocity=(0.00, -0.17, 32.92); stoneBPos=(0.90, 120.78, 8.51); stoneBVelocity=(0.00, -0.17, 32.92); physicalA=1; physicalB=1; fractured=False
frame=12; contacts=2; wallPos=(0.00, 120.52, 7.59); wallVelocity=(0.00, 0.00, 24.94); stoneAPos=(-0.90, 120.78, 9.17); stoneAVelocity=(0.00, -0.17, 32.92); stoneBPos=(0.90, 120.78, 9.17); stoneBVelocity=(0.00, -0.17, 32.92); physicalA=1; physicalB=1; fractured=False
frame=13; contacts=2; wallPos=(0.00, 120.52, 8.08); wallVelocity=(0.00, 0.00, 24.33); stoneAPos=(-0.90, 120.77, 9.83); stoneAVelocity=(0.00, -0.17, 32.92); stoneBPos=(0.90, 120.77, 9.83); stoneBVelocity=(0.00, -0.17, 32.92); physicalA=1; physicalB=1; fractured=False
frame=14; contacts=2; wallPos=(0.00, 120.52, 8.55); wallVelocity=(0.00, 0.00, 23.73); stoneAPos=(-0.90, 120.77, 10.48); stoneAVelocity=(0.00, -0.17, 32.92); stoneBPos=(0.90, 120.77, 10.48); stoneBVelocity=(0.00, -0.17, 32.92); physicalA=1; physicalB=1; fractured=False
frame=15; contacts=2; wallPos=(0.00, 120.52, 9.01); wallVelocity=(0.00, 0.00, 23.14); stoneAPos=(-0.90, 120.77, 11.14); stoneAVelocity=(0.00, -0.17, 32.92); stoneBPos=(0.90, 120.77, 11.14); stoneBVelocity=(0.00, -0.17, 32.92); physicalA=1; physicalB=1; fractured=False
