frame=0;pos=(0.00, 120.57, 0.52);v=(0.00, -0.37, 25.89);gap=0.05268097;support=0.05999756
frame=1;pos=(0.00, 120.56, 1.03);v=(0.00, -0.72, 25.57);gap=0.03830719;support=0.05268097
frame=2;pos=(0.00, 120.54, 1.53);v=(0.00, -1.05, 25.25);gap=0.01739502;support=0.03830719
frame=3;pos=(0.00, 120.52, 2.01);v=(0.00, -0.70, 23.90);gap=0.003479004;support=0.01739502
frame=4;pos=(0.00, 120.52, 2.46);v=(0.00, -0.14, 22.25);gap=0.0006942749;support=0.003479004
frame=5;pos=(0.00, 120.52, 2.88);v=(0.00, -0.03, 21.37);gap=0.0001373291;support=0.0006942749
frame=6;pos=(0.00, 120.52, 3.30);v=(0.00, -0.01, 20.65);gap=2.288818E-05;support=0.0001373291
frame=7;pos=(0.00, 120.57, 3.71);v=(0.00, 2.58, 20.39);gap=0.05155182;support=-0.09482574
frame=8;pos=(0.00, 120.61, 4.11);v=(0.00, 1.93, 20.14);gap=0.02552795;support=-0.09915924
frame=9;pos=(0.00, 120.66, 4.47);v=(0.00, 2.58, 18.35);gap=0.02758789;support=-0.1157761
frame=10;pos=(0.00, 120.71, 4.80);v=(0.00, 2.33, 16.54);gap=0.02800751;support=-0.1036987
frame=11;pos=(0.00, 120.75, 5.10);v=(0.00, 2.07, 14.75);gap=0.0280838;support=-0.09310913
frame=12;pos=(0.00, 120.79, 5.36);v=(0.00, 1.82, 12.97);gap=0.02809906;support=-0.08293915
frame=13;pos=(0.00, 120.82, 5.58);v=(0.00, 1.59, 11.32);gap=0.02810669;support=-0.07293701
frame=14;pos=(0.00, 120.85, 5.78);v=(0.00, 1.38, 9.83);gap=0.02810669;support=-0.06365967
frame=15;pos=(0.00, 120.87, 5.95);v=(0.00, 1.19, 8.49);gap=0.02810669;support=-0.05529022
frame=16;pos=(0.00, 120.89, 6.09);v=(0.00, 1.02, 7.28);gap=0.02810669;support=-0.04773712
frame=17;pos=(0.00, 120.91, 6.22);v=(0.00, 0.87, 6.18);gap=0.02810669;support=-0.04091644
frame=18;pos=(0.00, 120.92, 6.32);v=(0.00, 0.73, 5.20);gap=0.02810669;support=-0.03476715
frame=19;pos=(0.00, 120.94, 6.41);v=(0.00, 0.61, 4.31);gap=0.02810669;support=-0.02921295
frame=20;pos=(0.00, 120.95, 6.48);v=(0.00, 0.49, 3.50);gap=0.02810669;support=-0.02420807
frame=21;pos=(0.00, 120.95, 6.53);v=(0.00, 0.39, 2.78);gap=0.02810669;support=-0.01969147
frame=22;pos=(0.00, 120.96, 6.58);v=(0.00, 0.30, 2.12);gap=0.02810669;support=-0.01560974
frame=23;pos=(0.00, 120.96, 6.61);v=(0.00, 0.22, 1.53);gap=0.02810669;support=-0.01193237
frame=24;pos=(0.00, 120.97, 6.63);v=(0.00, 0.14, 1.00);gap=0.02810669;support=-0.008605957
frame=25;pos=(0.00, 120.97, 6.64);v=(0.00, 0.07, 0.52);gap=0.02810669;support=-0.005607605
frame=26;pos=(0.00, 120.97, 6.64);v=(0.00, 0.01, 0.08);gap=0.02810669;support=-0.00289917
frame=27;pos=(0.00, 120.97, 6.64);v=(0.00, 0.00, 0.00);gap=0.02810669;support=-0.00289917
frame=28;pos=(0.00, 120.97, 6.64);v=(0.00, 0.00, 0.00);gap=0.02810669;support=-0.00289917
frame=29;pos=(0.00, 120.97, 6.64);v=(0.00, 0.00, 0.00);gap=0.02810669;support=-0.00289917
frame=30;pos=(0.00, 120.97, 6.64);v=(0.00, 0.00, 0.00);gap=0.02810669;support=-0.00289917
frame=31;pos=(0.00, 120.97, 6.64);v=(0.00, 0.00, 0.00);gap=0.02810669;support=-0.00289917
frame=32;pos=(0.00, 120.97, 6.64);v=(0.00, 0.00, 0.00);gap=0.02810669;support=-0.00289917
frame=33;pos=(0.00, 120.97, 6.64);v=(0.00, 0.00, 0.00);gap=0.02810669;support=-0.00289917
frame=34;pos=(0.00, 120.97, 6.64);v=(0.00, 0.00, 0.00);gap=0.02810669;support=-0.00289917
frame=35;pos=(0.00, 120.97, 6.64);v=(0.00, 0.00, 0.00);gap=0.02810669;support=-0.00289917
frame=36;pos=(0.00, 120.97, 6.64);v=(0.00, 0.00, 0.00);gap=0.02810669;support=-0.00289917
frame=37;pos=(0.00, 120.97, 6.64);v=(0.00, 0.00, 0.00);gap=0.02810669;support=-0.00289917
frame=38;pos=(0.00, 120.97, 6.64);v=(0.00, 0.00, 0.00);gap=0.02810669;support=-0.00289917
frame=39;pos=(0.00, 120.97, 6.64);v=(0.00, 0.00, 0.00);gap=0.02810669;support=-0.00289917
frame=40;pos=(0.00, 120.97, 6.64);v=(0.00, 0.00, 0.00);gap=0.02810669;support=-0.00289917
frame=41;pos=(0.00, 120.97, 6.64);v=(0.00, 0.00, 0.00);gap=0.02810669;support=-0.00289917
frame=42;pos=(0.00, 120.97, 6.64);v=(0.00, 0.00, 0.00);gap=0.02810669;support=-0.00289917
frame=43;pos=(0.00, 120.97, 6.64);v=(0.00, 0.00, 0.00);gap=0.02810669;support=-0.00289917
frame=44;pos=(0.00, 120.97, 6.64);v=(0.00, 0.00, 0.00);gap=0.02810669;support=-0.00289917
frame=45;pos=(0.00, 120.97, 6.64);v=(0.00, 0.00, 0.00);gap=0.02810669;support=-0.00289917
frame=46;pos=(0.00, 120.97, 6.64);v=(0.00, 0.00, 0.00);gap=0.02810669;support=-0.00289917
frame=47;pos=(0.00, 120.97, 6.64);v=(0.00, 0.00, 0.00);gap=0.02810669;support=-0.00289917
frame=48;pos=(0.00, 120.97, 6.64);v=(0.00, 0.00, 0.00);gap=0.02810669;support=-0.00289917
frame=49;pos=(0.00, 120.97, 6.64);v=(0.00, 0.00, 0.00);gap=0.02810669;support=-0.00289917
frame=50;pos=(0.00, 120.97, 6.64);v=(0.00, 0.00, 0.00);gap=0.02810669;support=-0.00289917
frame=51;pos=(0.00, 120.97, 6.64);v=(0.00, 0.00, 0.00);gap=0.02810669;support=-0.00289917
