step,forward,side,supportGap,penetration
0,0.00000,0.00000,Infinity,0.00000
1,0.00000,0.00000,Infinity,0.00000
2,0.00000,0.00000,Infinity,0.00000
3,0.79531,0.00000,0.03591,0.00000
4,1.02486,0.00005,0.01435,0.00000
5,1.22967,0.00008,0.00454,0.00000
6,1.41861,0.00011,0.00192,0.00000
7,1.59434,0.00011,0.00102,0.02304
8,1.58563,0.00275,0.00055,0.02304
9,1.59249,0.00435,0.01843,0.02304
10,1.59590,0.00531,0.02602,0.02304
11,1.59584,0.00534,0.02843,0.02304
12,1.59581,0.00535,0.02843,0.02304
13,1.59579,0.00536,0.02843,0.02304
14,1.59576,0.00536,0.02843,0.02304
15,1.59574,0.00536,0.02843,0.02304
16,1.59572,0.00537,0.02843,0.02304
17,1.59570,0.00537,0.02843,0.02304
18,1.59568,0.00538,0.02843,0.02304
19,1.59566,0.00538,0.02843,0.02304
